owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,usage_popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,trustee_avg,popularity_component,community_activity_and_integrity_component,maintenance_and_goodwill_component,code_quality_component,component_avg,component_rank,component_rank_grade,trustee_rank,trustee_rank_grade,component_zscore,component_z_grade,trustee_zscore,trustee_z_grade
jwilber,roughViz,24.8,6.5,14.6,42.9,35.3,18.2,10.6,27.8,16.4,36.7,64.4,57.4,24.3,0.7,16.2,22.7,8.2,17.8,46.7,24.0,25.3,20.025,24.825,12.350000000000001,19.066666666666666,140.0,F,246.5,D,-1.0409680167227937,D,-0.6868822054019154,D
gennadis,twopasswords,15.8,0.0,0.0,38.9,24.2,0.0,0.0,0.0,0.0,7.5,6.3,0.6,22.7,0.3,3.9,11.5,0.0,0.2,2.3,6.8,9.866666666666665,2.4666666666666663,15.774999999999999,3.0,7.080555555555555,13.0,F,10.5,F,-2.0580838996400357,F,-2.0477012261782535,F
nithincvpoyyil,voice-listener,11.1,0.0,0.0,26.8,17.5,7.6,10.7,12.1,0.0,8.8,6.9,5.6,16.0,6.7,10.7,31.9,0.0,0.2,6.7,9.5,10.266666666666667,8.266666666666666,11.075,9.700000000000001,9.680555555555555,37.0,F,32.5,F,-1.76593041797838,F,-1.7873923082700993,F
