owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity
jeremyfa,yaml.js,25.2,4.8,,43.8,52.0,8.1,24.2,,,45.6,43.9,48.3,43.7,46.5,19.3,28.2,,29.7,33.4
lovell,sharp,39.8,40.1,26.3,58.7,34.3,43.2,54.5,38.0,37.0,72.7,94.7,83.6,58.5,54.2,44.5,44.0,38.0,51.6,73.8
redis,node-redis,47.6,33.9,32.7,86.8,37.1,43.3,54.6,36.0,39.4,75.8,86.9,88.8,53.7,73.8,47.3,57.8,40.8,43.4,73.0
sindresorhus,pretty-ms,43.2,33.0,9.8,53.5,76.5,19.2,30.2,16.1,11.2,40.7,45.5,32.2,51.4,33.8,33.6,33.7,12.8,54.4,32.3
liady,webpack-node-externals,25.6,20.5,1.4,44.0,36.5,9.1,24.4,3.0,,39.4,50.7,32.3,57.7,16.9,30.2,64.5,,26.0,30.7
taylorhakes,promise-polyfill,35.4,29.1,8.4,47.3,57.0,19.1,30.5,15.6,11.3,56.6,58.5,64.1,60.4,43.6,44.2,65.8,11.8,55.0,47.2
angular,angular,57.8,40.1,35.5,90.6,64.8,48.3,53.9,46.8,44.3,80.9,99.1,99.1,73.9,51.6,59.7,80.5,47.5,51.2,82.2
steveukx,git-js,44.5,40.2,22.1,60.4,55.4,31.6,41.1,29.9,23.7,46.2,64.6,63.7,2.9,53.8,34.1,29.5,32.1,40.8,53.3
rollup,rollup-pluginutils,25.8,30.9,,35.4,36.7,6.9,20.7,,,26.9,12.0,14.1,68.2,13.3,44.1,75.1,,57.3,11.0
react-component,util,35.0,22.5,23.9,44.0,49.5,33.6,39.3,32.6,29.0,46.8,36.3,51.5,53.3,46.1,43.5,44.0,33.1,53.3,40.5
medikoo,cli-color,32.1,19.5,,43.3,65.6,6.9,20.8,,,41.1,37.8,24.0,52.0,50.5,23.4,37.8,2.2,30.3,22.9
d3,d3-selection,26.9,31.1,2.5,20.7,53.2,15.0,27.4,10.7,6.8,44.7,35.0,62.8,44.3,36.7,35.5,54.3,7.3,45.0,37.6
mysticatea,npm-run-all,26.2,5.8,,49.7,49.3,7.7,23.2,,,57.7,71.6,58.3,62.0,38.8,28.9,50.0,,36.8,45.9
kangax,html-minifier,38.4,28.1,,50.3,75.3,10.6,30.8,1.0,,71.8,69.2,71.9,76.0,70.1,45.5,67.3,10.8,58.4,50.6
istanbuljs,nyc,29.2,31.3,,61.2,24.6,14.0,34.1,7.8,,50.9,71.3,65.3,50.0,17.1,29.2,43.9,,43.8,50.2
alexgorbatchev,crc,34.9,25.5,,40.7,73.4,7.9,23.7,,,43.6,26.8,33.7,58.6,55.4,30.7,56.5,,35.8,22.8
segmentio,is-url,22.0,2.5,0.2,26.0,59.2,10.2,23.2,0.4,6.9,33.4,18.7,23.6,60.9,30.5,23.6,35.5,3.5,31.9,17.5
expressjs,cookie-parser,32.9,20.4,3.6,49.8,57.8,10.8,24.7,7.8,,54.9,56.6,56.9,67.8,38.2,30.2,47.1,3.9,39.6,41.4
kevva,decompress,31.6,20.1,,37.4,69.0,8.2,24.7,,,36.7,29.5,27.2,59.8,30.4,19.7,39.4,,19.6,21.6
nodemailer,nodemailer,42.8,49.5,24.6,56.8,40.5,35.7,47.9,28.4,30.8,71.8,86.6,85.0,61.1,54.4,47.5,62.0,34.4,46.1,69.1
stylus,stylus,35.3,39.6,21.6,59.8,20.1,31.3,40.6,29.6,23.6,72.7,81.3,82.4,70.0,57.0,43.0,38.7,25.7,64.8,65.0
codemirror,basic-setup,10.7,,,19.9,22.8,7.0,21.1,,,14.6,12.5,16.1,29.2,0.4,9.1,24.6,0.1,2.6,11.9
hapijs,hoek,39.0,30.9,24.6,43.4,57.2,21.7,28.3,15.3,21.5,49.2,33.1,51.8,71.9,40.0,41.1,44.7,16.9,61.8,35.5
gulpjs,fancy-log,38.3,30.9,10.0,56.0,56.1,10.4,23.0,2.8,5.5,30.4,16.0,15.3,67.6,22.6,28.1,48.7,4.8,30.8,13.9
vuejs,vue-loader,33.7,31.9,29.4,26.3,47.2,28.5,38.5,23.9,23.1,67.3,69.8,80.2,71.3,48.0,49.8,83.5,23.9,42.1,59.5
chartjs,Chart.js,32.9,42.1,27.2,34.3,28.2,41.8,51.4,36.5,37.4,78.9,98.4,98.0,60.5,58.8,55.6,67.4,38.6,60.7,79.4
react-dropzone,react-dropzone,32.6,32.5,9.2,72.6,16.1,14.7,33.5,10.7,,62.5,79.8,76.8,44.7,48.5,46.0,61.9,,76.1,57.1
Automattic,cli-table,30.6,16.6,,50.1,55.6,7.7,23.1,,,51.7,59.1,47.1,54.6,46.0,30.6,33.2,,58.7,38.0
dreamerslab,node.inflection,37.1,13.2,19.7,48.3,67.0,13.6,21.1,14.0,5.6,42.6,34.4,25.6,61.9,48.6,37.6,54.8,7.5,50.4,24.5
nock,nock,47.9,45.9,31.4,90.9,23.5,38.4,41.6,38.1,35.6,67.3,82.9,75.6,40.3,70.3,54.8,58.1,36.9,69.5,65.6
vuejs,vue,45.9,47.5,28.7,59.8,47.4,39.4,46.1,37.7,34.4,65.3,99.9,99.6,2.0,59.9,44.0,39.2,28.8,64.0,79.6
node-cache,node-cache,29.7,19.1,,50.1,49.7,11.5,27.8,6.7,,50.8,58.6,47.2,41.8,55.6,37.8,61.7,,51.7,39.1
NMFR,optimize-css-assets-webpack-plugin,17.5,13.6,,40.4,15.9,6.4,19.3,,,42.4,48.4,32.6,76.4,12.2,38.1,83.4,,31.0,29.1
jsdoc,jsdoc,46.7,35.7,31.4,69.2,50.5,30.8,39.3,36.0,17.3,67.9,85.8,85.9,41.4,58.5,35.6,48.7,30.0,28.0,67.5
standard,eslint-config-standard,40.1,46.0,28.6,51.9,33.8,35.5,36.6,42.5,27.4,53.1,60.5,72.1,63.0,17.0,48.7,58.0,33.6,54.5,56.0
geraintluff,tv4,28.3,3.9,,51.6,57.8,6.7,20.0,,,43.5,48.8,53.7,37.2,34.4,27.4,37.0,,45.2,36.4
inxilpro,node-app-root-path,28.6,12.6,,52.9,49.0,6.5,19.5,,,38.5,36.7,19.6,66.1,31.6,19.8,48.6,,10.9,20.9
localForage,localForage,35.2,34.2,1.5,71.6,33.4,14.1,31.5,10.8,,68.2,92.9,83.8,51.1,44.8,42.8,50.7,,77.6,63.6
indexzero,node-pkginfo,30.1,9.6,,33.2,77.8,6.5,19.5,,,20.5,18.4,17.6,2.1,44.0,9.8,15.6,,13.9,14.2
preactjs,preact,38.7,39.9,24.4,71.0,19.6,43.1,49.0,42.2,38.1,70.4,96.4,89.1,53.1,42.9,59.6,71.8,41.8,65.3,76.2
tdegrunt,jsonschema,36.5,15.0,8.7,53.8,68.3,15.4,31.1,8.7,6.5,50.3,55.4,59.8,47.9,38.0,36.7,42.3,3.2,64.5,43.5
vuejs,eslint-plugin-vue,40.6,37.7,30.4,46.6,47.7,43.2,50.1,39.5,39.9,61.2,68.1,73.3,66.9,36.5,51.0,43.8,39.2,70.0,61.5
vuejs,router,37.8,31.5,27.5,44.6,47.4,44.3,50.7,39.9,42.4,60.3,65.8,82.0,69.8,23.8,50.4,66.9,37.3,46.9,64.0
simov,slugify,33.5,31.5,10.4,37.1,55.2,11.7,28.4,6.8,,47.8,52.2,44.3,60.8,34.1,33.9,39.9,2.5,59.4,36.1
karma-runner,karma,48.9,28.5,23.4,79.9,64.0,20.6,33.0,17.2,11.6,78.8,82.0,88.0,74.8,70.4,54.9,66.4,19.4,78.9,63.5
Unitech,pm2,56.3,40.3,22.4,83.0,79.7,35.2,46.6,30.7,28.4,71.4,96.8,92.3,38.2,58.2,40.3,47.2,23.2,50.4,74.8
gulpjs,liftoff,31.9,16.8,,54.5,56.5,6.6,19.8,,,45.9,42.7,28.8,63.6,48.5,31.9,46.7,8.8,40.1,26.0
krisk,Fuse,44.3,55.2,30.3,60.7,31.1,23.7,37.2,23.1,10.7,62.3,87.6,77.6,28.8,55.2,36.0,34.5,23.9,49.5,63.0
timoxley,columnify,37.5,3.2,,56.1,90.7,7.0,20.7,0.3,,32.5,30.2,21.5,50.3,27.9,35.3,67.0,0.4,38.4,19.6
stylelint,stylelint-config-standard,31.8,30.3,19.9,58.6,18.4,28.6,33.2,27.1,25.5,44.7,51.5,44.0,50.9,32.5,47.3,54.1,28.5,59.3,41.4
coopernurse,node-pool,32.2,10.3,,47.7,70.9,8.2,24.7,,,47.6,59.5,60.8,21.9,48.1,31.4,36.9,,57.4,42.8
standard-things,esm,13.8,17.1,0.2,23.5,14.1,10.0,22.6,0.5,7.0,51.9,70.5,48.6,53.8,34.6,29.0,78.4,3.5,5.2,43.0
ogt,valid-url,26.2,2.4,,36.5,66.0,6.7,20.0,,,32.0,21.3,17.3,58.9,30.7,24.2,43.4,,29.0,15.1
tleunen,babel-plugin-module-resolver,22.3,6.9,,43.0,39.4,6.7,20.0,,,49.6,65.0,56.2,62.8,14.6,43.0,73.6,,55.5,42.6
mathisonian,command-exists,30.6,3.4,,52.8,66.2,6.7,20.1,,,31.0,17.7,15.8,69.0,21.4,40.7,61.5,,60.6,13.4
kevva,download,30.0,8.2,3.2,39.6,69.1,9.0,20.1,7.0,,48.3,50.3,55.1,57.8,29.9,34.4,49.2,,54.2,38.1
TooTallNate,node-plist,35.4,8.9,8.8,45.3,78.5,17.1,26.1,7.2,17.9,38.2,33.3,44.5,26.9,48.0,41.0,54.1,14.8,54.0,31.6
d3,d3,34.6,38.0,25.5,21.7,53.3,37.3,46.3,30.9,34.6,80.8,99.4,98.9,49.5,75.5,44.8,53.0,36.0,45.4,78.5
karma-runner,karma-chrome-launcher,31.0,7.3,2.0,50.3,64.2,10.7,21.1,11.1,,50.3,32.2,45.3,74.1,49.7,46.2,71.8,10.3,56.3,29.4
SamVerschueren,listr,31.5,4.4,,62.6,59.1,7.5,22.6,,,44.0,64.0,45.1,56.9,10.2,33.6,45.1,,55.8,38.9
sass,node-sass,47.7,43.8,24.8,75.7,46.7,13.6,33.8,7.2,,75.8,77.5,84.7,75.7,65.2,36.5,50.6,17.6,41.5,58.6
ladjs,consolidate,22.8,,11.2,37.8,42.0,20.8,28.0,17.1,17.2,11.7,8.3,7.0,27.6,3.9,38.8,27.1,15.4,73.8,12.0
webpack-contrib,stylus-loader,44.2,31.2,19.1,64.5,61.8,28.4,31.5,26.2,27.5,46.3,33.7,40.4,68.9,42.1,48.0,63.7,27.9,52.5,34.2
yeikos,js.merge,25.1,11.0,3.5,35.7,50.4,16.6,26.0,13.1,10.8,38.7,19.4,24.5,67.0,44.0,27.3,50.4,9.5,22.0,20.2
expressjs,session,48.5,47.6,27.7,61.5,57.1,29.8,37.4,26.2,25.9,50.9,72.9,80.8,1.9,48.2,35.8,22.5,24.8,60.2,61.2
react-bootstrap,react-bootstrap,42.6,40.5,29.0,63.7,37.5,40.9,47.4,36.4,38.8,75.6,91.5,94.7,65.8,50.4,54.3,73.8,37.2,51.9,75.7
stylelint-scss,stylelint-scss,36.4,29.0,30.8,74.7,11.2,38.2,40.7,41.2,32.7,41.5,43.1,38.4,48.1,36.4,56.1,58.2,38.4,71.6,39.9
palantir,tslint,30.8,31.2,,40.5,51.5,6.3,18.9,,,70.2,72.4,80.0,70.9,57.6,46.1,77.0,,61.2,52.9
bvaughn,react-virtualized,39.9,29.2,,83.5,47.1,10.9,27.8,4.8,,60.7,93.3,93.8,36.8,18.9,48.7,73.6,,72.4,66.0
xmldom,xmldom,28.6,22.3,24.8,65.5,1.7,36.7,38.3,40.7,31.2,34.8,25.4,37.3,56.6,19.8,52.6,59.0,38.3,60.4,33.1
gulpjs,plugin-error,26.8,7.4,,43.9,56.0,6.1,18.3,,,28.0,10.0,13.2,64.6,24.2,27.5,49.3,,33.4,9.8
Automattic,mongoose,54.1,44.2,30.2,86.4,55.8,46.1,50.3,47.1,40.9,84.8,93.8,94.8,75.4,75.0,47.2,54.4,43.9,43.2,78.2
karma-runner,karma-jasmine,33.9,14.9,12.9,43.5,64.2,14.0,25.8,9.2,7.1,53.2,34.7,50.7,73.8,53.5,50.8,73.4,13.2,65.7,33.1
jaredhanson,passport,47.2,30.9,8.3,65.2,84.5,21.5,38.1,19.2,7.2,69.7,91.6,83.4,61.5,42.5,32.1,46.0,9.6,40.6,65.5
jinder,path,21.7,2.9,,34.3,49.6,9.0,23.6,3.4,,32.8,16.9,36.1,58.7,19.4,16.4,38.8,,10.5,20.7
chjj,blessed,35.8,22.3,,58.5,62.2,8.9,26.6,,,55.9,81.2,70.9,37.3,34.3,13.2,29.6,,10.1,53.7
Pomax,react-onclickoutside,29.6,12.1,,55.1,51.1,6.2,18.7,,,45.9,55.9,53.6,46.1,28.2,46.9,70.8,,69.8,38.6
mariocasciaro,object-path,28.5,7.7,,59.5,46.8,6.2,18.7,,,46.3,46.4,38.7,71.0,29.2,38.8,70.0,,46.4,30.4
SheetJS,sheetjs,31.4,40.3,14.7,24.3,46.5,10.9,23.9,8.7,,67.7,96.3,97.2,42.5,34.9,38.4,44.7,10.1,60.3,68.1
jaredhanson,passport-strategy,32.6,7.0,,39.5,84.1,6.4,19.2,,,31.2,15.5,19.3,59.4,30.6,15.8,45.1,,2.4,13.7
gulpjs,vinyl-fs,36.6,33.8,,56.2,56.2,6.4,19.3,,,51.9,45.3,51.3,62.9,48.0,43.6,47.7,11.8,71.2,34.3
oclif,config,19.5,7.8,16.3,22.8,31.0,24.0,24.8,29.5,17.8,22.7,10.3,22.0,25.1,33.5,47.7,54.8,29.5,58.7,18.8
SeleniumHQ,selenium,50.1,41.0,33.9,93.2,32.4,47.6,51.9,47.5,43.2,74.5,95.4,97.1,46.2,59.4,52.9,67.0,45.6,46.2,80.0
wnr,element-resize-detector,37.3,31.4,,48.6,69.2,6.5,19.4,,,38.3,50.9,42.6,41.0,18.8,30.8,59.4,,33.0,33.3
browserify,browserify,41.5,17.7,0.7,83.6,64.2,14.6,30.0,6.4,7.3,70.0,85.6,82.9,52.7,58.6,40.0,43.2,3.6,73.2,61.0
mathiasbynens,base64,29.6,7.0,,45.9,65.5,6.3,19.0,,,35.7,33.6,40.5,45.1,23.6,13.6,38.4,,2.5,26.8
mscdex,ssh2,45.2,47.5,16.3,58.9,58.2,20.9,37.1,18.3,7.4,54.5,71.0,74.6,35.2,37.4,23.3,36.4,14.6,18.9,55.5
airbnb,enzyme,43.2,22.6,12.6,75.5,62.0,9.8,24.2,5.0,,61.7,89.7,90.0,54.1,13.0,41.6,52.0,13.4,59.3,63.1
epeli,underscore.string,12.6,10.1,,40.2,,6.4,19.1,,,60.4,64.8,68.2,52.4,56.0,38.0,56.2,,57.9,46.5
sindresorhus,user-home,40.8,31.4,,55.2,76.8,6.4,19.1,,,29.3,18.5,12.9,63.4,22.2,18.0,40.9,,13.1,12.6
angular,components,48.3,35.7,27.2,65.5,64.8,47.6,52.0,47.8,43.0,72.9,92.8,96.8,59.5,42.6,56.4,78.2,46.0,44.9,79.1
vuejs,vue-style-loader,20.0,5.1,,27.4,47.4,7.3,21.9,,,34.6,21.9,32.4,71.7,12.4,35.8,56.0,,51.2,20.5
stevemao,left-pad,27.3,18.2,,26.0,64.8,7.5,22.4,,,48.5,50.5,48.2,70.2,24.9,33.1,45.6,,53.7,35.4
remarkjs,react-markdown,46.2,36.0,24.6,80.0,44.2,27.2,42.3,28.5,10.9,58.8,82.2,78.6,45.7,28.7,46.2,45.3,24.2,69.0,62.7
Hacker0x01,react-datepicker,49.2,37.0,29.3,86.1,44.6,46.6,53.2,46.0,40.7,65.8,75.9,91.0,44.9,51.6,58.4,62.0,43.4,69.7,71.2
nfl,react-helmet,35.6,20.0,0.7,75.8,46.0,11.7,30.1,5.1,,60.2,87.4,75.1,58.8,19.6,50.3,80.5,,70.4,58.1
node-js-libs,cli,23.5,8.5,,32.5,53.0,7.2,21.6,,,41.3,41.4,34.6,43.0,46.1,21.4,32.5,,31.6,27.7
koajs,compose,37.6,19.4,,59.3,71.5,7.2,21.6,,,43.4,45.6,48.0,49.7,30.1,40.7,63.3,5.5,53.3,33.6
http-party,http-server,40.4,32.7,0.9,76.2,52.0,14.6,31.0,12.9,,68.2,84.0,86.2,48.4,54.3,47.9,66.2,18.1,59.3,61.6
ethereumjs,ethereumjs-monorepo,36.7,40.0,29.9,38.1,38.9,44.3,48.9,45.7,38.2,48.0,59.8,74.1,12.5,45.5,54.3,46.5,44.1,72.2,59.4
dcodeIO,bcrypt.js,28.2,21.8,,45.7,45.4,11.2,28.6,5.0,,46.3,64.9,59.6,23.4,37.4,14.8,25.6,,18.7,45.2
goto100,xpath,38.7,44.6,32.5,37.3,40.2,32.3,40.7,29.5,26.7,31.7,21.2,32.9,35.7,36.9,31.8,33.8,13.3,48.3,28.8
hapijs,boom,36.2,32.0,7.8,47.4,57.7,11.2,28.6,4.9,,56.3,62.3,54.0,68.7,40.0,39.2,46.3,6.9,64.3,42.5
request,request-promise,30.1,14.0,0.9,54.7,50.7,10.1,27.0,3.4,,52.2,68.8,62.3,48.8,29.1,33.0,43.4,,55.6,47.1
expressjs,errorhandler,35.0,31.4,,50.7,57.7,7.3,21.8,,,42.3,30.0,30.4,68.5,40.4,26.1,52.0,,26.3,22.6
react-icons,react-icons,37.9,34.1,33.7,51.2,32.4,39.6,49.5,35.9,33.6,65.1,80.9,75.3,70.3,33.8,50.5,61.6,34.6,55.1,65.3
apostrophecms,sanitize-html,41.7,39.0,6.4,78.6,42.9,18.7,35.9,7.8,12.2,52.2,65.9,67.5,45.9,29.4,37.8,45.4,6.1,61.9,50.7
react-dnd,react-dnd,30.0,29.6,11.1,58.2,21.0,15.6,37.3,9.7,,67.8,89.9,89.6,44.5,47.2,39.9,74.0,4.3,41.5,65.0
mishoo,UglifyJS2,50.4,43.1,16.6,80.5,61.5,7.3,22.0,,,12.3,,,19.7,29.6,18.4,27.0,24.8,3.4,2.4
zenorocha,clipboard.js,47.6,47.0,10.2,75.3,58.1,14.1,32.9,9.4,,58.1,96.2,95.1,7.7,33.2,42.1,56.4,4.2,65.8,68.5
reactjs,react-modal,37.0,28.4,28.1,58.4,33.1,25.0,39.2,15.1,20.7,57.0,74.9,78.1,50.8,24.3,56.9,77.4,18.5,74.8,59.3
medialize,URI.js,34.8,13.0,,71.9,54.4,13.9,22.1,19.7,,57.4,73.4,71.6,23.7,61.0,28.1,25.5,,58.9,53.0
sindresorhus,tildify,33.9,7.9,,50.7,77.1,7.4,22.1,,,28.8,14.6,11.4,59.1,30.1,26.5,44.1,,35.5,11.1
apollographql,apollo-link,28.7,5.3,,70.7,38.8,7.4,22.1,,,43.5,52.6,65.9,49.3,6.1,53.5,82.2,,78.3,42.0
winstonjs,winston-daily-rotate-file,35.8,31.2,24.8,39.1,48.0,15.5,35.2,5.9,5.4,36.9,43.2,49.3,33.1,22.0,38.3,46.1,8.6,60.4,36.0
facebook,react-native,48.9,40.7,26.9,81.2,46.9,45.2,49.8,44.0,41.7,78.8,99.6,99.0,67.3,49.1,55.5,70.0,46.2,50.3,81.3
75lb,command-line-args,34.7,21.3,,52.5,65.2,6.9,17.1,3.7,,40.1,38.0,41.8,49.6,31.1,23.7,54.4,0.8,16.0,28.9
naugtur,xhr,35.3,18.1,,74.9,48.3,5.7,17.1,,,45.3,42.0,41.4,58.4,39.3,38.5,59.3,,56.2,29.7
sidorares,node-mysql2,49.2,20.7,30.2,69.5,76.2,43.4,46.9,44.3,39.1,61.9,67.1,72.4,56.7,51.4,44.6,55.6,43.0,35.2,61.0
vuejs,vue-hot-reload-api,20.0,4.5,,28.8,46.8,5.7,17.2,,,36.5,32.3,26.9,70.1,16.6,39.3,76.4,,41.4,21.6
vuejs,vuex,36.0,36.6,6.4,53.9,47.2,16.2,27.8,14.7,6.1,73.2,95.2,97.5,63.9,36.2,49.6,72.9,7.1,68.8,69.6
prettymuchbryce,http-status-codes,34.2,33.9,5.3,44.9,52.8,17.2,26.6,13.8,11.4,41.2,45.1,40.8,37.9,41.0,35.0,58.0,10.7,36.3,34.4
kelektiv,node-cron,52.7,39.8,28.6,91.8,50.8,36.3,39.9,42.5,26.5,63.0,76.7,72.8,39.1,63.3,48.1,41.9,36.0,66.3,61.9
jasmine,jasmine-npm,41.1,44.2,4.0,63.8,52.5,11.1,19.3,8.0,6.2,36.8,28.5,47.6,24.2,46.8,22.8,30.0,3.1,35.1,29.1
parshap,node-sanitize-filename,31.2,8.0,,42.9,73.9,7.8,19.7,3.8,,22.6,26.3,27.8,7.0,29.5,25.0,52.9,,22.1,20.6
mui-org,material-ui,40.0,40.2,29.0,91.0,,43.8,42.4,46.6,42.5,78.4,99.0,99.5,62.6,52.3,56.8,71.6,46.5,52.5,80.8
knex,knex,36.9,38.4,33.6,54.5,21.2,39.9,39.9,38.6,41.2,71.2,88.7,90.3,49.2,56.6,55.9,54.0,43.1,70.7,73.0
sequelize,sequelize,48.3,47.1,33.5,75.8,36.7,42.4,39.9,47.6,39.7,82.3,95.5,95.6,59.9,78.2,55.2,66.2,44.1,55.4,77.8
react-component,slider,38.3,28.5,24.3,51.1,49.4,30.2,30.1,31.1,29.6,45.4,62.8,75.8,7.1,36.0,49.0,34.6,32.5,80.0,56.3
trentm,node-bunyan,36.9,6.2,9.7,80.5,51.1,8.5,16.4,9.1,,59.2,74.5,71.0,50.5,40.6,37.1,66.4,2.9,41.9,51.3
nashwaan,xml-js,22.2,3.6,,55.0,30.4,5.7,17.1,,,42.7,49.6,53.2,50.2,17.9,34.5,79.6,,23.9,36.2
websockets,bufferutil,29.9,43.5,4.7,35.6,35.7,10.4,15.6,9.3,6.3,31.8,16.6,24.9,54.5,31.2,29.2,39.2,9.9,38.4,17.3
firebase,firebase-js-sdk,47.7,33.8,27.6,88.6,40.9,42.1,40.8,44.5,41.1,57.7,68.6,79.1,65.5,17.4,69.7,83.6,45.5,80.1,63.3
hudochenkov,stylelint-order,33.0,27.1,28.3,38.2,38.5,15.3,20.4,19.1,6.4,36.1,44.2,31.5,42.9,25.6,33.6,55.2,12.8,32.8,30.3
googleapis,google-api-nodejs-client,51.6,34.3,33.7,90.5,48.1,40.4,44.1,43.6,33.5,60.5,81.1,89.0,7.2,64.9,40.9,34.2,39.6,48.8,70.2
FortAwesome,Font-Awesome,33.0,24.4,18.1,70.3,19.3,29.4,42.2,23.0,22.9,79.2,98.7,98.2,58.1,61.6,34.3,39.2,11.4,52.2,75.4
webpack-contrib,eslint-loader,39.7,31.6,,64.9,62.2,5.5,16.6,,,51.8,46.6,46.0,74.2,40.6,50.0,85.3,,64.6,32.7
ciaranj,node-oauth,29.6,4.7,12.8,21.0,79.8,9.3,18.0,10.0,,47.6,59.7,74.2,7.3,49.0,23.1,23.0,,46.3,47.7
webpack-contrib,html-loader,52.6,54.9,18.8,74.2,62.6,25.4,28.7,24.5,23.0,52.6,48.7,55.3,63.1,43.3,51.8,64.8,24.7,65.8,43.1
npm,security-holder,21.8,,,25.9,61.4,5.4,16.2,,,17.1,17.9,26.5,13.5,10.4,20.2,23.0,,37.8,16.6
pugjs,pug,34.8,33.7,,52.3,52.9,9.0,26.9,,,74.7,90.9,89.4,56.0,62.6,40.6,71.6,2.5,47.7,63.1
typeorm,typeorm,47.1,36.6,38.8,88.9,24.0,45.3,49.4,42.1,44.2,67.4,96.0,96.6,48.5,28.4,47.2,59.3,22.1,60.3,79.3
yiminghe,async-validator,29.5,14.1,2.9,56.5,44.4,9.4,23.8,4.5,,57.6,77.9,76.2,58.0,18.2,39.5,74.1,,44.5,54.5
formatjs,formatjs,48.3,52.6,37.0,62.1,41.4,42.1,45.9,42.2,38.4,66.6,85.1,85.2,40.8,55.4,57.1,76.8,38.3,56.3,70.8
flitbit,diff,29.8,10.5,,45.8,62.9,5.5,16.4,,,51.1,62.4,59.1,47.8,35.0,34.5,62.9,,40.6,42.3
driverdan,node-XMLHttpRequest,27.9,2.7,,43.9,64.8,5.5,16.4,,,37.4,29.6,63.1,7.4,49.6,22.8,19.7,,48.5,32.7
gulpjs,gulp,44.7,40.4,6.0,75.9,56.5,12.4,28.4,8.9,,76.6,95.9,95.7,68.8,45.9,44.3,53.2,,79.7,68.0
roryrjb,md5-file,20.0,17.8,,49.9,12.1,5.8,17.3,,,31.3,20.9,14.9,62.2,27.1,27.4,42.5,,39.9,13.9
mathiasbynens,utf8.js,30.9,3.6,,54.5,65.5,5.3,16.0,,,41.3,34.8,45.4,53.6,31.6,16.8,41.9,,8.4,28.5
firebase,firebase-admin-node,45.4,30.8,32.9,77.0,40.9,39.4,44.1,40.2,33.8,39.6,53.6,65.1,7.5,32.2,48.0,44.6,39.8,59.5,52.7
59naga,babel-plugin-add-module-exports,24.6,10.3,,25.9,62.1,5.4,16.1,,,34.5,39.4,27.3,48.9,22.4,35.4,78.1,,28.1,24.0
75lb,command-line-usage,38.2,23.1,,64.2,65.5,5.4,16.1,,,27.8,20.3,21.6,46.7,22.6,17.4,43.2,5.6,3.5,15.8
jimp-dev,jimp,33.4,17.5,29.9,72.7,13.7,30.0,38.3,23.3,28.3,65.2,84.2,76.0,53.2,47.2,48.5,65.5,29.5,50.5,63.4
mapbox,node-pre-gyp,50.4,32.0,17.9,80.0,71.5,20.0,30.0,18.6,11.5,53.0,47.9,63.0,72.8,28.2,50.5,64.8,17.2,69.3,43.6
kelektiv,node.bcrypt.js,44.4,43.4,19.4,63.9,50.9,27.5,39.2,18.7,24.5,53.9,74.6,70.5,7.6,62.7,44.3,43.7,19.5,69.6,57.5
enzymejs,enzyme,31.8,23.1,14.5,74.4,15.2,8.6,19.9,6.0,,61.7,89.6,90.1,54.2,12.9,41.4,51.8,13.5,58.8,62.8
ant-design,ant-design,43.6,35.3,26.5,74.4,38.0,44.7,42.8,47.5,43.6,75.4,98.9,99.8,54.7,48.2,58.3,51.2,47.0,76.8,81.1
lit,lit,35.2,31.2,27.1,75.0,7.6,44.7,46.8,45.8,41.6,60.0,87.5,79.2,36.5,36.8,57.3,58.6,44.5,68.6,70.5
Automattic,node-canvas,41.1,35.7,16.0,56.7,55.9,31.4,41.6,23.8,28.8,56.3,79.3,82.5,6.1,57.1,45.1,29.4,28.8,77.1,64.4
mattyork,fuzzy,26.0,2.9,,49.2,52.0,5.2,15.5,,,41.9,42.4,38.0,44.1,43.0,18.8,45.0,,11.5,28.5
casesandberg,react-color,32.3,17.3,9.6,57.7,44.5,11.5,24.1,10.6,,56.6,81.8,80.1,39.4,25.2,37.4,52.3,,60.0,57.8
cryptocoinjs,bs58,27.1,23.0,,28.0,57.4,5.2,15.6,,,31.8,20.1,24.2,54.0,28.7,24.9,37.3,,37.5,16.5
shouldjs,should.js,31.6,22.8,,61.7,42.0,5.2,15.6,,,44.5,56.7,45.8,44.8,30.8,32.8,48.6,,49.7,35.9
anseki,readline-sync,37.9,32.3,,66.3,52.9,5.0,15.1,,,34.3,41.3,29.3,36.9,29.6,12.3,31.5,,5.5,25.2
quilljs,quill,39.4,38.6,33.3,56.4,29.2,39.4,43.6,41.4,33.4,73.5,96.5,93.9,41.5,62.3,46.5,61.1,36.3,42.1,76.6
substack,brfs,21.8,25.5,,60.4,1.1,5.5,16.6,,,39.3,35.2,32.5,48.6,41.0,19.7,39.6,,19.6,24.4
domenic,chai-as-promised,36.4,23.4,2.5,57.2,62.5,7.1,19.7,1.5,,48.2,52.1,42.4,46.8,51.4,34.5,62.0,,41.5,33.9
oclif,command,21.1,11.7,18.4,23.5,30.7,23.6,21.4,30.8,18.5,24.8,17.5,24.6,24.7,32.5,44.9,55.1,29.9,49.8,21.9
dylang,shortid,36.1,24.6,,49.4,70.5,5.4,16.1,,,55.2,71.9,61.3,46.4,41.2,34.3,68.7,,34.3,46.2
