owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity
cheeriojs,cheerio,52.0,51.1,34.4,74.6,48.1,42.5,50.9,46.3,30.4,77.8,94.6,87.4,65.0,64.3,59.2,66.4,38.5,72.8,74.8
mochajs,mocha,38.0,52.7,25.6,45.0,28.7,37.7,52.9,30.1,30.1,81.3,91.7,93.5,70.6,69.5,65.1,75.7,35.7,84.0,74.3
ljharb,json-stable-stringify,33.9,20.0,14.3,53.0,48.4,27.0,42.0,22.1,16.7,24.7,11.9,10.4,76.5,0.1,34.4,41.2,21.8,40.2,16.4
rbuckton,reflect-metadata,33.8,28.9,24.6,42.1,39.8,23.5,36.6,30.3,3.5,54.7,63.1,52.2,73.7,29.7,22.2,46.6,11.3,8.8,46.3
tomas,needle,36.6,15.5,25.3,51.4,54.0,25.3,42.3,16.7,16.8,61.9,53.8,58.8,75.5,59.4,45.4,59.2,14.1,62.9,46.0
archiverjs,node-archiver,40.6,40.6,33.0,46.5,42.2,35.6,48.0,36.3,22.6,58.4,61.3,57.6,55.6,59.2,37.4,40.4,29.2,42.5,51.5
webpack-contrib,copy-webpack-plugin,45.2,44.3,22.8,50.8,62.6,29.8,43.1,23.9,22.5,59.5,61.9,62.2,76.8,37.0,49.2,61.4,26.0,60.2,51.3
reworkcss,css,29.5,13.5,5.2,38.8,60.7,14.2,31.7,10.9,,57.4,53.5,59.4,78.8,37.8,24.7,42.5,,31.7,42.4
js-cookie,js-cookie,48.0,47.9,21.0,86.5,36.5,28.3,41.1,26.9,17.0,69.0,91.1,90.6,58.3,36.0,40.3,43.5,24.5,53.0,70.0
chrisdickinson,raf,37.3,23.5,,40.6,85.2,9.2,27.7,,,46.8,39.5,31.2,81.9,34.7,30.7,42.1,,50.0,26.6
webpack,webpack-cli,53.6,52.4,27.6,75.5,58.8,39.5,47.8,42.9,27.7,59.3,60.4,72.3,73.6,30.8,47.9,71.5,36.8,35.4,57.4
dominictarr,JSONStream,35.1,6.0,,43.4,90.9,9.3,27.8,,,54.7,56.4,52.4,67.4,42.6,26.6,35.8,,44.0,39.4
d3,d3-array,24.2,20.8,4.0,18.4,53.5,13.6,29.0,8.3,3.6,44.5,31.7,54.2,52.6,39.6,36.3,53.6,9.2,46.2,33.2
highlightjs,highlight.js,47.8,45.1,31.9,89.8,24.2,47.1,58.6,40.0,42.6,80.2,92.2,94.6,69.5,64.5,51.8,62.3,42.8,50.4,78.0
reduxjs,react-redux,40.6,39.4,23.4,77.4,22.4,42.7,53.3,38.6,36.3,75.9,92.3,94.3,74.9,42.1,63.6,80.8,37.3,72.8,76.4
facebook,fbjs,33.4,25.0,2.4,59.4,46.9,16.2,34.6,14.1,,52.4,57.2,63.2,72.7,16.6,51.7,81.1,7.8,66.3,45.5
yeoman,update-notifier,41.7,44.4,2.3,58.6,61.4,13.1,32.2,4.7,2.4,57.4,55.2,48.7,76.6,49.2,35.2,40.5,3.8,61.2,39.0
postcss,postcss-nested,28.3,26.7,7.2,28.4,51.0,19.9,36.2,9.2,14.2,45.1,48.1,31.4,80.7,20.1,38.8,53.3,12.9,50.1,33.1
csstools,postcss-plugins,48.0,41.2,31.9,69.8,49.2,40.3,50.0,46.0,24.9,38.9,41.5,31.0,82.5,0.6,42.4,62.1,35.6,29.4,37.6
angular,angular-cli,57.7,41.2,34.8,90.1,64.8,48.4,57.9,47.9,39.5,68.0,94.0,98.1,32.7,47.3,49.0,59.8,44.2,42.9,80.2
reduxjs,reselect,30.8,33.6,28.8,38.2,22.4,41.4,49.8,42.5,31.9,67.5,88.9,74.0,70.7,36.2,54.0,70.3,34.3,57.5,68.1
fshost,node-dir,25.3,6.2,,29.3,65.6,8.2,24.6,,,36.4,21.5,24.1,64.0,36.0,23.9,40.4,,31.3,17.9
bruce,node-temp,32.0,23.7,,29.4,74.9,9.0,27.0,,,29.9,31.4,29.8,6.0,52.2,31.2,38.6,,55.0,23.4
Stuk,jszip,29.8,26.0,,19.2,73.9,15.1,38.7,6.8,,70.0,78.7,84.2,67.2,49.7,45.3,68.3,,67.5,59.4
sinonjs,sinon,45.3,44.1,29.6,73.7,33.8,40.8,50.7,36.2,35.3,68.4,78.8,76.6,55.8,62.2,51.0,63.8,34.9,54.2,65.4
webpack-contrib,source-map-loader,43.5,44.2,19.5,47.9,62.5,28.8,36.9,24.4,25.1,45.8,28.0,37.2,80.0,38.1,47.0,64.1,25.4,51.7,31.3
arcanis,pnp-webpack-plugin,17.9,4.9,,18.9,47.9,8.8,26.3,,,29.4,23.4,14.7,76.9,2.5,30.4,80.4,,10.6,15.6
pngjs,pngjs,27.6,9.7,19.3,46.0,35.2,16.4,32.1,17.2,,38.6,37.4,39.3,62.7,15.0,40.7,70.3,13.2,38.5,31.0
jshttp,basic-auth,27.4,22.1,,30.7,56.8,8.6,25.9,,,46.2,38.4,37.1,72.5,36.8,27.2,47.0,,34.5,28.0
Raynos,global,30.3,3.3,,29.2,88.8,8.2,24.6,,,32.9,22.7,17.4,66.8,24.6,15.9,35.3,,12.4,16.1
JedWatson,react-select,48.4,45.3,19.5,66.6,62.1,37.8,52.7,28.6,32.1,71.3,94.3,95.4,52.2,43.2,52.2,60.1,23.4,73.2,75.8
FezVrasta,popper.js,45.6,43.6,25.4,59.9,53.4,45.7,55.1,44.0,38.0,73.6,95.0,86.7,72.0,40.6,53.5,74.9,40.5,44.9,75.8
styled-components,polished,47.1,44.9,26.7,88.6,28.2,14.3,27.8,12.6,2.5,53.5,75.6,55.8,49.8,32.8,47.2,69.3,17.1,55.1,48.6
pvorb,node-md5,34.8,20.5,,39.7,79.0,8.4,25.1,,,40.2,44.1,53.5,21.2,42.1,27.0,50.2,,30.8,35.3
senchalabs,connect,35.9,29.9,,54.0,59.7,9.0,27.1,,,71.9,79.2,82.1,77.9,48.3,20.2,45.4,,15.0,56.8
styled-components,styled-components,44.9,45.7,30.5,75.2,28.4,44.1,54.9,38.2,39.3,73.9,96.7,92.1,69.9,36.9,53.9,74.3,39.8,47.6,77.6
jfromaniello,url-join,38.7,24.6,18.8,37.6,73.8,26.0,33.1,25.4,19.6,37.5,27.4,23.8,64.1,34.8,34.9,43.7,18.7,42.2,25.7
apollographql,graphql-tag,35.6,13.4,23.1,67.4,38.6,28.8,39.4,21.9,25.0,46.9,59.2,52.6,61.0,14.9,42.9,61.7,25.4,41.5,46.9
