owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile
json5,json5,34.0,21.5,2.2,82.6,29.9,13.2,33.1,6.5,,68.9,73.0,57.2,95.7,49.7,46.3,83.9,,55.0,47.8,40.6
isaacs,node-mkdirp,37.9,34.5,0.2,30.2,86.7,10.0,26.9,0.5,2.6,45.1,19.4,23.8,95.3,41.9,33.3,54.8,11.9,33.2,17.7,31.6
sindresorhus,execa,50.7,36.7,25.2,66.1,75.0,38.6,40.6,42.0,33.1,63.2,73.1,56.7,93.5,29.6,41.4,37.1,38.8,48.4,56.1,48.5
ljharb,qs,39.2,17.1,17.4,73.8,48.5,23.7,33.6,19.5,18.1,68.2,76.9,75.1,98.4,22.4,44.6,42.5,26.1,65.2,58.6,43.9
nodeca,js-yaml,37.1,33.7,7.9,50.0,57.0,10.9,26.8,5.9,,72.2,72.6,78.4,95.2,42.5,36.9,53.4,10.9,46.4,54.0,39.3
browserify,resolve,42.3,27.9,21.7,55.1,64.6,18.9,29.8,24.1,2.7,60.3,40.5,58.6,98.3,43.9,38.9,46.5,15.8,54.4,39.3,40.1
websockets,ws,43.0,38.3,27.1,71.0,35.8,33.1,43.8,30.2,25.4,85.5,90.4,91.3,93.0,67.2,49.4,43.3,25.5,79.5,71.6,52.8
nodeca,argparse,37.6,57.7,11.2,24.4,57.1,9.2,23.7,4.0,,50.4,32.9,34.4,95.4,38.8,31.5,47.5,10.8,36.0,25.5,32.2
sindresorhus,pify,42.6,29.5,,66.1,74.8,6.1,18.2,,,51.4,53.4,37.1,93.9,21.3,29.2,38.6,,48.9,32.2,32.3
postcss,postcss,39.5,34.8,22.9,48.9,51.6,37.7,44.4,33.9,34.8,83.6,95.0,86.8,94.1,58.5,52.5,48.6,32.6,76.2,73.2,53.3
form-data,form-data,22.7,21.9,,22.3,46.5,12.2,29.4,7.3,,68.0,59.1,61.9,93.4,57.5,36.0,46.7,,61.3,44.4,34.7
moxystudio,node-cross-spawn,18.2,11.9,,25.9,34.9,7.2,21.6,,,27.7,47.2,34.8,5.8,22.9,31.1,62.2,,30.9,29.7,21.0
sindresorhus,slash,35.2,29.6,,37.6,73.5,6.7,20.2,,,46.7,26.2,30.4,93.7,36.5,28.2,36.2,5.2,43.1,21.1,29.2
ashtuchkin,iconv-lite,24.0,17.1,0.7,28.9,49.5,12.9,31.3,7.3,,66.2,62.8,61.4,98.6,41.9,31.4,49.0,,45.2,45.7,33.6
micromatch,micromatch,30.2,15.5,4.7,62.9,37.8,13.3,30.5,6.6,2.8,59.1,60.9,50.0,96.9,28.8,24.1,36.7,2.5,32.9,41.4,31.7
sindresorhus,make-dir,39.2,20.3,11.3,49.1,75.9,20.3,32.4,10.7,17.9,40.8,32.7,22.7,94.2,13.6,34.0,43.2,15.4,43.5,25.2,33.6
sindresorhus,globby,47.5,36.6,17.2,60.2,76.1,22.1,37.0,11.2,18.0,60.8,60.0,49.3,93.2,40.5,40.3,36.3,17.9,66.8,43.8,42.7
broofa,mime,38.0,40.7,29.0,49.2,33.1,24.5,35.5,29.2,8.7,67.8,58.0,66.2,98.2,48.8,35.7,53.3,14.9,38.8,49.6,41.5
minimistjs,minimist,19.0,21.3,9.6,42.5,2.7,23.4,37.3,18.2,14.7,37.4,31.2,19.4,98.7,0.2,39.1,40.3,25.4,51.5,24.7,29.7
feross,buffer,39.9,28.8,21.0,43.5,66.2,31.7,39.4,23.6,32.0,57.8,54.7,58.5,89.4,28.4,38.7,36.9,25.4,53.8,48.3,42.0
jprichardson,node-jsonfile,31.7,26.3,,17.3,83.2,6.7,20.2,,,38.3,49.2,61.7,5.9,36.4,20.9,8.0,,54.6,39.2,24.4
visionmedia,bytes.js,23.2,17.6,,15.4,60.0,7.1,21.4,,,26.1,31.7,28.4,6.0,38.3,23.1,11.0,0.7,57.5,22.4,19.9
jshttp,http-errors,25.0,16.7,,25.8,57.4,9.6,24.8,4.1,,53.9,52.9,43.0,98.0,21.6,31.0,42.5,5.8,44.6,35.2,29.9
isaacs,node-graceful-fs,41.3,21.9,,56.6,86.6,10.3,26.7,4.2,,38.3,50.0,48.5,11.3,43.4,33.6,48.2,3.2,49.2,36.3,30.9
webpack,loader-utils,39.4,52.4,17.1,29.7,58.6,20.6,33.0,14.1,14.8,58.1,40.4,49.8,90.9,51.4,51.7,76.1,11.6,67.5,36.9,42.5
caolan,async,41.7,45.1,32.8,8.5,80.4,30.9,29.3,32.7,30.7,83.9,94.7,91.9,93.3,55.6,61.5,83.9,29.9,70.6,72.5,54.5
thlorenz,convert-source-map,43.2,22.1,10.6,62.3,77.6,9.0,13.9,4.4,8.8,44.3,19.1,30.2,94.4,33.4,32.1,39.8,5.4,51.1,19.4,32.1
cosmiconfig,cosmiconfig,43.9,39.8,24.1,79.5,32.4,31.8,39.5,31.1,24.7,56.5,66.6,46.2,92.0,21.4,52.3,61.3,26.5,69.0,48.2,46.1
dougwilson,nodejs-depd,28.9,16.3,,36.3,63.1,6.1,18.3,,,49.4,26.1,37.8,98.1,35.8,16.0,46.6,,1.5,23.3,25.1
facebook,regenerator,41.4,27.9,33.8,57.1,46.7,32.0,33.5,34.5,28.1,57.6,66.9,82.9,33.3,47.4,42.4,35.4,28.7,63.0,60.6,43.4
sindresorhus,strip-json-comments,41.0,28.7,4.8,56.4,74.2,11.8,16.1,4.3,14.9,48.7,36.3,27.9,93.8,36.8,32.2,37.5,10.2,49.0,25.3,33.4
jonschlinkert,isobject,32.2,10.3,,37.1,81.3,3.6,10.8,,,36.1,15.3,14.4,90.1,24.5,28.8,44.9,,41.5,11.1,25.2
jshttp,mime-types,32.6,30.7,3.7,39.4,56.9,9.0,17.4,9.7,,59.6,50.1,43.6,99.2,45.4,31.1,39.5,8.8,45.1,34.2,33.1
node-fetch,node-fetch,36.5,26.6,17.2,92.7,9.6,14.6,24.8,17.3,1.7,70.9,77.6,81.6,82.1,42.2,41.8,38.5,9.3,77.6,57.9,41.0
pillarjs,path-to-regexp,31.7,31.4,2.9,40.0,52.5,6.5,11.9,5.8,1.8,71.7,76.3,66.5,95.5,48.5,46.1,73.2,4.7,60.4,49.8,39.0
jshttp,cookie,41.9,43.7,24.2,42.7,57.0,16.4,16.3,17.9,15.0,61.3,49.9,49.0,96.0,50.5,37.3,38.9,17.4,55.6,38.4,39.2
evanw,node-source-map-support,22.3,4.0,,21.3,63.8,5.0,11.4,3.7,,40.6,58.5,59.6,6.2,38.0,37.1,47.9,,63.5,41.0,26.3
paulmillr,chokidar,29.3,31.7,8.7,40.7,36.2,18.6,28.9,11.2,15.6,75.0,80.0,71.7,97.8,50.3,47.9,54.2,18.1,71.3,56.8,42.7
tooTallNate,proxy-agents,34.4,37.7,18.5,2.7,78.5,38.6,48.6,31.7,35.6,38.5,41.2,56.2,3.2,53.6,35.8,26.4,35.2,45.6,45.3,36.8
isaacs,once,27.6,7.7,1.1,14.6,87.0,12.6,25.7,2.3,9.8,44.3,21.7,19.1,99.3,37.0,35.8,80.2,6.6,20.7,17.8,30.1
browserslist,browserslist,25.5,28.8,19.4,38.9,15.0,36.4,47.5,27.8,33.9,67.9,83.0,74.2,94.7,19.8,49.6,49.7,28.9,70.0,64.5,44.8
mrmlnc,fast-glob,48.0,47.2,19.1,82.4,43.5,32.1,41.0,34.4,21.0,54.7,59.4,40.9,91.9,26.5,30.3,40.1,29.9,20.9,44.1,41.3
sindresorhus,path-is-absolute,42.7,29.4,,67.5,73.7,7.4,22.1,,,35.3,11.9,12.0,99.0,18.4,16.3,43.8,,5.1,10.4,25.4
sindresorhus,ansi-escapes,41.4,6.3,1.4,84.2,73.8,8.8,21.7,4.0,0.6,44.2,32.2,27.6,91.6,25.4,29.8,41.4,7.0,41.0,22.9,31.0
jquery,esprima,29.3,13.6,,42.3,61.3,7.2,21.5,,,71.7,74.2,77.4,93.6,41.6,50.5,81.6,18.2,51.6,52.9,39.7
npm,ini,42.5,15.7,25.1,67.8,61.4,28.2,29.1,30.4,25.1,59.9,39.7,57.8,92.8,49.4,42.1,38.7,32.2,55.3,41.9,43.2
salesforce,tough-cookie,45.8,31.6,30.3,76.0,45.4,34.7,39.2,38.0,26.7,58.4,43.8,50.7,91.5,47.6,52.4,51.7,29.8,75.8,43.1,47.8
jonschlinkert,is-plain-object,35.1,12.1,,47.2,81.2,6.9,20.8,,,38.2,18.2,18.6,89.2,26.9,26.2,45.4,,33.1,14.6,26.6
alexei,sprintf.js,27.0,7.1,6.7,59.2,34.9,19.8,26.2,17.1,16.0,39.2,58.1,62.4,3.3,33.0,36.2,46.6,8.0,53.9,46.8,30.5
mafintosh,pump,24.6,8.8,,19.7,69.8,5.9,17.8,,,48.5,44.6,30.8,88.7,30.0,19.9,33.7,,26.0,27.1,24.7
stream-utils,raw-body,33.8,26.2,10.4,44.1,54.4,7.2,17.9,3.8,,46.4,28.4,32.1,95.9,29.2,30.5,41.0,10.5,40.0,22.6,29.5
sindresorhus,is-wsl,30.7,34.0,6.8,7.1,74.8,17.4,26.4,9.8,16.1,34.1,19.8,11.0,92.6,13.1,29.6,38.7,12.5,37.7,16.1,28.0
yahoo,serialize-javascript,31.0,5.7,29.0,35.3,54.0,23.2,23.1,20.4,26.1,61.8,61.7,58.4,90.7,36.3,49.1,69.2,20.1,58.0,47.8,41.3
sindresorhus,read-pkg,32.3,30.7,3.0,19.1,76.2,7.3,14.8,6.1,1.1,36.3,19.0,16.5,85.5,24.3,29.4,35.9,8.5,43.9,14.3,26.3
indutny,bn.js,33.4,12.0,10.3,37.7,73.4,6.9,18.6,0.8,1.2,54.5,48.7,55.3,82.8,31.1,32.5,32.9,2.1,62.3,37.0,31.8
inikulin,parse5,35.5,43.7,31.9,23.6,42.9,30.1,26.8,41.5,22.0,66.5,65.6,57.3,89.3,53.7,51.1,70.5,32.8,50.0,51.0,45.8
zloirock,core-js,41.3,34.9,29.6,78.4,22.4,35.1,35.4,38.9,31.0,82.7,92.4,87.2,91.3,60.0,53.5,79.0,38.1,43.2,71.6,53.1
follow-redirects,follow-redirects,34.1,33.7,14.5,39.9,48.2,21.3,26.9,20.8,16.2,57.0,34.0,47.8,92.5,53.9,44.2,74.8,17.2,40.7,34.4,39.2
sindresorhus,object-assign,30.3,,0.1,44.8,76.4,4.2,11.1,0.3,1.3,52.3,44.9,36.4,98.8,29.1,25.8,46.2,2.2,28.9,28.5,28.2
eemeli,yaml,35.4,34.5,23.7,46.0,37.2,24.9,31.5,21.6,21.7,50.8,47.6,40.1,88.1,27.5,39.9,55.2,28.1,36.4,37.6,37.8
kpdecker,jsdiff,52.3,41.8,27.2,65.9,74.5,30.6,20.6,37.0,34.1,48.4,75.0,70.0,3.4,45.1,47.3,57.5,19.2,65.2,58.5,44.7
beatgammit,base64-js,24.9,11.4,,13.9,74.3,0.4,1.2,,,60.7,42.9,67.7,90.8,41.5,28.6,35.5,,50.4,37.0,28.7
