owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile
mcavage,node-assert-plus,29.5,6.2,,45.7,66.2,11.6,34.9,,,39.0,16.5,17.0,84.3,38.1,25.8,33.4,,44.1,15.0,26.5
Marak,colors.js,30.1,8.8,,44.8,66.9,12.8,38.4,,,48.5,70.1,69.0,6.8,48.0,36.1,44.4,,64.0,50.6,31.9
tj,co,35.7,14.8,,44.5,83.3,11.7,35.0,,,70.3,81.8,79.2,88.5,31.8,35.9,42.4,,65.3,57.6,38.4
facebook,react,49.1,39.5,32.1,77.9,46.8,51.2,64.9,46.8,42.1,87.5,99.9,99.8,93.1,57.2,77.5,97.3,45.2,89.9,83.6,66.3
moment,moment,40.5,52.9,30.6,31.1,47.5,32.3,52.0,32.5,12.4,79.1,97.2,96.8,77.1,45.4,55.5,64.7,12.5,89.4,75.4,51.9
dchest,tweetnacl-js,38.9,30.3,1.4,46.4,77.4,15.9,40.2,2.7,4.7,47.6,54.6,65.5,27.6,42.9,23.1,52.0,2.4,15.1,45.3,31.4
webpack-contrib,css-loader,50.8,58.0,27.6,55.6,61.8,40.6,55.8,31.2,34.7,73.6,67.9,73.5,89.5,63.6,53.1,76.7,33.8,48.9,60.7,54.5
inspect-js,node-deep-equal,26.3,26.3,7.2,40.0,31.8,20.4,40.9,15.6,4.8,54.0,40.1,48.0,87.5,40.4,32.2,41.6,17.3,37.8,36.2,33.2
sindresorhus,file-type,55.3,36.7,25.6,81.9,77.2,36.0,55.0,22.1,30.9,61.7,65.0,64.6,69.2,47.9,39.8,33.0,29.4,57.0,55.2,48.2
defunctzombie,node-url,33.1,19.0,2.8,27.9,82.6,16.9,40.4,5.5,4.9,25.9,28.5,40.5,8.8,25.9,18.5,18.6,12.9,24.2,28.6,23.6
joyent,node-verror,27.0,11.0,,67.2,30.0,10.5,31.5,,,51.0,49.1,31.8,84.0,39.2,18.0,35.9,,18.0,30.5,26.6
import-js,eslint-plugin-import,37.3,26.8,24.3,85.2,12.9,44.4,60.9,36.4,35.9,70.9,70.3,86.7,87.1,39.3,58.3,53.8,40.3,80.8,67.1,52.7
nodejs,-1,31.6,3.1,7.1,60.3,56.0,23.5,43.4,15.6,11.6,62.6,64.0,70.3,85.2,30.8,43.1,44.7,5.8,78.8,52.6,40.2
shtylman,node-process,8.8,11.7,,23.5,,12.8,38.4,,,23.4,16.0,30.9,8.7,38.2,21.0,16.6,,46.3,19.9,16.5
digitalbazaar,forge,36.4,32.3,,59.0,54.2,18.8,45.6,10.8,,50.3,69.4,76.1,8.0,47.7,28.2,22.4,0.6,61.8,54.8,33.4
sindresorhus,got,48.9,43.1,21.2,55.8,75.4,33.2,53.9,21.9,23.7,73.7,84.8,80.2,78.2,51.4,50.4,42.1,24.6,84.4,66.1,51.5
postcss,autoprefixer,38.8,31.2,21.3,51.5,51.0,28.7,44.2,19.4,22.6,82.2,90.7,83.8,92.2,61.9,45.9,51.5,20.7,65.7,67.7,48.9
webpack,webpack-dev-middleware,59.2,57.7,30.2,90.4,58.5,34.1,39.6,40.4,22.5,68.9,60.3,65.4,89.8,60.0,54.8,62.1,32.4,69.8,53.3,54.2
TypeStrong,ts-node,48.1,39.5,25.6,90.4,36.8,31.3,51.6,22.2,20.0,67.9,82.7,71.0,75.8,42.2,52.0,81.1,30.5,44.5,61.7,49.8
sindresorhus,ora,41.5,27.9,5.0,56.8,76.4,21.1,42.6,9.1,11.7,61.7,78.1,62.8,78.1,27.9,36.5,36.0,13.9,59.5,54.0,40.2
visionmedia,node-progress,22.7,5.2,,25.7,59.9,11.5,34.6,,,44.9,62.3,61.3,7.9,48.2,18.7,10.3,,45.9,45.0,24.5
Gozala,querystring,26.4,5.3,1.8,22.1,76.5,14.2,33.7,3.1,5.6,46.5,24.3,33.7,83.5,44.5,24.1,35.5,3.7,33.1,24.1,27.8
mishoo,UglifyJS,52.2,58.1,8.4,80.7,61.5,19.7,42.1,16.9,,63.6,83.4,85.0,19.8,66.3,33.6,15.4,24.8,60.7,62.7,42.3
mathiasbynens,he,29.7,12.4,,41.0,65.4,11.6,34.8,,,61.0,64.6,59.2,88.9,31.4,20.4,43.2,,18.1,45.1,30.7
expressjs,compression,32.4,35.5,,36.4,57.6,10.6,31.9,,,63.5,61.5,57.4,91.2,43.8,30.0,45.9,2.0,42.0,43.2,34.1
dcodeIO,long.js,23.6,18.3,9.2,22.0,45.1,15.7,36.5,10.7,,37.5,43.6,55.8,7.8,42.6,26.8,27.7,18.3,34.2,38.4,25.9
webpack,memory-fs,18.6,4.2,,11.8,58.5,10.3,29.1,1.9,,46.9,44.0,38.1,81.7,23.9,42.8,73.4,,55.0,30.8,29.7
arcanis,jest-pnp-resolver,18.4,13.6,,12.4,47.8,9.7,29.1,,,27.2,10.7,12.7,83.2,2.4,17.5,35.0,,17.4,11.0,18.2
unshiftio,url-parse,26.7,20.2,,33.0,53.6,9.9,29.7,,,48.7,46.1,41.9,86.4,20.4,31.9,44.2,,51.5,32.6,29.3
sindresorhus,meow,39.5,19.3,16.4,47.1,75.2,24.6,41.7,21.1,10.9,57.4,65.4,49.1,77.9,37.2,38.1,35.3,19.2,59.7,46.4,39.9
Leonidas-from-XIV,node-xml2js,34.4,23.0,20.7,46.9,47.0,20.7,41.6,13.1,7.4,52.0,69.0,72.1,19.2,47.6,40.7,48.2,3.7,70.2,53.9,37.0
babel,babel-loader,44.8,37.9,22.4,76.1,43.0,30.4,47.9,22.5,20.8,67.3,68.9,69.1,90.0,41.2,58.1,77.6,23.1,73.6,56.1,50.2
iamkun,dayjs,33.4,24.2,31.9,69.2,8.1,44.3,60.5,34.8,37.5,72.1,97.1,91.0,71.0,29.4,66.9,84.7,33.9,82.2,77.5,54.2
date-fns,date-fns,32.6,26.9,36.5,56.6,10.5,46.0,60.3,40.6,37.0,75.9,96.0,88.0,72.8,46.8,61.8,73.3,40.0,72.0,76.7,54.1
request,request,43.2,37.6,4.8,80.1,50.2,18.2,43.0,11.5,,79.1,93.1,93.9,83.8,45.7,43.8,45.3,,86.2,68.4,46.1
Qix-,color,29.8,24.5,,40.6,54.1,11.3,33.9,,,67.7,68.6,64.2,81.2,56.9,33.3,38.1,,61.7,48.0,35.5
sindresorhus,get-stdin,35.6,20.0,0.7,46.4,75.1,13.7,32.2,1.4,7.5,39.2,26.8,20.4,78.6,31.0,29.5,39.9,4.1,44.7,20.3,29.5
puleos,object-hash,19.8,20.4,,44.1,14.6,9.9,29.6,,,52.7,51.3,49.7,84.6,25.1,47.5,74.3,8.3,60.0,37.0,32.5
svg,svgo,40.3,33.5,30.9,80.6,16.1,45.0,56.4,41.0,37.6,80.4,89.7,85.3,87.7,58.8,56.9,70.9,38.2,61.6,73.3,55.6
webpack-contrib,style-loader,48.0,55.1,21.4,52.9,62.8,27.7,43.1,19.0,20.9,67.5,54.2,69.9,87.3,58.8,54.5,76.1,23.6,63.8,50.6,49.4
mridgway,hoist-non-react-statics,25.7,11.2,,27.3,64.3,10.0,30.1,,,49.7,55.8,40.8,79.2,23.2,48.9,84.1,,62.5,35.5,33.6
ljharb,shell-quote,27.6,6.3,5.8,50.1,48.4,17.4,38.1,6.6,7.6,6.2,9.6,10.4,4.4,0.2,26.8,14.6,15.1,50.8,12.5,19.5
clean-css,clean-css,42.1,40.9,23.3,79.4,24.9,33.7,50.6,21.0,29.4,66.2,67.4,63.8,88.3,45.5,41.7,51.6,27.6,46.0,55.0,45.9
jsx-eslint,eslint-plugin-react,38.3,33.8,24.1,72.4,22.9,44.3,58.9,35.5,38.4,76.5,78.0,93.0,87.2,47.9,60.5,50.1,41.1,90.5,71.8,54.9
mdevils,html-entities,25.7,41.3,,22.7,38.7,12.1,32.9,3.3,,53.9,36.7,43.8,89.6,45.5,36.1,70.7,8.3,29.2,30.9,31.9
immutable-js,immutable-js,35.9,27.8,22.8,51.0,42.2,34.0,46.4,32.1,23.5,61.8,95.7,88.5,16.2,46.6,47.0,57.1,28.0,56.0,72.7,44.7
webpack-contrib,postcss-loader,50.8,61.1,25.1,54.8,62.1,33.4,48.1,26.1,25.9,62.0,62.1,55.5,88.6,42.0,56.3,76.6,28.6,63.8,50.3,50.6
mcollina,split2,27.6,18.2,,29.6,62.6,10.1,30.4,,,36.5,23.8,19.2,66.2,36.8,28.1,31.3,5.3,47.5,17.7,25.6
TypeStrong,fork-ts-checker-webpack-plugin,49.7,46.4,29.1,86.6,36.8,33.3,48.2,22.1,29.7,57.9,56.5,57.7,81.5,35.7,54.2,79.3,26.8,56.5,49.2,48.8
unclechu,node-deep-extend,18.7,8.6,,17.2,49.1,9.4,28.2,,,31.5,20.3,30.3,32.4,43.0,20.4,23.9,,37.4,20.0,20.0
rollup,rollup,44.8,30.7,24.1,88.1,36.2,47.7,59.2,43.7,40.2,77.4,92.9,85.6,83.7,47.4,54.6,61.3,43.1,59.3,75.4,56.1
zertosh,invariant,18.1,3.7,,23.2,45.7,9.4,28.3,,,47.2,49.3,35.3,83.0,21.2,21.7,39.7,,25.3,31.3,24.1
http-party,node-http-proxy,36.0,16.1,9.2,66.6,52.2,17.0,42.9,8.1,,60.8,84.5,89.1,21.0,48.6,45.6,55.8,,81.0,63.5,39.9
lquixada,cross-fetch,28.4,31.0,17.5,42.2,23.0,24.8,43.7,20.5,10.3,46.3,54.1,41.5,69.0,20.6,29.4,45.6,21.7,21.0,40.1,32.3
sindresorhus,log-update,36.7,13.7,1.9,54.7,76.3,14.7,32.6,3.9,7.7,40.6,46.8,23.2,68.5,24.1,27.3,33.2,6.2,42.5,28.2,29.8
then,promise,30.3,14.3,13.4,42.3,51.3,11.1,30.0,3.4,,65.3,60.7,63.7,87.0,49.9,28.9,36.7,,50.0,45.2,33.9
sindresorhus,del,40.3,22.9,9.6,51.7,77.0,17.6,35.2,7.3,10.4,50.5,51.1,33.6,83.6,33.7,35.0,40.3,9.9,54.8,34.1,35.9
sindresorhus,boxen,39.0,28.1,5.5,45.8,76.5,21.5,38.1,7.5,18.9,47.2,53.0,32.0,77.5,26.5,39.9,40.7,17.7,61.2,35.5,36.9
maxogden,extract-zip,9.4,5.4,,32.0,,9.4,28.2,,,41.6,28.9,45.9,66.5,25.1,28.5,44.2,,41.3,28.1,22.2
dominictarr,rc,33.3,8.3,,34.1,90.9,9.3,28.0,,,51.4,45.9,42.3,80.3,37.3,28.4,36.9,,48.2,32.5,30.6
protobufjs,protobuf.js,33.7,30.2,22.4,33.4,49.0,33.3,51.4,24.9,23.6,57.6,78.8,85.4,13.2,52.9,41.8,47.5,26.5,51.5,65.8,41.6
kriskowal,q,40.6,18.0,9.3,54.5,80.5,14.8,32.8,11.7,,76.1,86.0,83.1,88.2,47.2,36.6,43.9,,65.9,61.3,42.0
chimurai,http-proxy-middleware,37.3,30.6,26.1,82.7,10.0,26.8,44.5,25.5,10.5,71.7,79.9,77.6,89.1,40.2,42.8,74.7,20.9,32.7,61.4,44.7
jantimon,html-webpack-plugin,43.4,54.2,27.5,44.4,47.5,32.5,50.8,18.6,28.0,69.3,80.3,84.4,86.3,26.3,51.9,61.7,26.3,67.5,65.7,49.3
reactjs,react-transition-group,21.0,21.9,,28.9,33.1,13.6,40.8,,,62.8,79.5,73.7,73.9,24.2,54.7,89.2,1.4,73.3,55.6,38.0
auth0,node-jsonwebtoken,46.0,31.9,24.3,58.4,69.5,24.8,46.5,20.1,7.8,51.6,87.7,83.0,4.3,31.4,35.1,20.5,15.3,69.6,65.2,39.4
react-bootstrap,dom-helpers,15.8,10.4,,15.2,37.4,10.8,32.5,,,38.2,29.2,31.7,74.2,17.9,40.7,83.2,,38.9,23.9,26.4
mde,ejs,42.7,27.9,,77.4,65.7,15.1,41.8,3.5,,68.2,75.2,76.4,83.3,37.9,37.2,51.4,0.2,60.1,55.6,40.8
TooTallNate,node-bindings,25.8,5.3,,19.4,78.5,10.3,31.0,,,29.2,29.3,38.8,4.2,44.5,15.4,9.6,,36.5,26.1,20.2
hij1nx,EventEmitter2,22.8,15.7,,75.5,,12.4,34.6,2.5,,59.5,61.9,58.3,61.1,56.9,28.9,31.9,,54.9,44.2,30.9
sindresorhus,pretty-bytes,38.6,19.0,13.6,45.1,76.5,17.1,34.1,6.5,10.6,50.6,46.6,35.7,85.4,34.9,34.1,42.3,10.1,49.9,33.1,35.1
webpack-contrib,sass-loader,50.0,53.2,28.7,55.8,62.3,35.6,48.6,28.9,29.3,68.5,67.2,68.3,87.6,50.8,52.5,76.4,30.7,50.5,57.0,51.7
AriaMinaei,pretty-error,24.1,6.7,,37.8,51.7,9.8,29.5,,,48.7,53.5,26.3,86.0,28.9,32.2,62.9,,33.7,29.9,28.7
handlebars-lang,handlebars.js,34.4,37.6,25.2,55.8,19.0,37.9,52.6,30.8,30.4,75.6,88.1,90.1,76.2,48.2,61.1,78.1,29.4,75.9,72.0,52.3
browserify,commonjs-assert,33.0,22.6,8.6,36.1,64.6,19.4,35.6,11.8,10.7,22.2,24.7,29.1,4.1,30.9,20.0,20.1,9.0,30.8,24.4,23.6
JedWatson,classnames,51.5,53.4,29.1,61.5,61.9,37.1,49.0,35.9,26.4,63.5,87.6,71.4,75.0,20.1,48.7,47.9,28.2,69.9,65.4,50.2
motdotla,dotenv-expand,55.0,52.8,23.7,68.8,74.7,15.2,35.3,2.5,7.9,44.7,43.7,39.4,83.9,11.8,46.4,70.3,15.8,53.1,32.8,40.3
mafintosh,tar-fs,30.7,27.3,1.3,24.6,69.7,14.6,33.2,2.5,8.0,39.2,27.7,36.0,65.3,27.7,31.0,32.6,11.6,48.8,26.1,28.9
webpack-contrib,mini-css-extract-plugin,50.8,53.2,27.6,59.6,62.6,34.7,51.0,26.2,26.8,62.5,68.4,67.3,86.8,27.6,50.3,64.1,30.0,56.7,56.8,49.6
webpack,webpack-dev-server,56.6,58.4,30.3,79.0,58.6,34.9,49.8,36.1,18.8,78.6,75.7,85.9,89.7,62.9,57.5,64.4,31.5,76.7,65.5,56.9
bripkens,connect-history-api-fallback,25.2,12.9,2.2,31.0,54.5,13.3,32.6,2.4,5.0,56.5,55.9,47.6,90.2,32.1,35.9,83.4,3.4,21.0,38.9,32.7
webpack-contrib,file-loader,38.4,30.6,,60.6,62.5,10.2,30.5,,,65.5,56.1,60.9,87.9,57.1,48.2,88.1,,56.6,42.4,40.6
jashkenas,underscore,41.7,34.9,16.1,58.6,57.2,23.2,43.3,14.4,12.0,78.3,94.4,96.3,72.9,49.5,58.2,75.3,17.6,81.6,71.3,50.3
github,fetch,54.1,49.9,26.0,83.1,57.2,40.9,53.1,37.2,32.3,78.4,93.3,93.2,85.0,42.1,53.5,51.2,36.0,73.2,75.8,56.7
prettier,eslint-plugin-prettier,40.9,39.1,28.2,73.7,22.5,40.5,54.4,35.9,31.3,51.6,63.4,54.2,72.0,16.9,48.4,54.8,32.4,58.1,52.7,45.4
winstonjs,winston,50.8,32.6,33.6,89.2,47.8,41.7,56.6,34.1,34.4,75.0,91.2,88.6,59.9,60.2,53.2,50.3,33.0,76.4,73.8,55.2
nodejs,node-gyp,50.7,34.1,29.5,83.0,56.1,43.4,57.6,35.3,37.4,74.0,78.9,88.2,77.4,51.6,48.1,38.0,38.8,67.6,70.2,54.1
jsx-eslint,eslint-plugin-jsx-a11y,36.4,19.7,23.0,80.2,22.6,36.7,53.2,26.5,30.3,63.5,64.3,73.3,84.4,32.0,54.0,49.6,34.4,78.0,58.1,47.6
expressjs,serve-index,26.6,12.9,,38.6,54.9,11.1,33.2,,,53.3,30.9,49.2,90.3,42.8,20.7,48.0,,14.2,30.4,27.9
zspecza,common-tags,37.5,15.9,,73.9,60.3,9.6,28.7,,,31.2,57.7,34.1,4.0,29.0,40.5,59.5,,61.9,33.8,29.7
felixge,node-stack-trace,29.1,3.9,,33.5,78.9,11.1,33.3,,,33.1,31.6,23.5,30.9,46.4,37.4,63.9,,48.2,22.1,27.7
ramda,ramda,38.2,44.3,22.6,49.3,36.8,38.9,52.3,29.0,35.4,71.7,92.3,86.0,60.5,47.8,63.1,66.9,30.4,92.1,72.4,53.0
syntax-tree,unist-util-visit,37.8,30.5,5.2,67.6,47.9,16.0,32.5,10.4,5.1,32.7,22.3,15.4,62.3,30.6,26.6,40.1,4.2,35.5,17.9,28.3
sindresorhus,gzip-size,27.3,22.7,,52.8,33.5,11.1,33.4,,,37.0,19.2,14.8,84.1,29.9,29.8,42.7,,46.6,15.0,26.3
survivejs,webpack-merge,36.8,33.5,11.2,70.3,32.1,25.8,44.1,12.6,20.6,50.7,61.1,47.5,78.5,15.8,38.7,57.3,14.7,44.0,44.8,38.0
indutny,elliptic,26.1,4.1,,26.9,73.5,11.9,35.6,,,56.6,54.0,65.7,82.7,24.1,42.9,74.1,,54.5,43.9,34.4
cssnano,cssnano,35.9,45.2,29.8,54.6,13.8,38.3,50.4,33.0,31.6,65.6,68.3,63.5,87.4,43.3,56.5,67.1,33.5,68.8,56.7,49.1
graphql,graphql-js,31.3,32.7,27.6,43.5,21.3,41.2,54.2,34.4,34.9,56.5,89.4,89.6,3.9,43.1,56.5,54.9,39.9,74.8,73.4,46.4
kulshekhar,ts-jest,46.2,46.4,34.1,66.6,37.8,40.8,54.7,33.6,34.0,60.3,73.8,68.8,63.6,35.0,59.5,75.2,38.0,65.3,61.1,51.7
aws,aws-sdk-js,52.8,47.1,29.8,87.6,46.8,43.8,56.9,38.0,36.4,58.4,75.3,86.9,3.7,67.8,42.0,24.6,40.5,60.9,68.7,49.3
hughsk,flat,38.9,14.1,15.2,38.0,88.2,28.2,42.3,21.6,20.7,53.9,55.1,54.8,67.6,38.1,39.1,44.6,17.6,55.1,46.0,40.0
alexreardon,memoize-one,30.2,40.6,,41.9,38.4,11.0,32.9,,,46.4,62.2,36.7,65.6,21.1,30.4,73.6,,17.8,36.6,29.5
expressjs,cors,42.5,38.3,2.1,71.7,57.8,16.9,39.3,11.4,,63.8,72.4,69.5,79.1,34.1,36.4,44.3,3.1,61.8,52.9,39.9
remix-run,react-router,34.9,40.8,27.5,58.6,12.7,49.5,62.4,44.4,41.7,81.9,97.6,97.7,79.3,53.2,63.1,81.3,44.7,63.4,81.6,57.4
crypto-browserify,createHash,8.2,6.7,,26.0,,10.4,31.3,,,13.7,12.3,20.6,3.0,19.1,12.9,12.5,,26.2,14.4,11.3
BerkeleyTrue,warning,28.1,30.3,,50.7,31.5,9.6,28.9,,,33.5,21.8,17.1,72.3,23.0,38.5,79.8,,35.9,16.2,27.5
then,is-promise,26.5,24.3,,30.5,51.4,9.5,28.4,,,40.8,23.9,19.9,78.8,40.7,18.7,36.2,,19.9,17.8,23.9
immerjs,immer,25.9,42.8,15.6,34.9,10.5,22.0,43.4,17.2,5.2,70.9,94.0,78.1,81.6,29.9,57.1,85.8,19.1,66.3,64.7,44.0
avoidwork,filesize.js,41.5,39.7,20.5,45.8,60.1,33.6,44.1,26.9,29.8,54.1,53.3,39.9,83.4,39.9,39.9,53.9,17.8,48.0,42.3,42.3
jest-community,eslint-plugin-jest,32.9,42.4,31.3,39.3,18.6,41.0,50.6,39.9,32.6,54.6,48.1,56.4,79.8,34.0,57.8,60.2,37.7,75.5,48.5,46.6
typicode,husky,42.0,49.1,35.0,41.2,42.5,43.3,56.9,35.2,37.7,71.9,95.5,80.9,64.4,46.6,47.9,58.9,36.0,48.9,73.2,51.2
mscdex,busboy,31.1,29.4,6.4,30.2,58.2,17.5,38.9,8.2,5.3,55.5,61.6,55.6,73.0,31.9,24.2,40.2,5.4,27.1,44.9,32.1
stefanpenner,es6-promise,32.4,17.1,,30.8,81.6,10.3,31.0,,,62.4,74.7,72.5,74.3,28.0,53.2,83.0,,76.7,52.5,39.6
postcss,postcss-import,40.1,48.0,31.5,29.6,51.5,32.9,47.7,30.6,20.4,54.6,51.4,45.2,81.9,39.8,44.1,46.3,25.8,60.1,43.2,42.9
MikeMcl,bignumber.js,32.7,41.3,15.5,34.4,39.6,28.2,50.8,13.3,20.5,62.9,73.5,75.6,66.6,36.1,21.1,31.9,10.8,20.4,59.1,36.2
felixge,node-dateformat,35.0,17.7,,43.2,79.0,10.9,32.8,,,42.8,50.9,51.1,10.0,59.2,41.3,53.0,,70.9,37.6,32.5
benjamn,recast,36.4,16.9,24.6,31.4,72.7,28.9,47.7,26.9,12.1,60.1,68.8,64.8,68.0,38.7,55.4,68.7,20.6,77.0,54.2,45.2
validatorjs,validator.js,36.7,33.5,22.6,54.9,35.8,41.9,59.6,31.4,34.6,61.6,91.7,91.2,7.0,56.3,51.1,28.9,37.7,86.8,74.9,47.8
reduxjs,redux,41.8,32.5,24.0,88.3,22.4,46.7,60.5,39.2,40.4,78.1,98.2,98.5,74.9,40.7,68.2,87.9,39.5,77.1,81.1,58.7
moment,moment-timezone,40.6,42.4,16.3,56.3,47.2,30.1,51.3,18.8,20.3,67.6,66.7,78.7,64.1,60.8,54.9,64.0,20.8,79.8,58.5,48.3
hapijs,joi,45.0,47.8,33.5,41.3,57.5,41.1,56.8,34.1,32.5,71.3,90.1,86.5,72.5,36.2,52.6,45.4,28.7,83.8,72.6,52.5
node-formidable,formidable,43.7,44.1,22.0,71.1,37.5,20.9,45.6,11.6,5.4,67.2,74.0,74.8,67.0,52.9,54.5,75.1,21.6,66.8,56.6,46.6
remix-run,history,19.2,27.6,,36.9,12.3,12.4,37.1,,,65.2,76.8,80.6,74.6,28.6,45.1,81.1,,54.3,56.6,35.5
dominictarr,split,31.3,16.9,,17.4,90.8,10.5,31.4,,,38.6,27.6,22.9,67.4,36.6,17.8,34.3,,19.0,20.3,24.5
yeoman,configstore,35.1,23.8,,51.3,65.2,12.4,37.2,,,48.5,43.4,28.0,77.2,45.4,32.5,41.6,3.2,52.6,27.9,32.1
gulpjs,findup-sync,32.5,25.1,10.5,38.0,56.2,13.9,33.3,2.8,5.5,38.6,15.0,18.7,73.1,47.5,26.2,43.8,5.1,29.6,15.9,27.8
airbnb,babel-plugin-dynamic-import-node,32.8,26.7,,42.6,61.9,10.5,31.5,,,39.9,36.0,31.3,84.2,8.2,30.4,55.3,,35.9,25.9,28.4
image-size,image-size,30.7,22.1,13.6,40.0,47.2,22.4,42.1,21.1,4.0,56.8,57.1,53.1,76.9,40.2,36.6,71.0,3.2,35.6,44.2,36.6
ladjs,superagent,38.5,26.7,23.1,62.5,41.5,36.2,51.1,27.5,29.9,76.3,86.7,84.6,64.8,69.2,56.3,59.6,24.7,84.6,69.2,51.8
tildeio,rsvp.js,29.8,22.9,,42.1,54.2,13.0,31.1,8.0,,59.9,66.1,60.8,77.3,35.4,55.8,87.8,,79.6,46.6,39.6
normalize,mz,20.8,6.9,,29.5,46.8,10.4,31.1,,,45.5,52.0,28.1,78.0,23.8,30.6,43.5,,48.3,30.2,26.8
ljharb,js-traverse,33.9,8.1,15.3,64.0,48.1,23.3,36.7,16.5,16.6,7.2,11.4,10.1,7.1,0.3,28.0,17.2,23.6,43.3,14.9,23.1
pimterry,loglevel,43.3,31.2,23.8,57.1,61.0,29.1,44.0,30.1,13.3,60.1,60.4,51.7,79.7,48.8,40.1,44.7,16.0,59.7,47.1,43.2
Urthen,case-sensitive-paths-webpack-plugin,19.8,12.6,,19.7,46.9,11.1,33.4,,,37.3,30.4,24.9,83.1,10.7,44.1,85.4,,47.0,22.1,28.1
blakeembrey,pluralize,29.4,8.2,0.5,41.1,67.9,12.8,34.3,1.1,3.1,57.4,58.2,53.5,73.2,44.6,41.2,68.9,1.6,53.0,41.5,35.2
dashed,shallowequal,27.1,20.4,,34.0,53.9,10.2,30.7,,,30.1,19.3,14.0,70.7,16.6,39.2,80.7,,36.8,14.5,26.7
shelljs,shelljs,43.9,38.5,26.5,79.8,30.8,33.8,52.1,24.1,25.3,71.2,85.2,75.4,72.1,52.2,46.9,46.5,24.2,70.0,64.8,49.0
markedjs,marked,33.0,38.1,25.2,60.1,8.7,49.4,63.4,44.7,40.0,80.7,95.6,94.1,63.1,70.0,58.8,58.5,41.7,76.3,79.7,55.5
http-party,node-portfinder,24.6,23.5,,23.1,51.9,11.6,33.2,1.7,,55.4,43.5,40.3,82.6,55.0,39.2,53.4,0.5,63.8,31.8,32.7
PrismJS,prism,30.6,35.9,14.8,42.9,28.9,21.4,49.0,15.2,,60.9,82.0,84.0,20.7,57.0,45.7,56.2,12.4,68.4,62.5,39.7
chaijs,chai,50.5,43.4,26.7,75.0,56.8,39.4,56.6,32.5,29.2,70.3,76.5,74.6,67.8,62.1,52.7,53.4,31.3,73.4,63.5,53.2
domenic,opener,24.5,13.7,,22.1,62.4,11.8,35.3,,,40.6,25.1,18.4,71.3,47.8,27.5,64.0,,18.6,18.4,26.1
sindresorhus,get-port,36.8,21.2,,50.8,75.2,11.0,32.9,,,44.0,43.0,32.7,66.1,34.1,32.7,36.2,7.5,54.4,28.9,31.1
okonet,lint-staged,39.9,29.6,23.8,46.2,60.0,42.0,59.0,36.5,30.6,63.5,83.2,67.8,62.0,41.0,50.4,52.5,34.5,64.1,64.3,48.9
webpack-contrib,url-loader,36.4,28.9,,55.2,61.5,11.0,33.0,,,58.5,52.1,50.2,79.0,52.5,46.3,85.2,,53.8,37.8,38.0
reactjs,react-lifecycles-compat,25.4,14.4,,54.3,33.0,11.0,33.0,,,31.8,32.0,20.8,70.3,4.2,41.9,79.1,,46.5,21.3,27.5
luisrudge,postcss-flexbugs-fixes,17.6,18.9,,39.2,12.1,14.0,33.0,8.8,,40.5,39.8,21.3,82.2,18.6,41.5,72.3,,52.3,25.0,28.4
jquery,jquery,55.4,41.0,31.1,88.2,61.3,40.3,56.8,36.7,27.5,83.6,97.9,98.7,79.5,58.5,64.0,69.7,34.6,87.7,79.0,60.8
cheeriojs,cheerio,52.2,51.5,34.3,74.6,48.3,41.8,50.3,46.1,29.1,77.7,94.5,87.3,64.9,64.2,59.1,66.1,37.9,73.4,74.5,57.7
mochajs,mocha,36.9,52.2,25.4,41.1,28.8,37.2,52.5,29.9,29.0,81.2,91.6,93.4,70.5,69.5,64.9,75.6,35.1,84.0,74.1,55.0
ljharb,json-stable-stringify,33.7,19.8,14.7,52.4,48.1,29.1,43.3,22.7,21.2,24.8,12.0,10.8,76.4,0.1,35.5,41.5,24.0,40.9,17.3,30.8
rbuckton,reflect-metadata,34.5,29.1,24.5,44.6,39.8,23.2,36.2,30.2,3.2,54.7,63.2,52.5,73.6,29.6,22.6,46.9,11.2,9.7,46.3,33.7
tomas,needle,36.4,15.4,25.2,51.2,53.9,27.2,44.6,15.7,21.3,61.8,53.9,58.7,75.4,59.4,46.2,59.2,16.3,63.0,46.6,42.9
archiverjs,node-archiver,40.5,40.3,32.8,46.9,42.1,36.5,48.1,36.0,25.5,58.4,61.4,57.6,55.5,59.1,38.0,40.7,30.6,42.7,51.8,43.4
webpack-contrib,copy-webpack-plugin,44.4,44.4,21.6,49.3,62.2,31.3,44.3,24.0,25.6,59.4,62.0,62.1,76.7,37.0,49.7,61.6,27.6,60.0,51.8,46.2
reworkcss,css,29.2,13.5,4.6,38.2,60.4,13.8,31.4,10.2,,57.3,53.6,59.3,78.7,37.7,24.1,41.1,,31.3,42.2,31.1
js-cookie,js-cookie,47.6,48.6,20.9,84.3,36.7,27.8,40.3,26.7,16.5,68.9,91.0,90.5,58.2,36.0,39.7,42.2,24.2,52.8,69.8,46.0
chrisdickinson,raf,37.4,23.3,,41.3,85.1,9.0,27.1,,,46.9,39.6,31.6,81.8,34.6,30.2,40.8,,49.8,26.7,30.9
