owner,repo,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile,maintenance_and_goodwill,code_quality,component_avg,component_rank,trustee_rank,component_grade,trustee_grade
estools,estraverse,17.4,0.0,12.8,54.1,30.4,0.0,0.0,55.5,44.8,47.1,94.6,35.5,48.3,0.0,54.4,21.475,30.2,21.075,34.55,25.7,365.0,452.5,D,C
sindresorhus,camelcase,29.5,16.2,39.4,74.7,32.5,13.9,17.2,51.1,37.7,39.8,95.6,31.4,36.6,15.6,55.5,28.675,37.0,39.95,34.775,34.46666666666667,642.0,635.5,B,B
sindresorhus,path-exists,29.5,0.0,41.8,74.5,26.8,0.0,0.0,37.8,18.1,16.0,97.6,19.6,40.5,0.0,41.9,16.15,27.7,36.45,25.5,26.03333333333333,379.5,362.0,D,D
isaacs,inherits,10.6,0.2,23.6,87.1,27.6,1.6,2.5,52.5,27.9,37.5,99.8,44.8,80.3,7.8,12.8,21.05,31.8,30.375,36.425,29.28333333333333,509.5,509.5,C,C
npm,node-which,20.0,25.8,65.6,61.1,37.3,30.4,26.9,31.6,25.8,25.4,28.1,47.1,15.3,32.3,44.4,31.549999999999997,34.2,43.125,34.775,36.48333333333333,685.0,578.0,B,C
sindresorhus,resolve-from,13.3,0.0,45.7,74.9,25.3,0.0,0.0,37.8,17.5,14.3,96.1,23.1,44.3,0.0,26.2,15.774999999999999,25.8,33.475,23.4,24.21666666666667,291.0,291.5,D,D
jonschlinkert,extend-shallow,9.5,0.0,24.0,81.1,24.6,0.0,0.0,32.7,11.5,12.4,86.6,20.2,37.7,0.0,7.8,14.325000000000001,21.2,28.65,16.425,19.8,156.0,171.0,F,F
json5,json5,21.5,2.2,82.6,29.9,33.1,6.5,0.0,68.9,73.0,57.2,95.7,49.7,83.9,0.0,55.0,27.125,40.6,34.05,47.150000000000006,36.108333333333334,675.0,725.0,B,B
isaacs,node-mkdirp,34.5,0.2,30.2,86.7,26.9,0.5,2.6,45.1,19.4,23.8,95.3,41.9,54.8,11.9,33.2,18.775,31.6,37.900000000000006,35.45,30.708333333333332,553.0,503.0,C,C
sindresorhus,execa,36.7,25.2,66.1,75.0,40.6,42.0,33.1,63.2,73.1,56.7,93.5,29.6,37.1,38.8,48.4,44.725,48.5,50.75,38.475,44.65,855.0,864.0,A,A
ljharb,qs,17.1,17.4,73.8,48.5,33.6,19.5,18.1,68.2,76.9,75.1,98.4,22.4,42.5,26.1,65.2,34.85,43.9,39.2,39.050000000000004,37.70000000000001,716.0,794.0,B,B
nodeca,js-yaml,33.7,7.9,50.0,57.0,26.8,5.9,0.0,72.2,72.6,78.4,95.2,42.5,53.4,10.9,46.4,26.225,39.3,37.150000000000006,38.3,33.89166666666667,631.0,683.5,B,B
browserify,resolve,27.9,21.7,55.1,64.6,29.8,24.1,2.7,60.3,40.5,58.6,98.3,43.9,46.5,15.8,54.4,29.225,40.1,42.325,40.15,37.23333333333334,703.0,713.0,B,B
websockets,ws,38.3,27.1,71.0,35.8,43.8,30.2,25.4,85.5,90.4,91.3,93.0,67.2,43.3,25.5,79.5,46.225,52.8,43.05,53.875,47.71666666666667,915.0,934.0,A,A
nodeca,argparse,57.7,11.2,24.4,57.1,23.7,4.0,0.0,50.4,32.9,34.4,95.4,38.8,47.5,10.8,36.0,19.525,32.2,37.6,33.275,30.133333333333336,541.0,526.5,C,C
sindresorhus,pify,29.5,0.0,66.1,74.8,18.2,0.0,0.0,51.4,53.4,37.1,93.9,21.3,38.6,0.0,48.9,17.4,32.3,42.599999999999994,27.2,29.066666666666663,499.0,530.0,C,C
postcss,postcss,34.8,22.9,48.9,51.6,44.4,33.9,34.8,83.6,95.0,86.8,94.1,58.5,48.6,32.6,76.2,49.175,53.3,39.55,53.975,47.56666666666666,910.0,943.0,A,A
form-data,form-data,21.9,0.0,22.3,46.5,29.4,7.3,0.0,68.0,59.1,61.9,93.4,57.5,46.7,0.0,61.3,26.174999999999997,34.7,22.675,41.375,30.075,537.5,587.5,C,C
moxystudio,node-cross-spawn,11.9,0.0,25.9,34.9,21.6,0.0,0.0,27.7,47.2,34.8,5.8,22.9,62.2,0.0,30.9,12.325,21.0,18.174999999999997,29.0,19.833333333333332,157.0,167.5,F,F
sindresorhus,slash,29.6,0.0,37.6,73.5,20.2,0.0,0.0,46.7,26.2,30.4,93.7,36.5,36.2,5.2,43.1,16.725,29.2,35.175,30.250000000000004,27.383333333333336,428.0,416.0,C,C
