owner,repo,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile,maintenance_and_goodwill,code_quality,component_avg,component_rank,trustee_rank,component_grade,trustee_grade
taylorhakes,promise-polyfill,4.9,8.4,47.9,57.0,29.7,15.8,11.1,56.6,58.6,64.1,60.3,43.6,65.6,11.6,55.2,28.3,37.3,29.549999999999997,44.0,33.949999999999996,649.0,661.0,B,B
angular,angular,30.4,35.4,91.3,64.7,54.1,46.6,44.1,80.9,99.0,99.0,73.8,51.6,80.5,47.4,50.4,56.425,61.0,55.45,57.475,56.449999999999996,998.0,998.0,A,A
steveukx,git-js,35.0,21.8,60.5,55.4,41.1,29.7,23.2,47.8,64.5,63.6,9.3,53.8,31.7,31.9,41.7,35.449999999999996,39.3,43.175,39.775000000000006,39.46666666666667,775.0,701.0,B,B
rollup,rollup-pluginutils,0.0,0.0,33.6,36.8,20.7,0.0,0.0,26.9,12.1,14.2,68.1,13.3,74.9,0.0,57.3,11.899999999999999,23.9,17.6,36.375,21.958333333333332,252.0,260.0,D,D
react-component,util,23.5,23.5,42.2,49.5,38.9,32.6,28.9,46.9,36.4,51.8,53.2,46.1,44.4,33.1,53.9,36.825,39.7,34.675,44.375,38.625,755.0,713.0,B,B
medikoo,cli-color,0.0,0.0,42.7,65.5,20.8,0.0,0.0,41.0,37.9,23.9,51.9,50.4,38.2,2.2,30.7,15.45,24.7,27.05,30.375,24.291666666666668,347.0,288.5,D,D
d3,d3-selection,21.9,2.7,19.0,53.5,27.8,11.5,6.6,44.6,35.2,62.7,44.2,36.5,54.2,7.2,44.0,22.625,29.8,24.275,35.475,27.458333333333332,477.0,463.5,C,C
mysticatea,npm-run-all,2.7,0.0,48.8,49.2,22.5,0.0,0.0,57.6,71.5,58.1,61.9,38.7,50.4,0.0,36.5,20.025,29.8,25.175,31.400000000000002,25.533333333333335,402.0,463.5,C,C
kangax,html-minifier,13.5,0.0,49.4,75.4,30.9,2.0,0.0,71.7,69.1,71.8,75.9,70.0,67.2,10.8,57.1,26.15,40.6,34.575,51.275000000000006,37.333333333333336,724.0,735.5,B,B
istanbuljs,nyc,21.1,0.0,58.2,24.5,34.1,7.8,0.0,50.8,71.2,65.2,49.9,17.1,42.8,0.0,44.5,23.174999999999997,30.0,25.950000000000003,26.1,25.075,387.0,471.5,D,C
alexgorbatchev,crc,23.5,0.0,39.7,73.3,22.7,0.0,0.0,43.5,26.9,33.8,58.5,54.9,55.2,0.0,36.1,16.55,28.9,34.125,36.550000000000004,29.075,531.0,433.5,C,C
