owner,repo,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile,maintenance_and_goodwill,code_quality,component_avg,component_rank,trustee_rank,component_grade,trustee_grade
mscdex,ssh2,37.5,16.1,58.9,58.2,37.1,17.4,7.3,54.5,70.9,74.5,35.1,37.4,35.1,14.6,18.8,29.075,35.1,42.675,26.475,32.74166666666667,622.0,608.0,B,B
airbnb,enzyme,24.3,12.3,76.0,62.0,24.0,6.5,0.0,61.6,89.6,89.9,54.1,12.9,50.7,13.4,59.0,23.025,39.1,43.65,34.0,33.55833333333333,644.0,696.0,B,B
epeli,underscore.string,0.0,0.0,40.0,0.0,19.1,0.0,0.0,60.4,64.7,68.1,52.3,56.3,56.0,0.0,57.6,19.875,28.7,10.0,42.474999999999994,24.116666666666664,338.0,425.0,D,C
sindresorhus,user-home,0.0,0.0,53.6,74.8,19.1,0.0,0.0,29.3,18.6,13.1,63.3,22.2,40.7,0.0,13.3,12.100000000000001,21.4,32.1,19.05,21.083333333333332,215.0,202.0,D,D
angular,components,29.4,27.1,67.8,64.7,51.9,47.7,42.8,72.9,92.7,96.7,59.4,42.6,78.1,46.0,44.5,53.825,55.9,47.25,52.8,51.291666666666664,976.0,983.5,A,A
vuejs,vue-style-loader,0.0,0.0,26.0,46.7,22.4,0.0,0.0,35.0,22.0,32.6,71.6,13.7,56.5,0.0,51.2,14.35,24.1,18.175,30.35,20.958333333333332,210.0,266.0,D,D
stevemao,left-pad,0.0,0.0,26.0,64.7,22.4,0.0,0.0,48.5,50.6,48.2,70.1,24.9,45.3,0.0,53.1,17.725,27.8,22.675,30.825000000000003,23.74166666666667,321.0,394.0,D,D
remarkjs,react-markdown,22.9,24.7,79.3,44.3,42.2,28.4,10.8,58.7,82.1,78.5,45.6,28.7,45.1,24.1,69.2,35.025000000000006,43.7,42.8,41.775,39.86666666666667,785.0,800.0,B,A
Hacker0x01,react-datepicker,27.7,29.3,85.1,44.5,52.1,45.9,40.6,65.8,75.8,90.9,44.8,51.6,61.4,43.4,69.9,51.099999999999994,54.2,46.65,56.575,51.44166666666666,979.0,966.0,A,A
nfl,react-helmet,18.7,0.5,74.2,45.9,30.1,5.5,0.0,60.3,87.3,75.0,58.7,20.3,80.5,0.0,70.1,23.975,39.3,34.825,42.725,33.84166666666667,648.0,701.0,B,B
node-js-libs,cli,0.0,0.0,31.8,53.1,21.6,0.0,0.0,41.3,41.5,34.9,42.9,46.0,32.5,0.0,30.8,15.725,22.7,21.225,27.325,21.425,232.0,233.0,D,D
koajs,compose,0.0,0.0,57.3,70.9,21.6,0.0,0.0,43.4,45.7,48.3,49.6,30.1,63.4,5.5,51.4,16.25,30.7,32.05,37.6,28.633333333333336,519.0,493.5,C,C
http-party,http-server,28.6,0.9,76.7,51.5,31.2,13.1,0.0,68.1,83.9,86.1,48.3,54.2,66.1,18.1,59.7,28.099999999999998,42.6,39.425000000000004,49.525000000000006,39.01666666666667,768.5,774.0,B,B
ethereumjs,ethereumjs-monorepo,32.6,29.7,36.7,39.0,48.3,45.5,37.9,48.1,59.9,74.1,12.7,45.5,46.4,44.0,73.0,44.949999999999996,45.2,34.5,52.225,43.89166666666666,855.0,826.5,A,A
dcodeIO,bcrypt.js,19.9,0.0,45.0,45.1,28.7,5.5,0.0,46.3,64.8,59.5,23.5,37.4,24.7,0.0,17.9,20.125,24.8,27.5,20.0,22.541666666666668,274.0,292.0,D,D
goto100,xpath,38.2,32.4,36.9,40.3,40.7,29.5,26.2,31.7,21.3,32.9,35.6,36.9,33.1,13.1,48.9,32.025,33.1,36.95,33.0,33.99166666666667,651.0,566.5,B,C
hapijs,boom,15.7,7.6,47.1,57.2,28.9,5.5,0.0,56.3,62.4,54.1,68.6,40.1,46.1,6.9,64.5,22.674999999999997,34.7,31.9,39.4,31.325,593.0,604.5,C,B
request,request-promise,2.2,0.8,53.2,50.3,26.8,2.1,0.0,52.2,68.7,62.2,48.7,29.1,43.3,0.0,55.6,20.275000000000002,30.3,26.625,32.0,26.3,429.0,482.5,C,C
expressjs,errorhandler,0.0,0.0,49.3,57.2,21.9,0.0,0.0,42.2,30.0,29.9,68.4,40.4,51.8,0.0,26.8,16.025,25.6,26.625,29.75,24.133333333333336,339.5,319.0,D,D
react-icons,react-icons,36.8,33.6,50.1,32.9,49.4,35.8,33.4,65.0,80.8,75.2,70.2,34.0,61.6,34.5,56.4,45.9,48.4,38.35,46.625,43.625,853.0,870.5,A,A
apostrophecms,sanitize-html,27.6,6.6,77.3,42.9,36.0,9.2,11.8,52.1,65.8,67.4,45.8,29.3,45.4,5.9,61.3,27.275,36.8,38.6,35.475,33.78333333333333,647.0,650.5,B,B
react-dnd,react-dnd,23.1,11.1,59.4,21.0,36.9,10.2,0.0,67.7,89.8,89.5,44.4,47.2,73.9,4.3,41.4,28.700000000000003,38.0,28.65,41.7,33.01666666666667,634.0,672.5,B,B
mishoo,UglifyJS2,21.3,16.5,81.0,61.5,22.0,0.0,0.0,12.3,0.0,0.0,19.6,29.8,27.0,24.8,3.6,8.575,20.8,45.075,21.3,24.983333333333334,384.5,180.5,D,F
zenorocha,clipboard.js,24.7,10.1,74.6,58.0,32.8,8.0,0.0,57.2,96.1,95.0,4.6,33.2,55.2,4.2,65.0,24.5,38.6,41.849999999999994,39.400000000000006,35.25,676.0,681.0,B,B
reactjs,react-modal,27.0,27.8,57.0,33.1,38.6,13.4,19.2,56.7,74.8,78.0,50.7,23.5,77.3,17.8,74.8,31.975000000000005,43.3,36.225,48.35,38.85,761.0,794.0,B,B
medialize,URI.js,0.0,0.0,71.0,54.4,22.1,19.7,0.0,57.5,73.3,71.5,24.1,61.0,25.1,0.0,58.9,24.825000000000003,32.7,31.35,36.25,30.808333333333337,581.0,556.0,C,C
sindresorhus,tildify,0.0,0.0,48.8,75.6,22.1,0.0,0.0,28.7,14.7,11.7,59.0,29.2,43.9,0.0,36.1,12.7,23.5,31.099999999999998,27.3,23.7,320.0,252.0,D,D
apollographql,apollo-link,0.0,0.0,69.1,38.6,22.2,0.0,0.0,43.4,52.7,65.8,49.2,6.0,82.1,0.0,78.7,16.4,32.8,26.924999999999997,41.7,28.34166666666667,504.0,558.0,C,C
winstonjs,winston-daily-rotate-file,19.3,25.1,37.1,48.0,35.3,7.8,5.7,37.0,43.3,49.4,33.0,22.2,46.0,8.7,60.5,21.45,31.0,32.375,34.35,29.39166666666667,542.0,507.5,C,C
facebook,react-native,27.2,26.5,81.6,46.8,49.6,43.9,41.4,78.7,99.5,98.9,67.2,49.1,69.9,46.0,50.0,53.4,56.1,45.525000000000006,53.75,50.89166666666667,973.0,986.0,A,A
75lb,command-line-args,0.0,0.0,49.9,65.5,17.1,2.1,0.0,40.0,38.1,41.7,49.5,30.5,54.6,0.8,15.8,14.8,24.7,28.85,25.425,23.025000000000002,290.0,288.5,D,D
naugtur,xhr,0.0,0.0,76.0,48.2,17.1,0.0,0.0,45.3,42.1,41.6,58.3,39.2,59.5,0.0,56.0,15.6,30.1,31.05,38.675,28.441666666666663,509.0,476.5,C,C
sidorares,node-mysql2,23.0,30.1,67.9,76.2,46.8,44.1,38.9,61.8,67.0,72.3,56.6,51.3,55.7,42.8,34.9,47.9,49.7,49.3,46.175,47.791666666666664,932.0,897.0,A,A
vuejs,vue-hot-reload-api,0.0,0.0,26.2,47.5,17.2,0.0,0.0,36.5,32.4,26.9,70.0,16.8,76.2,0.0,41.4,13.425,25.0,18.425,33.6,21.816666666666666,248.0,297.5,D,D
vuejs,vuex,19.8,6.4,50.8,47.5,27.6,14.8,5.8,73.1,95.1,97.4,63.8,36.2,72.8,6.9,69.7,30.325,42.5,31.125,46.400000000000006,35.95,693.0,768.0,B,B
prettymuchbryce,http-status-codes,28.8,5.4,36.6,52.7,27.2,12.6,11.9,41.3,45.2,41.2,37.8,41.1,57.9,10.9,34.7,23.25,31.0,30.875000000000004,36.15,30.09166666666667,567.5,507.5,C,C
kelektiv,node-cron,27.1,28.4,92.0,50.4,39.6,42.2,25.8,62.9,76.6,72.7,39.0,63.4,41.3,35.7,66.4,42.625,49.0,49.475,51.7,47.93333333333334,937.0,882.5,A,A
jasmine,jasmine-npm,17.5,4.1,64.8,52.8,21.6,8.2,5.9,36.8,28.6,47.7,24.2,46.8,32.0,3.0,35.2,18.125,26.7,34.8,29.25,27.391666666666666,474.5,359.5,C,D
parshap,node-sanitize-filename,3.2,0.0,42.1,73.8,16.8,2.5,0.0,23.2,26.5,27.7,9.0,29.4,53.5,0.0,22.8,10.625,21.2,29.775,26.424999999999997,22.274999999999995,265.0,195.5,D,F
mui-org,material-ui,30.1,30.2,90.9,0.0,41.7,46.5,42.3,78.3,98.9,99.4,62.5,52.4,71.3,46.3,51.3,52.2,54.0,37.8,55.324999999999996,48.44166666666666,941.0,962.5,A,A
knex,knex,31.3,33.5,54.7,21.4,39.8,38.5,41.1,71.1,88.6,90.2,49.1,56.7,54.2,43.0,70.4,47.62499999999999,50.5,35.225,56.075,46.30833333333334,904.0,908.5,A,A
sequelize,sequelize,35.7,33.5,76.7,36.6,39.7,47.5,39.4,82.2,95.4,95.5,59.8,78.2,66.6,44.0,53.7,52.199999999999996,56.2,45.625,60.625,52.81666666666666,993.0,987.5,A,A
react-component,slider,29.6,24.9,49.5,49.5,29.7,31.1,28.6,45.9,62.9,75.7,9.1,35.9,35.7,31.9,79.7,33.825,40.8,38.375,45.800000000000004,39.333333333333336,773.0,739.5,B,B
trentm,node-bunyan,4.8,9.7,81.9,51.0,16.2,8.2,0.0,59.1,74.4,70.9,50.4,40.6,66.3,2.9,40.8,20.875,35.2,36.85,37.65,31.791666666666668,604.0,611.0,B,B
nashwaan,xml-js,3.9,0.0,54.1,30.1,16.8,0.0,0.0,42.8,49.7,53.2,50.1,18.3,79.5,0.0,23.6,14.899999999999999,26.2,22.025,30.349999999999998,22.424999999999997,270.0,343.0,D,D
websockets,bufferutil,31.3,4.7,32.1,35.6,15.3,9.3,6.0,31.7,16.7,25.0,54.4,30.8,39.6,9.8,39.6,15.575,24.4,25.925000000000004,29.95,23.816666666666666,326.5,280.0,D,D
firebase,firebase-js-sdk,28.9,28.1,89.9,40.9,40.6,44.4,40.9,57.6,68.5,79.0,65.4,17.6,83.5,45.4,78.8,45.875,53.9,46.95,56.325,49.71666666666667,958.0,961.0,A,A
hudochenkov,stylelint-order,16.5,28.3,40.1,38.5,13.0,19.2,6.1,36.0,44.3,31.4,42.8,25.6,55.6,12.6,33.4,18.575,28.4,30.85,31.799999999999997,27.075,455.0,417.0,C,C
googleapis,google-api-nodejs-client,24.4,33.5,90.6,48.1,44.1,43.5,33.6,60.1,81.0,88.9,5.7,64.9,34.7,39.7,48.4,45.324999999999996,47.6,49.15,46.925,47.133333333333326,918.0,857.5,A,A
FortAwesome,Font-Awesome,22.9,18.2,73.1,19.4,42.2,23.4,23.0,79.1,98.6,98.1,58.0,61.8,40.2,11.5,51.9,41.925,44.1,33.4,41.349999999999994,38.89166666666666,763.0,808.5,B,A
webpack-contrib,eslint-loader,0.0,0.0,64.6,62.2,16.6,0.0,0.0,51.9,46.7,46.3,74.1,40.6,85.2,0.0,63.8,17.125,34.7,31.7,47.4,32.074999999999996,609.0,604.5,B,B
ciaranj,node-oauth,3.6,12.8,21.6,79.7,16.7,10.8,0.0,47.1,59.8,74.0,5.6,49.0,23.2,0.0,47.0,18.650000000000002,27.3,29.425,29.8,25.958333333333332,418.5,381.5,C,D
webpack-contrib,html-loader,45.6,19.5,73.7,62.4,28.8,24.4,23.8,52.6,48.9,55.4,63.0,43.0,65.5,25.1,65.9,32.4,45.2,50.300000000000004,49.875,44.19166666666666,861.0,826.5,A,A
npm,security-holder,0.0,0.0,26.2,61.2,16.3,0.0,0.0,16.6,18.0,26.6,11.6,10.4,23.1,0.0,37.5,8.225000000000001,16.0,21.85,17.75,15.941666666666668,111.0,110.5,F,F
pugjs,pug,22.8,0.0,52.7,52.9,26.9,0.0,0.0,74.6,90.8,89.3,55.8,62.4,71.5,2.5,48.4,25.375,39.1,32.1,46.2,34.55833333333334,658.0,696.0,B,B
typeorm,typeorm,32.3,38.6,90.8,24.1,49.3,42.0,44.0,67.2,95.9,96.5,48.4,28.2,59.2,22.0,61.1,50.625,51.6,46.449999999999996,42.625,46.56666666666666,909.0,925.5,A,A
yiminghe,async-validator,14.6,3.1,49.7,44.4,23.5,5.2,0.0,57.5,77.7,76.3,57.9,18.1,73.9,0.0,43.2,21.55,33.5,27.949999999999996,33.800000000000004,27.76666666666667,485.0,576.0,C,C
formatjs,formatjs,39.2,36.9,62.1,41.5,45.9,42.0,38.5,66.5,85.0,85.1,40.7,55.3,76.7,38.4,56.3,48.225,52.7,44.925000000000004,56.675,49.94166666666666,963.0,942.5,A,A
flitbit,diff,0.0,0.0,46.0,62.9,16.4,0.0,0.0,51.0,62.5,59.0,47.7,35.0,62.8,0.0,40.5,16.85,29.5,27.225,34.575,26.21666666666667,426.0,448.5,C,C
driverdan,node-XMLHttpRequest,0.0,0.0,36.5,65.4,16.5,0.0,0.0,36.9,29.7,62.9,5.5,49.5,20.0,0.0,47.9,13.35,22.6,25.475,29.35,22.725000000000005,279.0,228.0,D,D
gulpjs,gulp,25.3,7.0,77.6,56.5,28.2,8.4,0.0,76.4,95.8,95.6,68.7,45.7,54.3,0.0,79.6,28.250000000000004,43.7,41.599999999999994,44.89999999999999,38.24999999999999,747.0,800.0,B,A
roryrjb,md5-file,0.0,0.0,43.4,12.5,16.0,0.0,0.0,31.3,21.0,14.9,62.1,27.2,43.6,0.0,39.4,11.825,19.6,13.975,27.55,17.78333333333333,137.0,155.0,F,F
mathiasbynens,utf8.js,0.0,0.0,47.9,65.5,16.0,0.0,0.0,41.4,34.9,45.5,53.5,31.6,43.2,0.0,8.2,14.35,23.0,28.35,20.75,21.150000000000002,219.5,240.0,D,D
firebase,firebase-admin-node,23.7,32.7,78.0,40.8,44.1,40.0,33.7,39.1,53.7,65.0,5.4,32.2,43.9,39.7,58.8,39.224999999999994,42.4,43.8,43.64999999999999,42.224999999999994,834.0,764.5,A,B
59naga,babel-plugin-add-module-exports,0.0,0.0,25.7,62.0,16.1,0.0,0.0,34.5,39.4,27.3,48.8,22.6,78.0,0.0,28.3,12.65,24.3,21.925,32.225,22.26666666666667,264.0,275.0,D,D
75lb,command-line-usage,0.0,0.0,64.2,65.4,16.1,0.0,0.0,27.7,20.4,21.8,46.6,22.1,42.4,5.6,4.8,10.95,20.8,32.400000000000006,18.725,20.69166666666667,204.0,180.5,D,F
jimp-dev,jimp,10.5,29.8,74.5,13.6,38.9,23.4,30.1,65.1,84.1,76.0,53.1,47.2,64.6,30.4,50.4,39.375,44.1,32.1,48.150000000000006,39.875,786.0,808.5,B,A
mapbox,node-pre-gyp,29.0,17.6,81.7,71.5,30.0,18.2,11.2,53.0,48.0,63.0,72.7,28.2,64.4,17.1,69.0,28.1,43.2,49.95,44.675,40.90833333333334,811.0,792.0,A,B
kelektiv,node.bcrypt.js,29.8,19.3,65.6,50.8,39.0,19.3,23.9,53.2,74.5,70.4,5.3,62.8,43.0,19.2,69.4,33.85,41.5,41.375,48.599999999999994,41.275,817.0,752.5,A,B
enzymejs,enzyme,23.7,15.3,74.1,15.2,19.8,5.2,0.0,61.6,89.5,90.0,54.0,12.9,51.0,13.5,58.0,21.65,35.7,32.074999999999996,33.85,29.191666666666663,535.0,624.0,C,B
ant-design,ant-design,24.5,27.4,74.9,37.9,42.7,47.4,43.4,75.3,98.8,99.7,54.6,48.1,50.4,46.8,77.2,52.199999999999996,54.8,41.175000000000004,55.62499999999999,49.666666666666664,956.0,973.5,A,A
lit,lit,28.9,28.0,76.7,7.6,46.8,45.6,41.5,59.9,87.4,79.1,36.4,36.7,57.9,44.5,67.7,48.45,49.1,35.3,51.7,45.15,882.0,884.0,A,A
Automattic,node-canvas,33.3,15.9,56.0,55.7,41.5,23.7,28.5,55.9,79.2,82.4,5.1,57.0,28.3,28.6,76.8,37.4,43.0,40.225,47.675,41.766666666666666,826.0,785.5,A,B
mattyork,fuzzy,0.0,0.0,43.4,51.9,15.5,0.0,0.0,41.7,42.5,38.2,44.0,42.2,43.9,0.0,12.3,14.3,22.4,23.825,24.6,20.908333333333335,209.0,221.5,D,D
casesandberg,react-color,16.1,9.6,57.6,44.5,24.3,10.1,0.0,56.6,81.7,80.0,39.3,25.2,51.3,0.0,60.6,22.75,34.3,31.95,34.275,29.65833333333333,555.0,596.0,C,C
cryptocoinjs,bs58,0.0,0.0,27.3,57.5,15.6,0.0,0.0,31.8,20.2,24.3,53.9,28.6,37.6,0.0,37.4,11.85,20.8,21.2,25.9,19.65,176.0,180.5,F,F
shouldjs,should.js,0.0,0.0,62.9,42.0,15.6,0.0,0.0,44.7,56.8,46.0,44.7,31.1,47.4,0.0,49.2,15.075000000000001,27.1,26.225,31.924999999999997,24.40833333333333,352.0,374.0,D,D
anseki,readline-sync,0.0,0.0,58.4,53.0,15.2,0.0,0.0,34.3,41.4,29.6,36.8,29.6,30.6,0.0,6.7,12.375,19.9,27.85,16.725,18.983333333333334,161.0,161.5,F,F
quilljs,quill,39.2,33.2,55.0,28.9,43.7,41.2,33.8,73.5,96.4,93.8,41.4,62.4,61.5,36.5,41.2,48.05,49.6,39.075,50.4,45.84166666666667,896.0,894.0,A,A
substack,brfs,18.9,0.0,59.3,1.3,17.9,0.0,0.0,39.3,35.3,32.5,48.5,40.8,38.5,0.0,18.6,14.299999999999999,21.0,19.874999999999996,24.475,19.55,173.0,187.0,F,F
domenic,chai-as-promised,10.3,2.1,56.4,62.5,19.7,2.7,0.0,48.3,52.2,42.6,46.7,51.6,61.9,0.0,41.8,17.675,30.8,32.825,38.824999999999996,29.774999999999995,557.0,499.5,C,C
oclif,command,0.0,18.9,22.3,30.7,21.5,30.8,18.5,24.8,17.6,24.5,24.7,32.5,54.7,29.9,49.4,23.9,27.8,17.975,41.625,27.833333333333332,487.0,394.0,C,D
dylang,shortid,23.5,0.0,42.7,70.3,18.2,0.0,0.0,55.1,71.8,61.2,46.3,41.2,68.6,0.0,34.2,18.325,32.4,34.125,36.0,29.483333333333334,548.0,548.5,C,C
jonschlinkert,gray-matter,15.0,0.4,56.8,45.1,26.4,0.8,2.1,48.7,66.3,45.7,56.2,26.5,39.7,1.1,26.2,19.5,27.5,29.325000000000003,23.375,24.066666666666666,337.0,386.0,D,D
timoxley,keycode,0.0,0.0,47.5,90.4,15.4,0.0,0.0,36.3,31.8,30.0,48.1,35.5,41.3,0.0,43.2,12.924999999999999,26.0,34.475,30.0,25.8,412.0,330.5,C,D
node-config,node-config,15.0,24.8,37.3,49.7,34.5,16.2,18.6,54.4,72.9,70.2,21.1,53.2,35.5,9.3,74.2,30.924999999999997,37.2,31.7,43.05,35.225,675.0,659.0,B,B
cujojs,when,0.0,0.0,43.5,61.6,14.9,0.0,0.0,65.9,65.2,67.9,65.2,65.2,41.8,0.0,29.2,20.200000000000003,30.2,26.275,34.05,26.84166666666667,448.5,480.5,C,C
hammerjs,hammer.js,17.1,0.0,62.5,48.6,24.9,0.0,0.0,56.9,92.5,92.6,2.6,40.0,34.8,0.0,41.6,20.45,30.7,32.05,29.1,27.2,469.0,493.5,C,C
oclif,cli-ux,0.0,0.0,44.4,30.9,15.0,0.0,0.0,31.2,35.0,25.3,34.8,29.6,58.5,0.0,48.2,11.55,22.6,18.825,34.075,21.483333333333334,236.0,228.0,D,D
webpack,json-loader,0.0,0.0,25.7,58.6,15.0,0.0,0.0,44.7,31.1,36.6,69.3,41.6,68.7,0.0,45.2,14.925,27.2,21.075,38.875,24.958333333333332,383.0,378.5,D,D
necolas,normalize.css,38.4,20.9,56.5,63.3,21.9,5.2,0.0,73.7,97.5,97.8,55.1,44.4,35.6,0.0,59.2,25.200000000000003,39.8,44.775000000000006,34.800000000000004,34.925000000000004,665.5,716.0,B,B
mrdoob,three.js,24.7,29.7,55.3,45.6,47.6,47.1,43.3,80.5,99.1,99.6,47.3,76.2,51.4,45.6,49.2,54.625,53.5,38.825,55.599999999999994,49.68333333333334,957.0,956.0,A,A
standard,eslint-plugin-standard,0.0,5.5,52.9,33.9,19.6,5.5,13.5,26.5,16.6,15.6,58.9,15.1,48.4,7.0,50.5,16.275,24.4,23.075,30.25,23.2,300.5,280.0,D,D
mobxjs,mobx,25.5,23.6,79.0,30.4,44.5,35.5,37.8,66.3,94.1,88.1,39.9,43.1,76.5,37.4,68.2,46.025000000000006,51.5,39.625,56.3,47.31666666666666,924.0,923.0,A,A
amqp-node,amqplib,27.5,13.2,44.8,47.9,33.4,17.4,13.6,54.1,66.0,70.1,43.3,37.1,54.9,14.8,72.0,29.625,39.0,33.35,44.7,35.89166666666667,690.0,693.5,B,B
imagemin,imagemin,0.0,0.0,23.2,56.8,16.8,0.0,0.0,57.3,71.1,61.1,61.7,35.1,47.7,0.0,45.8,18.525,28.5,20.0,32.15,23.558333333333334,314.0,420.0,D,C
redux-saga,redux-saga,29.0,23.3,84.1,17.8,34.2,21.3,18.7,66.7,91.8,89.7,49.0,36.4,67.2,24.9,65.8,35.225,45.6,38.550000000000004,48.575,40.78333333333334,810.0,834.5,A,A
adamwdraper,Numeral-js,18.7,0.0,59.6,54.2,23.1,4.8,0.0,51.7,79.0,80.4,2.4,45.2,30.8,0.0,47.0,19.9,30.0,33.125,30.75,27.925,492.0,471.5,C,C
intlify,vue-i18n-next,29.3,32.3,67.1,15.9,46.8,44.1,38.7,43.5,55.6,61.0,29.2,28.2,60.9,40.1,42.2,43.27499999999999,42.6,36.15,42.849999999999994,40.758333333333326,809.0,774.0,A,B
node-schedule,node-schedule,20.2,0.0,66.8,43.1,25.9,0.0,0.0,61.9,78.3,70.7,40.3,58.2,37.8,5.4,68.5,21.95,35.1,32.525,42.475,32.31666666666666,613.0,608.0,B,B
mysqljs,mysql,3.1,15.7,57.4,49.8,20.9,8.4,0.0,71.7,88.3,92.1,59.1,47.4,42.0,5.5,39.7,25.25,35.5,31.5,33.65,30.133333333333336,569.0,619.0,C,B
babel,babel-preset-env,0.0,0.0,80.6,42.9,14.3,0.0,0.0,53.8,65.5,53.9,69.1,26.7,84.9,0.0,49.3,17.025,33.5,30.875,40.224999999999994,29.375,541.0,576.0,C,C
rollup,rollup-plugin-babel,0.0,0.0,49.0,37.0,14.4,0.0,0.0,39.0,38.7,38.0,65.8,13.6,76.0,0.0,58.5,13.35,27.5,21.5,37.025,23.958333333333332,331.5,386.0,D,D
babel,babelify,2.5,0.0,59.0,42.9,14.5,0.0,0.0,43.4,54.4,45.1,47.5,26.4,72.9,0.0,60.2,14.475,29.7,26.1,39.87500000000001,26.816666666666674,445.0,457.5,C,C
lodash,babel-plugin-lodash,0.0,0.0,48.6,40.1,14.4,0.0,0.0,39.2,57.5,42.2,42.0,14.9,71.3,0.0,39.7,13.4,25.8,22.175,31.475,22.350000000000005,269.0,323.5,D,D
akiran,react-slick,42.7,32.9,67.2,28.9,36.6,29.6,18.3,65.6,81.5,90.4,50.5,40.0,50.1,9.2,64.6,37.525,44.5,42.925000000000004,40.974999999999994,40.475,800.0,815.0,A,A
FortAwesome,react-fontawesome,18.8,0.0,68.8,18.3,22.5,0.0,0.0,36.4,66.2,60.0,0.3,19.2,56.2,2.4,56.0,14.725,27.1,26.474999999999998,33.45,24.883333333333336,380.0,374.0,D,D
gulpjs,gulp-util,0.0,0.0,65.7,48.9,14.5,0.0,0.0,44.0,42.6,41.1,61.2,31.1,46.6,0.0,62.0,14.625,28.4,28.65,34.925,26.066666666666663,423.0,417.0,C,C
chancejs,chancejs,18.4,22.1,50.8,36.2,26.2,18.9,18.4,43.8,73.4,69.2,1.1,31.5,58.2,24.2,54.4,26.824999999999996,35.6,31.874999999999996,42.074999999999996,33.59166666666666,645.0,621.5,B,B
ardatan,graphql-tools,25.6,25.5,66.9,37.3,42.6,47.0,39.7,59.8,70.6,77.0,50.0,41.7,58.7,43.5,59.4,47.275000000000006,48.9,38.825,50.825,45.64166666666667,889.0,881.0,A,A
rstacruz,nprogress,13.6,0.0,35.9,74.4,18.0,0.0,0.0,67.5,93.4,88.8,50.6,37.1,42.3,0.0,38.5,21.375,32.9,30.975,29.475,27.275000000000002,472.0,560.5,C,C
theturtle32,WebSocket-Node,36.7,0.0,32.6,46.8,19.7,0.0,0.0,46.3,66.4,72.9,1.2,44.7,24.7,0.1,52.0,16.5,26.9,29.025000000000002,30.375,25.3,395.0,367.5,D,D
acdlite,recompose,0.0,0.0,64.7,57.7,14.2,0.0,0.0,62.4,85.9,83.9,46.4,33.5,80.9,0.0,60.4,19.15,36.2,30.6,43.7,31.150000000000002,587.0,635.5,C,B
cryptocoinjs,secp256k1-node,11.0,3.8,30.5,57.3,21.2,3.0,0.0,33.9,26.4,47.0,26.2,36.0,29.9,0.2,53.8,14.524999999999999,23.9,25.65,29.974999999999998,23.38333333333333,309.0,260.0,D,D
facebook,draft-js,0.0,0.0,77.2,46.6,14.2,0.0,0.0,62.8,91.9,92.7,39.6,26.8,77.5,1.1,78.9,19.25,37.7,30.950000000000003,46.075,32.09166666666667,610.0,666.5,B,B
jrburke,r.js,0.0,0.0,75.2,76.5,14.3,0.0,0.0,45.3,60.8,74.7,1.3,44.2,17.1,0.0,36.4,14.899999999999999,26.4,37.925,24.425,25.75,409.0,353.0,C,D
broofa,node-uuid,0.0,0.0,22.8,33.1,14.3,0.0,0.0,13.6,23.7,21.4,1.4,8.1,16.9,0.0,46.0,6.975,13.3,13.975000000000001,17.75,12.9,73.0,82.5,F,F
rafeca,prettyjson,0.0,0.0,60.7,61.1,15.9,0.0,0.0,39.5,32.8,28.8,36.9,59.5,52.5,0.0,25.6,13.85,25.3,30.450000000000003,34.4,26.233333333333334,427.0,309.0,C,D
Leaflet,Leaflet,24.3,33.2,58.5,49.4,45.5,40.7,39.0,75.6,96.5,96.4,45.1,64.2,53.1,40.3,61.0,50.2,52.5,41.35,54.64999999999999,48.73333333333333,947.0,936.5,A,A
webpack-contrib,uglifyjs-webpack-plugin,0.0,0.0,72.6,62.2,13.9,0.0,0.0,50.5,51.9,54.6,70.4,25.0,84.8,0.0,48.6,16.1,33.3,33.7,39.6,29.8,559.0,569.5,C,C
abbr,deasync,21.3,3.7,31.6,44.1,22.6,9.3,2.9,42.3,45.0,34.0,47.9,42.4,32.4,5.2,37.8,19.275,26.1,25.175000000000004,29.449999999999996,24.633333333333336,360.0,336.5,D,D
dreamerslab,node.extend,0.0,2.5,46.6,62.5,14.9,4.9,3.0,28.3,17.1,15.2,40.0,40.9,34.9,5.4,22.5,12.775,21.2,27.9,25.924999999999997,22.2,262.0,195.5,D,F
theaqua,redux-logger,0.0,0.0,50.5,0.0,14.0,0.0,0.0,55.8,71.9,65.1,52.0,34.2,74.8,0.0,54.4,17.45,29.0,12.625,40.849999999999994,23.641666666666666,316.0,436.5,D,C
expressjs,method-override,0.0,10.2,54.1,57.5,14.0,1.1,0.0,41.2,36.9,28.3,59.2,40.4,48.4,0.0,22.7,14.075000000000001,25.1,30.45,27.875,24.133333333333336,339.5,302.0,D,D
mokkabonna,inquirer-autocomplete-prompt,31.4,16.8,40.1,63.5,24.0,24.4,13.7,30.4,27.2,36.5,38.8,19.0,60.9,16.8,43.7,23.125,32.4,37.95,35.099999999999994,32.05833333333333,607.0,548.5,B,C
browserify,watchify,0.0,0.0,62.5,64.5,15.7,0.0,0.0,45.5,55.4,54.9,38.7,33.2,40.7,0.0,58.4,15.3,28.9,31.75,33.075,26.708333333333332,439.5,433.5,C,C
