owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,usage_popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,trustee_avg,popularity_component,community_activity_and_integrity_component,maintenance_and_goodwill_component,code_quality_component,component_avg,component_rank,component_rank_grade,trustee_rank,trustee_rank_grade,component_zscore,component_z_grade,trustee_zscore,trustee_z_grade
stylelint-scss,stylelint-scss,36.2,29.1,30.7,73.8,11.2,38.1,40.6,41.0,32.7,41.5,43.1,38.4,48.0,36.3,55.8,58.0,38.4,71.1,39.9,42.9,43.199999999999996,39.375,36.199999999999996,50.95,42.175,814.0,A,768.5,B,0.9922041457590919,B,0.8127566544650324,B
palantir,tslint,30.4,30.4,0.0,39.5,51.6,6.1,18.2,0.0,0.0,70.1,72.3,79.8,70.8,57.5,46.2,76.9,0.0,61.7,52.7,38.2,74.43333333333334,23.158333333333335,30.375,49.025000000000006,34.18611111111111,625.0,B,662.5,B,0.28930678558384215,C,0.4398305887838341,C
bvaughn,react-virtualized,39.6,29.2,0.0,82.3,47.0,11.4,27.8,6.3,0.0,60.6,93.2,93.7,36.7,18.9,48.8,73.5,0.0,73.0,66.1,40.1,74.63333333333333,27.18333333333333,39.625,41.35,36.05277777777778,668.0,B,711.5,B,0.4535442772520508,C,0.5905879344847441,B
xmldom,xmldom,28.3,22.6,24.4,64.1,1.9,36.3,37.6,40.6,30.7,34.8,25.4,37.5,56.5,19.8,52.6,58.7,38.0,60.9,33.1,38.0,39.766666666666666,37.166666666666664,28.25,44.35,36.58888888888888,683.0,B,658.5,B,0.5007136759008065,B,0.4239613944995275,C
gulpjs,plugin-error,26.8,7.4,0.0,43.7,56.0,7.5,22.5,0.0,0.0,28.0,10.0,13.2,64.5,24.2,27.3,49.9,0.0,32.0,10.2,22.4,29.266666666666666,12.941666666666666,26.775,26.525000000000002,22.08055555555556,212.0,D,197.5,F,-0.7757928999668315,D,-0.8138357596763661,D
Automattic,mongoose,53.9,44.0,30.1,85.9,55.6,47.5,54.5,47.0,40.9,84.7,93.7,94.7,75.3,75.0,47.2,55.0,43.9,42.7,78.6,58.3,88.0,57.6,53.9,54.15,55.21666666666667,995.0,A,992.0,A,2.139666978173139,A,2.0346846143566193,A
karma-runner,karma-jasmine,33.7,15.0,13.7,41.9,64.2,14.3,26.2,9.7,7.0,53.1,34.7,50.7,73.7,53.5,50.5,73.1,13.2,65.2,33.2,37.9,53.06666666666666,23.991666666666667,33.7,51.25,36.31388888888889,673.0,B,656.5,B,0.4765179740032587,C,0.41602679735737425,C
jaredhanson,passport,46.9,30.8,8.0,64.4,84.4,21.3,38.1,18.7,7.1,69.7,91.5,83.3,61.4,42.4,31.9,46.2,9.5,40.0,65.4,42.5,78.83333333333333,35.68333333333333,46.900000000000006,34.525,39.03611111111112,740.0,B,761.0,B,0.7160309826860635,B,0.7810182658964199,B
jinder,path,20.5,2.9,0.0,29.3,49.5,7.5,21.6,1.0,0.0,32.7,16.9,36.1,58.6,19.3,16.8,39.1,0.0,11.2,20.2,19.4,37.233333333333334,14.958333333333334,20.425,17.4,17.594444444444445,115.0,F,143.0,F,-1.1705005622349223,D,-1.051873673940961,D
chjj,blessed,34.3,22.3,0.0,52.8,62.1,8.5,25.4,0.0,0.0,55.8,81.1,70.8,37.2,34.2,13.5,30.0,0.0,10.7,53.5,28.0,63.13333333333335,22.133333333333336,34.3,18.725,25.052777777777777,323.0,D,372.5,D,-0.5142837986498926,D,-0.36949831971578884,C
Pomax,react-onclickoutside,29.8,12.2,0.0,56.0,51.0,6.2,18.7,0.0,0.0,45.9,55.9,53.6,46.0,28.1,46.7,70.6,0.0,69.5,38.6,32.1,51.86666666666667,17.641666666666666,29.8,42.05,29.830555555555552,516.0,C,523.0,C,-0.09391402830864472,C,-0.044179836887509025,C
