owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,usage_popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,trustee_avg,popularity_component,community_activity_and_integrity_component,maintenance_and_goodwill_component,code_quality_component,component_avg,component_rank,component_rank_grade,trustee_rank,trustee_rank_grade,component_zscore,component_z_grade,trustee_zscore,trustee_z_grade
chalk,supports-color,31.8,28.7,13.8,43.7,41.1,4.2,5.4,7.1,0.0,52.0,26.6,38.2,99.7,43.5,32.1,36.7,6.2,53.5,23.0,30.0,54.9,16.85,31.825000000000003,34.975,27.883333333333336,439.0,C,444.5,C,-0.26523914982562957,C,-0.21080637687272558,C
npm,node-semver,53.8,42.2,27.1,84.7,61.2,36.5,47.4,33.8,28.4,48.8,69.2,69.5,0.8,55.8,38.1,7.6,35.5,71.2,58.4,44.3,46.4,39.0,53.8,42.525,45.10833333333333,863.5,A,799.5,B,1.2502916326662765,B,0.9238410144551766,B
chalk,chalk,41.7,34.5,8.0,83.4,41.0,24.3,42.1,14.3,16.5,78.7,90.6,78.3,99.4,46.5,43.1,43.5,15.9,70.0,64.4,47.0,89.53333333333335,40.608333333333334,41.725,43.975,42.10277777777778,813.0,A,844.5,A,0.98584971899812,B,1.1380751372933122,B
debug-js,debug,34.3,32.5,8.6,46.5,49.6,13.9,30.6,11.2,0.0,80.2,80.9,79.7,100.0,60.2,40.5,47.0,0.0,74.3,58.2,42.2,86.96666666666665,32.19166666666666,34.3,45.375,37.288888888888884,697.0,B,753.5,B,0.562302735276385,B,0.7572144744699606,B
microsoft,tslib,39.3,19.5,30.4,57.8,49.6,32.2,38.9,29.4,28.2,56.4,49.3,45.6,94.3,36.5,45.6,50.1,30.3,56.4,42.4,43.4,63.1,39.9,39.324999999999996,43.325,40.85,784.0,B,781.0,B,0.8756248547981763,B,0.8524296401757983,B
vercel,ms,24.7,22.8,0.0,37.2,38.6,12.8,25.1,13.2,0.0,71.1,69.3,61.6,99.9,53.5,50.5,80.5,7.7,63.2,47.9,39.8,77.03333333333335,28.833333333333336,24.65,51.224999999999994,34.90277777777778,640.0,B,704.0,B,0.35236225113502956,C,0.5667841430582843,B
mozilla,source-map,42.6,14.6,11.5,71.8,72.5,10.2,24.0,6.7,0.0,68.0,65.3,66.8,96.4,43.6,51.0,69.9,8.0,75.1,47.4,43.0,76.26666666666667,26.741666666666667,42.599999999999994,49.15,39.49722222222223,752.0,B,771.0,B,0.756601553544579,B,0.8206912516071857,B
isaacs,node-lru-cache,49.5,32.8,23.7,54.7,87.0,20.4,32.3,19.4,9.5,52.8,69.9,66.6,26.4,48.3,35.7,46.4,22.1,38.7,52.3,39.6,54.4,28.9,49.55,38.875,39.10833333333333,744.0,B,694.5,B,0.7223854094470346,B,0.5509149487739783,B
chalk,strip-ansi,23.6,24.9,0.0,28.2,41.2,5.9,17.6,0.0,0.0,46.5,28.6,22.8,99.1,35.6,27.7,42.3,5.0,35.8,19.1,25.9,50.20000000000001,16.950000000000003,23.575,29.674999999999997,23.400000000000002,261.0,D,300.0,D,-0.659702411064452,D,-0.5361248597010054,D
nodejs,readable-stream,43.2,36.1,11.4,69.3,56.0,18.5,29.0,16.9,9.6,65.4,45.9,58.2,97.9,59.7,48.5,49.7,20.8,75.1,40.9,43.9,67.36666666666666,30.71666666666666,43.2,51.325,41.74722222222222,802.0,A,792.5,B,0.9545663872517941,B,0.8921026258865641,B
tj,commander.js,62.3,47.5,32.5,85.9,83.3,41.6,52.7,42.0,30.3,66.2,93.5,88.4,15.9,67.2,45.2,29.4,35.9,70.2,74.5,53.8,66.13333333333334,47.78333333333334,62.3,50.675,53.58611111111111,988.0,A,952.0,A,1.9962035739927242,A,1.677627742959727,A
isaacs,minimatch,45.2,37.3,15.2,41.7,86.8,21.9,40.2,15.8,9.7,66.2,63.6,58.0,99.6,43.5,41.0,74.2,19.8,29.1,47.8,43.6,73.8,34.875,45.25,41.650000000000006,40.59166666666667,776.0,B,787.5,B,0.8528955590762368,B,0.8682988344601048,B
isaacs,node-glob,56.9,36.6,25.9,78.3,86.8,32.8,50.8,22.1,25.4,52.8,77.0,71.2,13.5,49.4,34.6,40.4,29.9,33.4,60.3,44.3,53.29999999999999,37.9,56.900000000000006,38.275,44.35833333333334,851.0,A,799.5,B,1.1843033547638724,B,0.9238410144551766,B
sindresorhus,find-up,41.0,31.5,1.6,57.1,74.0,12.5,33.6,3.2,0.6,45.4,35.6,26.0,97.5,22.6,30.7,38.4,1.6,52.1,24.7,32.4,53.03333333333333,22.608333333333334,41.05,28.674999999999997,30.777777777777775,554.0,C,531.5,C,-0.010573277328199533,C,-0.020376045461049756,C
sindresorhus,escape-string-regexp,33.7,24.4,0.0,34.0,76.3,9.2,27.6,0.0,0.0,47.6,35.7,28.2,98.9,27.5,26.5,43.2,0.0,36.2,24.4,29.2,54.23333333333333,20.458333333333332,33.675,26.725,26.952777777777772,401.0,C,416.5,C,-0.3471134946304665,C,-0.27428315400995096,C
feross,safe-buffer,29.0,10.0,0.0,39.8,66.1,9.7,29.2,0.0,0.0,40.6,27.0,23.9,99.5,12.0,19.1,35.0,0.0,22.4,20.2,24.6,50.166666666666664,19.841666666666665,28.974999999999998,17.35,22.055555555555554,210.0,D,261.0,D,-0.7779925092302455,D,-0.6392746225489963,D
uuidjs,uuid,43.5,41.5,18.8,82.8,30.8,26.8,42.4,21.3,16.7,76.4,85.1,79.4,94.9,46.2,55.4,85.1,28.0,53.0,63.8,50.5,86.56666666666666,41.74166666666666,43.475,53.075,46.09722222222223,879.0,A,901.0,A,1.3372983990857452,B,1.415786037268673,B
ajv-validator,ajv,43.5,42.6,21.6,87.9,22.0,21.1,44.1,16.7,2.5,75.8,83.8,78.8,96.3,44.5,39.1,47.3,15.2,54.9,61.2,44.9,86.40000000000002,37.425000000000004,43.525,40.474999999999994,40.475,774.0,B,811.0,A,0.8426307158469737,B,0.9714485973080957,B
yargs,yargs-parser,25.3,15.8,11.2,39.2,34.9,14.2,32.7,9.9,0.0,51.0,32.9,46.6,94.0,30.7,40.7,50.1,8.7,63.4,31.2,32.8,57.833333333333336,25.108333333333334,25.275,38.225,29.53611111111111,505.0,C,549.0,C,-0.11982053741107015,C,0.011362343107562784,C
acornjs,acorn,20.4,34.6,16.7,7.5,22.5,35.3,50.7,27.9,27.4,72.5,79.6,78.2,96.2,36.0,49.2,42.7,26.8,78.1,64.4,44.3,84.76666666666667,47.69166666666667,20.325,45.9,37.97222222222222,714.0,B,799.5,B,0.6224253884763545,B,0.9238410144551766,B
yargs,yargs,41.8,29.1,28.4,74.5,35.1,31.6,48.7,22.9,23.3,76.8,80.7,81.5,94.5,50.3,49.5,43.0,26.8,78.7,64.6,49.9,85.66666666666667,45.141666666666666,41.775,49.7,45.53888888888889,870.0,A,891.0,A,1.2881737922028431,B,1.3681784544157538,B
jprichardson,node-fs-extra,46.5,45.3,26.5,31.2,83.1,30.7,47.3,21.6,23.2,50.3,78.5,77.7,3.1,41.8,30.6,6.3,20.8,64.5,62.3,39.5,55.16666666666666,36.81666666666666,46.525,33.349999999999994,38.89722222222222,738.0,B,689.0,B,0.703810931222654,B,0.542980351631825,B
isaacs,rimraf,45.9,37.2,24.4,35.7,86.2,26.3,43.0,21.8,14.2,69.8,71.0,63.9,98.5,45.6,35.4,68.4,20.4,17.3,53.7,44.3,77.89999999999999,39.224999999999994,45.875,37.925,41.00833333333333,787.0,B,799.5,B,0.8895557134664617,B,0.9238410144551766,B
estools,estraverse,21.1,17.4,0.0,12.8,54.0,10.4,31.1,0.0,0.0,55.5,44.7,47.0,94.6,35.5,34.3,48.3,0.0,54.5,34.0,30.3,62.1,23.3,21.05,34.575,26.308333333333337,383.0,D,459.0,C,-0.4038145334206805,C,-0.18700258544626602,C
sindresorhus,camelcase,41.0,32.2,16.4,39.4,76.1,22.3,33.4,14.2,19.4,51.0,37.6,39.6,95.6,31.4,36.6,36.6,16.8,56.4,33.2,37.7,57.63333333333333,31.15833333333333,41.025,35.3,35.827777777777776,663.0,B,653.5,B,0.4337477938813291,C,0.40015760307306825,C
sindresorhus,path-exists,37.9,32.2,0.0,43.9,75.5,9.0,26.9,0.0,0.0,37.7,18.0,15.7,97.6,19.6,27.6,40.5,0.0,42.3,14.2,28.1,43.73333333333333,17.65833333333333,37.9,25.6,27.052777777777777,407.0,C,377.0,D,-0.338315057576812,C,-0.36156372257363556,C
isaacs,inherits,30.4,10.9,0.2,23.6,86.8,10.6,27.8,1.6,2.6,52.4,27.8,37.3,99.8,44.8,33.6,80.3,7.9,12.6,25.2,31.8,55.03333333333334,21.758333333333333,30.375,36.4,29.51111111111111,504.0,C,509.5,C,-0.12202014667448384,C,-0.06798362831396856,C
npm,node-which,43.2,20.2,25.8,65.6,61.0,32.2,39.4,30.4,26.9,31.5,25.6,25.3,28.1,47.1,30.8,15.3,32.3,44.9,27.7,34.4,26.400000000000002,30.775,43.15,34.9,36.275,671.0,B,582.5,C,0.47309635959350416,C,0.13831589738201353,C
sindresorhus,resolve-from,33.4,13.3,0.0,44.7,75.4,8.8,26.3,0.0,0.0,37.7,17.4,14.2,96.1,23.1,23.3,44.3,0.0,25.5,13.5,25.8,42.6,17.225,33.35,23.225,24.600000000000005,297.0,D,295.0,D,-0.5541211664206035,D,-0.5440594568431584,D
jonschlinkert,extend-shallow,29.2,9.8,0.0,25.7,81.2,8.7,26.1,0.0,0.0,32.6,11.4,12.2,86.6,20.2,14.9,37.7,0.0,7.0,10.8,21.3,36.86666666666667,15.741666666666667,29.175,16.225,20.380555555555556,169.0,F,174.5,F,-0.9253663298789503,D,-0.9011163282400507,D
json5,json5,34.0,21.3,2.2,82.6,29.8,13.6,34.2,6.5,0.0,68.8,73.0,57.0,95.7,49.7,46.3,83.9,0.0,55.0,47.9,40.7,75.33333333333333,29.008333333333333,33.975,47.150000000000006,36.711111111111116,686.0,B,726.5,B,0.5114673211886069,B,0.6381955173376631,B
isaacs,node-mkdirp,38.0,34.3,0.2,30.3,87.1,10.6,28.8,0.5,2.7,45.1,19.3,24.0,95.3,41.9,33.5,55.1,11.9,33.5,18.0,31.8,46.06666666666666,19.516666666666666,37.974999999999994,35.6,31.030555555555555,557.0,C,509.5,C,0.011667216335203907,C,-0.06798362831396856,C
sindresorhus,execa,50.7,37.9,25.3,66.1,73.5,38.8,40.8,42.0,33.6,63.2,73.1,56.6,93.5,29.6,41.6,37.1,39.0,48.6,56.2,48.6,74.46666666666667,47.71666666666666,50.7,38.575,45.66388888888889,873.0,A,865.5,A,1.2991718385199107,B,1.2650286915677629,B
ljharb,qs,39.1,16.9,17.5,73.8,48.0,24.5,34.4,19.4,19.8,68.2,76.9,75.1,98.4,22.4,44.8,42.4,27.0,65.2,58.8,44.2,83.56666666666666,39.29166666666667,39.05,39.25,39.19722222222222,746.0,B,795.5,B,0.7302062423836165,B,0.9159064173130239,B
nodeca,js-yaml,37.2,33.8,7.9,50.0,57.0,10.8,26.4,5.9,0.0,72.2,72.6,78.4,95.2,42.5,37.4,53.4,10.9,47.9,53.9,39.4,82.2,28.625,37.175,38.675,34.824999999999996,635.0,B,685.0,B,0.34551902231552045,C,0.5350457544896717,B
browserify,resolve,42.1,27.2,21.5,55.1,64.7,18.6,29.3,23.8,2.8,60.3,40.4,58.6,98.3,43.9,38.9,46.5,15.9,54.5,39.2,40.0,65.83333333333333,30.43333333333333,42.125,40.2,37.586111111111116,706.0,B,708.0,B,0.5884536454080798,B,0.5826533373425908,B
websockets,ws,42.9,38.1,27.1,71.0,35.5,31.9,41.5,30.6,23.6,85.5,90.4,91.3,93.0,67.2,49.1,43.2,24.6,79.6,71.2,52.4,91.66666666666667,46.84166666666667,42.925,53.650000000000006,47.805555555555564,908.0,A,928.0,A,1.4876050320856684,B,1.566543382969583,A
nodeca,argparse,37.6,57.5,11.2,24.4,57.2,9.2,23.5,4.0,0.0,50.3,32.8,34.2,95.4,38.8,31.4,47.5,10.8,35.9,25.4,32.1,54.199999999999996,20.424999999999997,37.575,33.25,30.416666666666668,538.0,C,523.0,C,-0.042345411133060964,C,-0.044179836887509025,C
sindresorhus,pify,42.9,32.1,0.0,64.1,75.5,6.2,18.5,0.0,0.0,51.4,53.3,37.2,93.9,21.3,29.1,38.6,0.0,48.8,32.2,32.4,61.4,19.975,42.925,27.175,30.025000000000002,521.0,C,531.5,C,-0.07680595625987251,C,-0.020376045461049756,C
postcss,postcss,39.5,34.8,23.0,48.9,51.5,37.7,44.6,33.9,34.5,83.6,95.0,86.8,94.1,58.5,52.4,48.6,32.5,76.2,73.2,53.3,92.06666666666666,51.266666666666666,39.55,53.95,48.25555555555555,919.0,A,942.5,A,1.5271979988271105,A,1.6379547572489612,A
form-data,form-data,22.9,21.9,0.0,22.4,47.1,11.1,26.0,7.3,0.0,67.9,59.0,61.9,93.4,57.5,36.0,46.7,0.0,61.4,44.0,34.5,71.5,26.2,22.85,41.4,30.149999999999995,528.0,C,586.5,C,-0.0658079099428056,C,0.1462504945241668,C
moxystudio,node-cross-spawn,18.1,11.7,0.0,25.9,34.9,6.2,18.6,0.0,0.0,28.6,47.1,34.8,9.6,22.9,31.5,63.5,0.0,30.9,29.4,21.1,27.46666666666667,11.516666666666667,18.125,29.325000000000003,19.655555555555555,151.0,F,167.5,F,-0.9891549985179421,D,-0.916985522524357,D
sindresorhus,slash,35.7,29.5,0.0,37.6,75.8,6.9,20.6,0.0,0.0,46.6,26.1,29.9,93.7,36.5,28.0,36.1,5.2,42.8,21.0,29.3,49.96666666666667,17.641666666666666,35.724999999999994,30.150000000000002,27.83888888888889,435.0,C,419.5,C,-0.26914956629392056,C,-0.2663485568677977,C
ashtuchkin,iconv-lite,24.4,16.8,2.4,28.9,49.6,11.8,27.6,7.7,0.0,66.1,62.7,61.4,98.6,41.9,31.4,49.0,0.0,45.1,45.3,33.4,74.3,27.4,24.425,34.0,28.608333333333334,473.0,C,560.5,C,-0.20145048118663805,C,0.05896992596048188,C
micromatch,micromatch,30.2,15.6,4.7,62.9,37.8,16.2,33.3,6.6,8.7,59.1,60.8,50.1,96.9,28.8,24.8,36.7,5.5,32.2,42.4,32.6,69.23333333333333,29.458333333333332,30.25,25.8,28.502777777777776,468.0,C,538.5,C,-0.21073772029882862,C,-0.004506851176743205,C
sindresorhus,make-dir,39.5,19.8,11.4,50.8,75.8,20.9,31.9,11.1,19.6,40.7,32.6,22.5,94.2,13.6,34.3,43.1,16.2,43.7,25.3,33.8,49.833333333333336,28.108333333333334,39.45,29.150000000000002,32.236111111111114,582.0,C,571.0,C,0.11773726303758894,C,0.09070831452909442,C
sindresorhus,globby,47.5,36.6,19.2,60.4,73.7,22.7,37.1,11.2,19.7,60.8,60.0,49.3,93.2,40.5,40.7,36.2,18.8,67.0,44.0,42.9,67.5,33.875,47.475,40.625,40.65833333333333,778.0,B,768.5,B,0.8587611837786725,B,0.8127566544650324,B
broofa,mime,38.0,40.5,29.1,49.3,33.0,24.3,34.4,29.6,8.8,67.8,57.9,66.2,98.2,48.8,35.8,53.3,15.0,39.2,49.5,41.5,74.16666666666667,36.741666666666674,37.975,39.075,37.93055555555556,713.0,B,740.0,B,0.6187593730373322,B,0.7016722944748882,B
minimistjs,minimist,19.5,21.9,11.6,42.5,2.1,23.1,36.3,18.2,14.8,37.4,31.1,19.4,98.7,0.2,39.1,40.3,25.4,51.5,24.5,29.8,49.76666666666667,29.766666666666666,19.525,29.349999999999998,26.21388888888889,378.0,D,436.0,C,-0.4121241684157986,C,-0.22667557115703185,C
feross,buffer,39.8,28.7,21.1,43.5,66.0,32.5,41.6,23.6,32.3,57.7,54.6,58.4,89.4,28.4,38.7,36.9,25.6,53.6,48.5,42.2,67.53333333333333,41.258333333333326,39.825,36.125,39.06944444444444,743.0,B,753.5,B,0.7189637950372807,B,0.7572144744699606,B
jprichardson,node-jsonfile,31.6,25.8,0.0,17.3,83.3,7.5,22.6,0.0,0.0,37.2,49.1,61.7,1.7,36.4,20.4,6.6,0.0,54.7,39.4,24.2,37.2,14.950000000000001,31.6,24.425,23.658333333333335,269.0,D,252.0,D,-0.6369731153425126,D,-0.6710130111176091,D
visionmedia,bytes.js,23.2,17.5,0.0,15.4,60.0,6.1,18.4,0.0,0.0,25.0,31.6,28.3,1.8,38.3,22.7,9.5,0.7,58.1,22.0,19.3,20.266666666666666,9.666666666666666,23.225,26.65,19.84722222222222,154.5,F,141.5,F,-0.9722913274984386,D,-1.059808271083114,D
jshttp,http-errors,24.6,16.8,0.0,24.4,57.3,10.0,25.8,4.1,0.0,53.8,52.8,42.8,98.0,21.6,31.2,42.5,5.8,45.4,35.2,29.9,64.56666666666666,23.616666666666664,24.625,28.825000000000003,25.688888888888886,350.0,D,439.5,C,-0.45831596294748245,C,-0.21874097401487885,C
isaacs,node-graceful-fs,41.2,22.0,0.0,56.6,86.2,10.0,25.8,4.2,0.0,38.5,49.9,48.4,12.2,43.4,33.8,48.5,3.2,49.5,36.1,30.8,37.96666666666666,16.991666666666667,41.2,36.15,31.447222222222223,564.0,C,475.0,C,0.04832737072542914,C,-0.1473295997355002,C
webpack,loader-utils,38.9,52.3,14.8,29.7,58.9,20.8,32.0,15.3,14.9,58.0,40.3,49.6,90.9,51.4,51.7,76.1,11.6,67.4,36.9,42.4,60.333333333333336,30.633333333333336,38.925,51.625,40.394444444444446,772.0,B,759.5,B,0.8355430859981968,B,0.7730836687542666,B
caolan,async,41.4,43.9,32.8,8.5,80.4,31.0,29.4,32.6,30.9,83.9,94.7,91.9,93.3,55.6,61.5,83.9,30.0,70.7,72.5,54.5,93.40000000000002,46.57500000000001,41.4,60.050000000000004,49.34166666666667,940.0,A,962.5,A,1.6227588012709644,A,1.7331699229547994,A
thlorenz,convert-source-map,43.2,22.4,10.6,62.3,77.6,5.9,11.6,4.4,1.7,44.1,19.0,29.8,94.4,33.4,30.8,39.8,1.9,50.6,18.2,31.0,47.86666666666667,16.391666666666666,43.224999999999994,31.425000000000004,30.347222222222218,536.0,C,481.5,C,-0.04845543686476564,C,-0.13146040545119395,C
cosmiconfig,cosmiconfig,43.9,39.7,24.2,79.5,32.2,31.9,39.7,31.2,24.9,56.5,66.6,46.0,92.0,21.4,52.3,61.3,26.6,69.0,48.2,46.2,68.33333333333333,41.03333333333334,43.900000000000006,44.575,43.169444444444444,827.0,A,829.5,A,1.079699714237096,B,1.0745983601560871,B
dougwilson,nodejs-depd,28.9,16.6,0.0,36.2,62.9,6.1,18.4,0.0,0.0,49.4,26.0,37.7,98.1,35.8,15.9,46.6,0.0,1.0,23.3,25.1,53.96666666666667,18.09166666666667,28.925,20.85,22.622222222222224,228.0,D,274.5,D,-0.728134699259539,D,-0.5996016368382304,D
facebook,regenerator,41.4,28.1,33.9,57.1,46.7,32.3,33.3,34.5,29.2,57.6,66.9,82.9,33.3,47.4,42.6,35.4,29.2,63.0,60.7,43.5,61.13333333333333,39.53333333333333,41.45,43.75,41.577777777777776,799.0,B,784.0,B,0.9396579244664359,B,0.8603642373179515,B
sindresorhus,strip-json-comments,41.9,29.2,4.9,56.8,76.5,14.1,23.1,4.2,15.0,48.6,36.1,27.6,93.8,36.8,31.9,37.4,10.2,48.2,25.9,34.1,52.56666666666666,23.71666666666667,41.85,33.15,32.90555555555556,596.5,C,576.0,C,0.1766379110912173,C,0.11451210595555425,C
jonschlinkert,isobject,32.2,10.4,0.0,37.2,81.3,3.6,10.8,0.0,0.0,36.0,15.2,14.3,90.1,24.5,29.0,44.9,0.0,42.2,11.0,25.2,39.9,12.675,32.225,27.9,24.26666666666667,288.0,D,279.0,D,-0.5834492899327838,D,-0.5916670396960775,D
jshttp,mime-types,32.7,30.8,3.6,39.3,57.0,9.1,17.5,9.7,0.0,59.5,50.0,43.5,99.2,45.4,31.1,39.4,8.8,45.0,34.2,33.1,64.26666666666667,22.866666666666667,32.675,34.65,30.063888888888886,523.0,C,555.0,C,-0.07338434185011856,C,0.03516613453402261,C
node-fetch,node-fetch,36.6,26.7,17.2,92.7,9.6,14.7,24.9,17.6,1.8,70.9,77.6,81.6,82.1,42.2,41.9,38.5,9.4,77.7,58.0,41.0,80.53333333333335,31.20833333333334,36.55,41.95,36.56944444444445,682.0,B,732.0,B,0.4990028686959305,C,0.6619993087641224,B
pillarjs,path-to-regexp,31.8,31.3,2.9,40.2,52.8,6.5,11.9,5.8,1.9,71.7,76.3,66.5,95.5,48.5,46.2,73.2,4.8,60.7,49.8,39.1,79.53333333333333,24.783333333333335,31.8,46.800000000000004,34.461111111111116,628.0,B,679.0,B,0.31350248748139126,C,0.5112419630632125,B
jshttp,cookie,42.2,44.4,24.2,42.8,57.5,17.0,16.5,19.0,15.5,61.3,49.8,48.9,96.0,50.5,37.1,38.9,17.6,54.6,38.6,39.4,64.93333333333332,28.98333333333333,42.224999999999994,40.4,37.202777777777776,696.0,B,685.0,B,0.554726303369072,B,0.5350457544896717,B
evanw,node-source-map-support,22.3,4.0,0.0,21.3,63.9,5.0,11.4,3.7,0.0,39.5,58.4,59.6,1.9,38.0,36.8,46.5,0.0,64.0,41.0,25.9,42.5,14.4,22.3,37.125,24.608333333333334,298.0,D,300.0,D,-0.5533879633327993,D,-0.5361248597010054,D
paulmillr,chokidar,29.3,31.7,8.6,40.8,36.3,18.5,28.5,11.2,15.6,75.0,80.0,71.7,97.8,50.3,48.0,54.2,18.1,71.6,56.7,42.7,83.26666666666667,34.641666666666666,29.349999999999998,48.55,37.513888888888886,702.0,B,763.5,B,0.5820992186471067,B,0.7968874601807264,B
tooTallNate,proxy-agents,34.3,37.6,18.5,2.7,78.4,38.2,47.8,31.7,35.0,38.4,41.1,56.1,2.7,53.6,35.6,26.3,35.0,45.6,45.1,36.6,35.56666666666667,37.516666666666666,34.300000000000004,40.125,37.31388888888889,698.0,B,625.5,B,0.564502344539799,B,0.3128770345093833,C
isaacs,once,27.7,8.3,1.1,14.6,87.0,12.3,24.8,2.3,9.8,44.3,21.6,19.2,99.3,37.0,35.8,80.2,6.6,20.5,17.7,30.0,46.63333333333333,20.883333333333333,27.75,36.075,28.236111111111114,451.0,C,444.5,C,-0.2342002191085723,C,-0.21080637687272558,C
browserslist,browserslist,25.5,28.7,19.5,38.9,15.0,36.2,47.1,27.4,34.1,67.9,83.0,74.2,94.7,19.8,49.6,49.7,29.1,70.2,64.5,44.8,84.06666666666666,48.166666666666664,25.525,42.2,38.63055555555555,733.0,B,810.0,A,0.6803484324129101,B,0.9635140001659425,B
mrmlnc,fast-glob,48.2,47.8,19.1,82.4,43.5,30.6,39.4,34.6,17.8,54.7,59.3,41.1,91.9,26.5,29.7,40.1,28.3,20.8,43.7,40.8,64.06666666666666,38.96666666666667,48.199999999999996,28.925,38.697222222222216,734.0,B,729.5,B,0.6862140571153458,B,0.6461301144798158,B
sindresorhus,path-is-absolute,43.4,32.1,0.0,67.5,74.0,7.2,21.5,0.0,0.0,35.2,11.8,11.8,99.0,18.4,16.0,43.8,0.0,4.3,10.3,25.5,40.96666666666666,15.616666666666665,43.4,16.625,25.21388888888889,334.0,D,289.5,D,-0.5001085389523389,D,-0.567863248269618,D
sindresorhus,ansi-escapes,41.6,6.3,1.8,84.2,74.1,9.0,21.9,4.0,1.1,44.1,32.1,27.4,91.6,25.4,29.5,41.3,7.2,40.0,22.8,31.1,50.4,19.349999999999998,41.599999999999994,28.475,29.808333333333326,514.0,C,487.0,C,-0.09586923654279036,C,-0.12352580830904066,C
jquery,esprima,29.3,13.5,0.0,42.3,61.3,6.8,20.5,0.0,0.0,71.7,74.2,77.4,93.6,41.6,50.4,81.6,18.2,51.4,52.8,39.6,81.83333333333333,25.583333333333332,29.275,48.199999999999996,34.35277777777778,626.0,B,694.5,B,0.3039708473399326,C,0.5509149487739783,B
npm,ini,42.6,15.7,25.1,67.8,61.6,26.9,25.9,30.4,24.5,59.9,39.6,57.8,92.8,49.4,42.0,38.7,31.9,55.4,41.4,42.8,63.46666666666667,36.06666666666667,42.55,43.85,40.82222222222222,783.0,B,765.5,B,0.8731808445054946,B,0.8048220573228791,B
salesforce,tough-cookie,46.0,31.7,30.4,76.3,45.4,35.2,39.5,38.1,27.9,58.3,43.7,50.5,91.5,47.6,52.6,51.7,30.4,75.8,43.1,48.0,61.93333333333334,41.858333333333334,45.95,51.375,46.394444444444446,884.0,A,852.0,A,1.3634493092174387,B,1.2174211087148439,B
jonschlinkert,is-plain-object,35.1,11.9,0.0,47.1,81.2,5.9,17.8,0.0,0.0,38.1,18.1,18.4,89.2,26.9,26.2,45.4,0.0,33.1,14.1,26.3,42.0,14.95,35.05,26.35,25.45,340.0,D,313.0,D,-0.4793344514645447,C,-0.5043864711323925,D
alexei,sprintf.js,27.1,7.1,6.9,59.4,35.0,19.0,23.7,17.2,16.0,39.0,58.0,62.4,2.8,33.0,36.3,46.4,8.0,54.4,46.5,30.3,40.5,24.35,27.1,35.45,28.96666666666667,484.0,C,459.0,C,-0.16992274841104435,C,-0.18700258544626602,C
mafintosh,pump,24.6,8.9,0.0,19.7,69.8,5.9,17.8,0.0,0.0,48.5,44.5,30.7,88.7,30.0,20.0,33.4,0.0,26.5,27.0,24.7,54.633333333333326,18.10833333333333,24.6,22.475,21.727777777777778,201.0,D,263.5,D,-0.8068318306838891,D,-0.6313400254068433,D
stream-utils,raw-body,33.6,26.3,10.0,43.8,54.5,7.2,17.8,3.8,0.0,46.3,28.3,31.6,95.9,29.2,30.6,41.0,10.5,40.2,22.4,29.4,52.03333333333333,18.40833333333333,33.65,30.225,27.427777777777777,417.0,C,423.5,C,-0.3053209186256094,C,-0.2584139597256447,C
sindresorhus,is-wsl,30.7,33.9,7.0,7.1,74.8,16.6,23.8,9.8,16.1,34.0,19.7,10.8,92.6,13.1,29.5,38.7,12.5,37.4,15.7,27.7,41.03333333333333,22.68333333333333,30.7,25.424999999999997,26.269444444444442,380.0,D,362.0,D,-0.4072361478304354,C,-0.3933021111422484,C
yahoo,serialize-javascript,31.2,5.7,29.0,35.8,54.1,25.4,27.8,20.5,27.8,61.8,61.6,58.5,90.7,36.3,49.3,69.2,20.9,57.6,48.5,41.9,70.33333333333333,36.608333333333334,31.15,46.0,37.919444444444444,712.0,B,748.0,B,0.6177817689202594,B,0.7334106830435008,B
sindresorhus,read-pkg,32.9,33.4,3.0,19.1,76.3,8.8,19.0,6.1,1.2,36.3,18.9,16.6,85.5,24.3,29.3,35.9,8.5,43.5,14.8,26.8,40.3,16.650000000000002,32.95,28.05,25.883333333333336,360.0,D,334.0,D,-0.4412078908987102,C,-0.46471348542162677,C
indutny,bn.js,33.5,12.4,10.4,37.8,73.3,4.8,12.4,0.8,1.3,54.4,48.6,55.2,82.8,31.1,32.5,32.8,2.2,62.6,36.2,31.3,62.23333333333334,19.183333333333334,33.474999999999994,32.175000000000004,28.277777777777782,452.0,C,495.5,C,-0.2305342036695497,C,-0.10765661402473439,C
inikulin,parse5,35.4,43.1,32.0,23.6,42.9,31.1,27.0,41.6,24.6,66.5,65.6,57.2,89.3,53.7,51.6,70.5,34.1,50.1,51.3,46.1,70.83333333333333,41.00833333333333,35.4,52.099999999999994,42.83611111111111,823.0,A,827.5,A,1.0503715907249158,B,1.066663763013934,B
zloirock,core-js,41.4,35.0,29.7,78.3,22.7,35.2,35.4,39.0,31.2,82.7,92.4,87.2,91.3,60.0,53.5,79.0,38.2,43.3,71.6,53.2,90.40000000000002,49.00000000000001,41.425,55.125,48.51666666666667,923.0,A,940.0,A,1.5501716955783191,A,1.6300201601068085,A
