owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,usage_popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,trustee_avg,popularity_component,community_activity_and_integrity_component,maintenance_and_goodwill_component,code_quality_component,component_avg,component_rank,component_rank_grade,trustee_rank,trustee_rank_grade,component_zscore,component_z_grade,trustee_zscore,trustee_z_grade
uuidjs,uuid,43.0,40.1,18.8,82.8,30.4,27.1,43.2,21.1,17.1,76.4,85.1,79.4,94.9,46.2,55.5,85.1,28.2,53.0,63.9,50.5,86.46666666666665,41.96666666666666,43.025000000000006,53.125,46.03888888888889,871.0,A,900.5,A,1.3124115809827799,B,1.416086977256315,B
ajv-validator,ajv,43.4,42.3,21.6,88.0,22.0,21.1,44.6,16.4,2.4,75.8,83.8,78.8,96.3,44.5,39.1,47.4,15.1,54.9,61.2,44.9,86.3,37.425,43.475,40.474999999999994,40.458333333333336,772.0,B,814.0,A,0.8296076294268986,B,0.9722148047338072,B
yargs,yargs-parser,25.2,15.4,11.2,39.2,34.9,14.2,32.3,10.4,0.0,51.1,33.0,46.6,94.0,30.7,40.8,50.1,8.7,63.5,31.3,32.8,57.86666666666667,25.141666666666666,25.174999999999997,38.25,29.522222222222222,505.0,C,548.0,C,-0.11653431048126732,C,0.013133860533388721,C
acornjs,acorn,20.0,33.5,16.6,7.5,22.5,35.2,50.7,27.9,27.1,72.5,79.6,78.2,96.2,36.0,49.2,42.8,26.6,78.0,64.3,44.2,84.66666666666667,47.59166666666666,20.025,45.85,37.82222222222222,708.0,B,800.0,A,0.6015434432514224,B,0.916730783168494,B
yargs,yargs,41.9,29.1,28.3,75.3,35.0,32.1,49.1,22.9,24.2,76.8,80.7,81.5,94.5,50.3,49.6,43.0,27.2,78.6,64.8,50.1,85.56666666666666,45.44166666666666,41.925000000000004,49.77499999999999,45.71388888888888,867.0,A,893.0,A,1.2842940785775834,B,1.384381822076136,B
jprichardson,node-fs-extra,46.2,44.1,26.4,31.2,83.2,31.1,47.6,21.7,24.1,50.4,78.5,77.7,3.6,41.8,30.7,6.5,21.2,64.5,62.4,39.6,53.26666666666666,36.666666666666664,46.224999999999994,33.5,38.79722222222222,736.0,B,693.5,B,0.6858959504670089,B,0.5521214985964341,B
isaacs,rimraf,45.5,36.0,24.4,35.0,86.4,26.5,43.2,22.3,14.1,69.8,71.0,63.9,98.5,45.6,35.4,68.4,20.4,17.4,53.8,44.3,77.8,39.35,45.45,37.95,40.91666666666667,784.0,B,803.0,A,0.8692605174342259,B,0.9246570719635384,B
estools,estraverse,21.1,17.4,0.0,12.8,54.1,10.1,30.4,0.0,0.0,55.5,44.8,47.1,94.6,35.5,34.2,48.3,0.0,54.4,34.0,30.2,62.166666666666664,23.141666666666666,21.075,34.55,26.255555555555556,379.0,D,452.5,C,-0.39915125773349047,C,-0.19294964813777538,C
sindresorhus,camelcase,40.0,29.5,16.2,39.4,74.7,21.2,32.5,13.9,17.2,51.1,37.7,39.8,95.6,31.4,35.9,36.6,15.6,55.5,32.9,37.0,57.699999999999996,30.325,39.95,34.775,35.01666666666667,641.0,B,635.5,B,0.3588197045399046,C,0.3460379899252697,C
sindresorhus,path-exists,36.5,29.5,0.0,41.8,74.5,8.9,26.8,0.0,0.0,37.8,18.1,16.0,97.6,19.6,27.5,40.5,0.0,41.9,14.3,27.7,43.9,17.675,36.45,25.5,26.541666666666668,390.0,D,362.0,D,-0.3743982427955831,C,-0.3911068680138949,C
isaacs,inherits,30.4,10.6,0.2,23.6,87.1,10.5,27.6,1.6,2.5,52.5,27.9,37.5,99.8,44.8,33.7,80.3,7.8,12.8,25.3,31.8,55.06666666666666,21.691666666666666,30.375,36.425,29.49722222222222,504.0,C,509.5,C,-0.11869719528166717,C,-0.0661290274170588,C
npm,node-which,43.1,20.0,25.8,65.6,61.1,31.5,37.3,30.4,26.9,31.6,25.8,25.4,28.1,47.1,30.7,15.3,32.3,44.4,27.6,34.2,26.433333333333337,30.258333333333333,43.125,34.775,36.05277777777778,664.0,B,578.0,C,0.4484592634898013,C,0.12410190366401608,C
sindresorhus,resolve-from,33.5,13.3,0.0,45.7,74.9,8.4,25.3,0.0,0.0,37.8,17.5,14.3,96.1,23.1,23.5,44.3,0.0,26.2,13.4,25.8,42.63333333333333,16.983333333333334,33.475,23.4,24.619444444444444,297.0,D,291.5,D,-0.54070005189298,D,-0.5417063551197455,D
jonschlinkert,extend-shallow,28.7,9.5,0.0,24.0,81.1,8.2,24.6,0.0,0.0,32.7,11.5,12.4,86.6,20.2,15.2,37.7,0.0,7.8,10.7,21.2,36.833333333333336,15.358333333333334,28.65,16.425,20.144444444444446,162.0,F,171.0,F,-0.9278564311645202,D,-0.9063156396918055,D
json5,json5,34.0,21.5,2.2,82.6,29.9,13.2,33.1,6.5,0.0,68.9,73.0,57.2,95.7,49.7,46.3,83.9,0.0,55.0,47.8,40.6,75.3,28.725,34.05,47.150000000000006,36.64166666666667,680.0,B,725.0,B,0.499407216565883,C,0.6313843865468819,B
isaacs,node-mkdirp,37.9,34.5,0.2,30.2,86.7,10.0,26.9,0.5,2.6,45.1,19.4,23.8,95.3,41.9,33.3,54.8,11.9,33.2,17.7,31.6,46.166666666666664,19.041666666666664,37.900000000000006,35.45,30.797222222222228,554.0,C,503.0,C,-0.006227185660883783,C,-0.0819816050071483,C
sindresorhus,execa,50.7,36.7,25.2,66.1,75.0,38.6,40.6,42.0,33.1,63.2,73.1,56.7,93.5,29.6,41.4,37.1,38.8,48.4,56.1,48.5,74.43333333333334,47.53333333333333,50.75,38.475,45.58611111111111,862.0,A,864.0,A,1.2732393340422077,B,1.2575612013554194,B
ljharb,qs,39.2,17.1,17.4,73.8,48.5,23.7,33.6,19.5,18.1,68.2,76.9,75.1,98.4,22.4,44.6,42.5,26.1,65.2,58.6,43.9,83.46666666666667,38.666666666666664,39.2,39.050000000000004,38.97222222222223,739.0,B,794.0,B,0.7010361440698075,B,0.8929519167833594,B
nodeca,js-yaml,37.1,33.7,7.9,50.0,57.0,10.9,26.8,5.9,0.0,72.2,72.6,78.4,95.2,42.5,36.9,53.4,10.9,46.4,54.0,39.3,82.06666666666666,28.691666666666666,37.150000000000006,38.3,34.71388888888889,634.0,B,683.5,B,0.3326247664017303,C,0.5283426322112994,B
browserify,resolve,42.3,27.9,21.7,55.1,64.6,18.9,29.8,24.1,2.7,60.3,40.5,58.6,98.3,43.9,38.9,46.5,15.8,54.4,39.3,40.1,65.8,30.6,42.325,40.15,37.69166666666667,705.0,B,713.0,B,0.5902483781826687,B,0.591752942571658,B
websockets,ws,43.0,38.3,27.1,71.0,35.8,33.1,43.8,30.2,25.4,85.5,90.4,91.3,93.0,67.2,49.4,43.3,25.5,79.5,71.6,52.8,91.56666666666666,47.74166666666667,43.05,53.875,48.22222222222222,913.0,A,934.0,A,1.5013035202176839,A,1.5983916195423447,A
nodeca,argparse,37.6,57.7,11.2,24.4,57.1,9.2,23.7,4.0,0.0,50.4,32.9,34.4,95.4,38.8,31.5,47.5,10.8,36.0,25.5,32.2,54.23333333333333,20.48333333333333,37.6,33.275,30.452777777777772,540.0,C,526.5,C,-0.03602693179972462,C,-0.0344238722368795,C
sindresorhus,pify,42.6,29.5,0.0,66.1,74.8,6.1,18.2,0.0,0.0,51.4,53.4,37.1,93.9,21.3,29.2,38.6,0.0,48.9,32.2,32.3,61.46666666666667,19.916666666666668,42.599999999999994,27.2,29.905555555555555,515.0,C,530.0,C,-0.08337007687513913,C,-0.026497583441835178,C
postcss,postcss,39.5,34.8,22.9,48.9,51.6,37.7,44.4,33.9,34.8,83.6,95.0,86.8,94.1,58.5,52.5,48.6,32.6,76.2,73.2,53.3,91.96666666666665,51.266666666666666,39.55,53.975,48.263888888888886,915.0,A,943.0,A,1.5049083282183497,A,1.6380230635175685,A
form-data,form-data,22.7,21.9,0.0,22.3,46.5,12.2,29.4,7.3,0.0,68.0,59.1,61.9,93.4,57.5,36.0,46.7,0.0,61.3,44.4,34.7,71.46666666666667,27.041666666666664,22.675,41.375,30.36388888888889,536.0,C,587.5,C,-0.04371718886781168,C,0.16373334763924,C
moxystudio,node-cross-spawn,18.2,11.9,0.0,25.9,34.9,7.2,21.6,0.0,0.0,27.7,47.2,34.8,5.8,22.9,31.1,62.2,0.0,30.9,29.7,21.0,29.266666666666666,12.716666666666667,18.174999999999997,29.0,19.96388888888889,156.0,F,167.5,F,-0.9434772658340735,D,-0.922168217281895,D
sindresorhus,slash,35.2,29.6,0.0,37.6,73.5,6.7,20.2,0.0,0.0,46.7,26.2,30.4,93.7,36.5,28.2,36.2,5.2,43.1,21.1,29.2,50.1,17.575,35.175,30.250000000000004,27.666666666666668,428.0,C,416.0,C,-0.2770684267775981,C,-0.27221253608822316,C
ashtuchkin,iconv-lite,24.0,17.1,0.7,28.9,49.5,12.9,31.3,7.3,0.0,66.2,62.8,61.4,98.6,41.9,31.4,49.0,0.0,45.2,45.7,33.6,74.26666666666667,28.216666666666665,24.05,34.025,28.763888888888886,478.0,C,569.0,C,-0.18214181609339083,C,0.0765441708937473,C
micromatch,micromatch,30.2,15.5,4.7,62.9,37.8,13.3,30.5,6.6,2.8,59.1,60.9,50.0,96.9,28.8,24.1,36.7,2.5,32.9,41.4,31.7,69.26666666666667,27.291666666666664,30.225,25.224999999999998,27.580555555555552,422.0,C,505.5,C,-0.28451836331230845,C,-0.07405531621210368,C
sindresorhus,make-dir,39.2,20.3,11.3,49.1,75.9,20.3,32.4,10.7,17.9,40.8,32.7,22.7,94.2,13.6,34.0,43.2,15.4,43.5,25.2,33.6,49.866666666666674,27.71666666666667,39.150000000000006,28.925,31.930555555555557,574.0,C,569.0,C,0.09182359195723412,C,0.0765441708937473,C
sindresorhus,globby,47.5,36.6,17.2,60.2,76.1,22.1,37.0,11.2,18.0,60.8,60.0,49.3,93.2,40.5,40.3,36.3,17.9,66.8,43.8,42.7,67.5,33.425,47.525000000000006,40.375,40.44166666666667,770.0,B,763.5,B,0.8281657062266322,B,0.7978364512428223,B
broofa,mime,38.0,40.7,29.0,49.2,33.1,24.5,35.5,29.2,8.7,67.8,58.0,66.2,98.2,48.8,35.7,53.3,14.9,38.8,49.6,41.5,74.13333333333334,36.88333333333333,38.0,38.95,37.94444444444444,716.0,B,742.5,B,0.6121175467200427,B,0.7027209857022848,B
minimistjs,minimist,19.0,21.3,9.6,42.5,2.7,23.4,37.3,18.2,14.7,37.4,31.2,19.4,98.7,0.2,39.1,40.3,25.4,51.5,24.7,29.7,49.76666666666667,29.991666666666667,19.025,29.349999999999998,26.12222222222222,374.0,D,437.0,C,-0.41068664333562227,C,-0.23258109211299927,C
feross,buffer,39.9,28.8,21.0,43.5,66.2,31.7,39.4,23.6,32.0,57.8,54.7,58.5,89.4,28.4,38.7,36.9,25.4,53.8,48.3,42.0,67.53333333333335,40.63333333333334,39.875,36.125,38.87777777777778,738.0,B,750.0,B,0.692865245934964,B,0.7423524296775087,B
jprichardson,node-jsonfile,31.7,26.3,0.0,17.3,83.2,6.7,20.2,0.0,0.0,38.3,49.2,61.7,5.9,36.4,20.9,8.0,0.0,54.6,39.2,24.4,38.93333333333334,14.783333333333335,31.700000000000003,24.75,23.744444444444444,270.0,D,255.5,D,-0.6164010199069683,D,-0.6526743982503727,D
visionmedia,bytes.js,23.2,17.6,0.0,15.4,60.0,7.1,21.4,0.0,0.0,26.1,31.7,28.4,6.0,38.3,23.1,11.0,0.7,57.5,22.4,19.9,22.03333333333333,10.858333333333333,23.25,26.875,20.32777777777778,169.5,F,150.5,F,-0.9119952759615894,D,-1.0093573940273877,D
jshttp,http-errors,25.0,16.7,0.0,25.8,57.4,9.6,24.8,4.1,0.0,53.9,52.9,43.0,98.0,21.6,31.0,42.5,5.8,44.6,35.2,29.9,64.63333333333334,23.383333333333333,24.975,28.625,25.66111111111111,348.0,D,442.5,C,-0.45057985187632704,C,-0.21672851452290978,C
isaacs,node-graceful-fs,41.3,21.9,0.0,56.6,86.6,10.3,26.7,4.2,0.0,38.3,50.0,48.5,11.3,43.4,33.6,48.2,3.2,49.2,36.3,30.9,36.6,16.875,41.275,36.0,31.383333333333336,564.0,C,478.0,C,0.04448044688181931,C,-0.13746562657246197,C
webpack,loader-utils,39.4,52.4,17.1,29.7,58.6,20.6,33.0,14.1,14.8,58.1,40.4,49.8,90.9,51.4,51.7,76.1,11.6,67.5,36.9,42.5,60.36666666666667,30.566666666666666,39.449999999999996,51.65,40.55555555555555,775.0,B,758.5,B,0.8380188480951188,B,0.7819838736527326,B
