owner,repo,stars_and_watchers,forks,downstream_dependents,length_of_comments,change_of_pulls,change_of_contributors,time_to_close_issues,time_to_comment_issues,closed_PRs,time_to_close_PRs,time_to_comment_PRs,commit_tags,health_percentage,headings_of_docs,headings_of_README,projects_owned_by_maintainer,projects_age_owned_by_maintainer,outdated_versions,vulnerabilities,workflow_runs,contributors_per_code_file,files_with_more_than_1_contributors,time_since_created,versions,issues_reporters_count,contributors_count,submitted_PRs,submitted_commits,issues_closed_rate,PRs_closed_rate,comments_per_pull
Stuk,jszip,214,159,330,172,902,N/A,268,401,N/A,N/A,N/A,917,629,689,976,324,177,516,855,999,377,222,7,N/A,200,N/A,431,N/A,404,N/A,238
sinonjs,sinon,213,235,444,168,71,N/A,161,394,125,295,236,76,208,11,557,817,483,638,715,163,760,83,44,341,191,90,138,115,198,30,237
webpack-contrib,source-map-loader,719,628,202,167,898,149,367,257,212,264,45,86,316,688,566,422,321,823,323,252,538,387,530,337,534,205,233,263,32,29,236
arcanis,pnp-webpack-plugin,766,852,233,166,618,N/A,N/A,N/A,N/A,N/A,N/A,544,915,703,818,162,861,762,877,723,776,919,952,N/A,N/A,N/A,N/A,N/A,N/A,N/A,251
pngjs,pngjs,625,606,375,169,613,N/A,N/A,N/A,202,260,262,427,810,702,83,979,292,600,878,243,732,434,701,N/A,395,N/A,191,N/A,479,345,250
jshttp,basic-auth,615,627,277,171,612,N/A,N/A,N/A,N/A,N/A,N/A,203,809,701,565,732,110,387,314,722,478,782,435,460,N/A,N/A,N/A,N/A,N/A,N/A,255
Raynos,global,772,826,334,170,611,N/A,N/A,N/A,N/A,N/A,N/A,901,613,700,781,76,128,92,315,721,808,886,509,N/A,N/A,N/A,N/A,N/A,N/A,N/A,248
JedWatson,react-select,58,47,480,176,610,125,326,409,203,248,46,295,251,258,449,385,354,977,316,365,362,121,564,203,58,118,163,245,419,401,247
FezVrasta,popper.js,51,134,282,177,18,124,265,173,54,133,47,131,204,698,297,173,739,936,593,78,842,184,794,23,44,65,57,45,42,23,246
styled-components,polished,245,441,504,179,608,N/A,425,262,278,447,408,349,79,47,228,683,728,837,740,192,662,167,837,137,533,423,314,413,41,22,245
pvorb,node-md5,558,464,798,178,607,N/A,N/A,N/A,N/A,N/A,N/A,971,626,697,481,346,57,537,751,720,617,722,168,619,N/A,N/A,N/A,N/A,N/A,N/A,244
senchalabs,connect,209,180,223,180,606,N/A,N/A,N/A,N/A,N/A,N/A,289,485,696,201,780,9,295,306,735,813,818,35,N/A,532,N/A,N/A,N/A,486,N/A,201
styled-components,styled-components,34,80,303,181,986,210,354,371,112,222,314,499,326,23,373,684,729,827,697,106,731,235,824,68,47,52,114,102,275,292,200
jfromaniello,url-join,725,764,361,182,668,N/A,139,N/A,199,112,190,748,624,711,558,174,331,379,308,331,363,743,316,618,540,234,227,243,35,21,259
apollographql,graphql-tag,407,474,392,183,181,N/A,N/A,134,266,286,310,253,205,127,631,242,965,563,679,249,613,498,813,520,394,216,242,302,485,381,260
brix,crypto-js,139,83,427,185,666,N/A,159,358,N/A,N/A,416,883,486,202,178,858,208,167,310,705,408,576,343,N/A,161,404,475,319,309,N/A,267
arcanis,ts-pnp,865,887,241,184,665,N/A,N/A,N/A,N/A,N/A,N/A,653,913,710,846,160,860,232,311,704,895,929,957,N/A,N/A,N/A,N/A,N/A,N/A,N/A,268
gregberge,svgr,202,320,194,187,664,123,239,298,244,323,48,225,115,24,667,310,534,961,312,265,618,194,893,164,102,112,211,248,434,393,253
kentcdodds,cross-env,268,397,290,188,663,N/A,N/A,N/A,N/A,N/A,N/A,405,252,223,331,73,762,243,313,655,21,675,723,224,N/A,N/A,N/A,N/A,N/A,N/A,252
postcss,postcss-safe-parser,838,877,250,186,662,N/A,N/A,N/A,352,47,49,652,812,709,856,562,392,474,285,412,864,869,704,N/A,N/A,320,430,336,N/A,114,257
octokit,rest.js,664,704,890,190,49,76,104,205,92,97,396,164,76,61,747,502,902,880,755,73,447,298,992,31,157,115,97,117,254,124,256
