owner,repo,stars_and_watchers,forks,downstream_dependents,length_of_comments,change_of_pulls,change_of_contributors,time_to_close_issues,time_to_comment_issues,closed_PRs,time_to_close_PRs,time_to_comment_PRs,commit_tags,health_percentage,headings_of_docs,headings_of_README,projects_owned_by_maintainer,projects_age_owned_by_maintainer,outdated_versions,vulnerabilities,workflow_runs,contributors_per_code_file,files_with_more_than_1_contributors,time_since_created,versions,issues_reporters_count,contributors_count,submitted_PRs,submitted_commits,issues_closed_rate,PRs_closed_rate,comments_per_pull
liady,webpack-node-externals,492,678,425,687,168,N/A,N/A,465,411,31,N/A,613,556,592,487,386,867,575,777,644,611,822,769,524,516,N/A,467,N/A,527,146,280
taylorhakes,promise-polyfill,414,360,398,686,167,N/A,N/A,97,340,155,N/A,649,559,607,401,440,399,622,742,384,292,550,486,272,515,334,287,372,515,406,279
angular,angular,10,10,263,829,2,1,288,209,5,300,268,5,59,21,152,218,467,790,882,3,821,101,572,25,2,4,4,41,152,145,389
steveukx,git-js,355,364,933,827,932,162,314,319,177,284,61,169,562,606,7,622,244,187,674,103,862,252,394,161,185,213,193,188,150,144,388
rollup,rollup-pluginutils,879,859,320,828,559,N/A,N/A,N/A,N/A,N/A,N/A,648,950,605,385,610,631,708,859,643,303,481,734,N/A,N/A,N/A,N/A,N/A,N/A,N/A,387
react-component,util,636,484,469,817,100,66,448,116,136,313,62,647,847,604,214,350,637,397,404,135,580,313,630,78,310,156,134,191,426,309,386
medikoo,cli-color,621,763,482,824,556,N/A,N/A,N/A,N/A,N/A,N/A,929,574,603,563,176,493,223,405,470,780,537,129,491,N/A,N/A,N/A,N/A,N/A,N/A,363
d3,d3-selection,649,373,559,823,555,N/A,46,50,409,41,N/A,406,846,602,917,570,340,506,681,431,759,306,660,236,421,379,325,418,5,437,385
mysticatea,npm-run-all,285,418,382,822,554,N/A,N/A,29,N/A,N/A,N/A,344,536,601,351,330,666,486,407,641,758,457,646,209,514,N/A,N/A,N/A,514,N/A,376
kangax,html-minifier,309,282,242,821,553,N/A,99,184,N/A,N/A,N/A,510,543,600,312,441,29,521,735,292,301,468,22,206,265,N/A,491,N/A,444,N/A,375
istanbuljs,nyc,288,349,502,820,552,102,68,443,N/A,N/A,N/A,170,529,615,71,800,684,376,408,634,707,350,659,N/A,169,N/A,368,N/A,445,N/A,374
alexgorbatchev,crc,731,661,416,819,551,N/A,67,81,N/A,N/A,N/A,963,548,614,584,180,330,663,409,633,865,353,75,447,513,N/A,N/A,N/A,9,N/A,373
segmentio,is-url,812,759,393,818,550,N/A,N/A,N/A,N/A,N/A,N/A,866,845,613,786,116,680,19,410,632,537,785,391,N/A,N/A,378,N/A,419,N/A,N/A,372
expressjs,cookie-parser,433,430,324,825,116,N/A,17,30,408,32,63,223,508,612,437,628,190,289,397,432,341,784,483,383,420,N/A,367,N/A,290,423,371
kevva,decompress,704,726,404,826,547,N/A,N/A,455,N/A,N/A,N/A,793,550,611,659,197,402,135,398,647,761,783,408,614,430,N/A,N/A,N/A,511,N/A,342
nodemailer,nodemailer,135,151,391,830,546,95,310,331,185,207,261,434,187,150,888,613,558,667,581,128,622,368,84,458,85,130,208,200,94,143,370
stylus,stylus,188,177,302,832,166,94,355,294,155,273,64,148,55,610,471,896,682,20,400,230,495,175,77,414,221,211,167,221,347,137,369
codemirror,basic-setup,874,839,710,831,544,N/A,N/A,N/A,N/A,N/A,N/A,554,851,609,932,561,962,21,401,495,941,N/A,991,N/A,N/A,N/A,N/A,N/A,N/A,N/A,368
hapijs,hoek,668,481,283,833,543,N/A,N/A,N/A,299,382,356,282,186,608,887,461,362,186,402,383,275,431,277,553,N/A,252,324,342,N/A,308,367
gulpjs,fancy-log,841,848,326,834,904,N/A,N/A,N/A,407,316,N/A,553,347,559,417,484,372,345,403,466,551,738,718,461,N/A,377,490,405,N/A,136,366
vuejs,vue-loader,303,199,289,835,111,N/A,202,217,261,374,360,149,850,558,785,316,720,925,863,261,637,450,582,87,275,212,297,201,131,135,365
chartjs,Chart.js,17,21,397,836,155,79,251,302,103,204,243,181,525,557,886,792,620,644,769,109,604,142,336,118,34,73,99,150,304,229,364
react-dropzone,react-dropzone,203,233,555,837,501,N/A,N/A,389,N/A,N/A,367,280,56,556,153,934,730,538,869,558,59,364,578,82,197,N/A,327,N/A,557,N/A,415
Automattic,cli-table,408,528,456,839,500,N/A,18,N/A,N/A,N/A,N/A,792,524,555,404,56,810,13,440,542,184,583,81,N/A,412,N/A,N/A,N/A,300,N/A,430
dreamerslab,node.inflection,655,742,383,838,891,N/A,N/A,N/A,406,276,318,968,849,554,93,625,14,438,583,417,266,672,183,474,N/A,376,424,290,N/A,372,429
nock,nock,172,245,599,841,158,78,406,222,86,233,337,206,189,15,10,917,588,705,644,127,241,308,148,75,244,95,89,129,315,134,428
vuejs,vue,2,5,932,843,46,18,333,335,84,223,257,99,188,553,407,322,723,560,603,276,561,93,388,44,106,102,82,143,119,316,427
node-cache,node-cache,413,527,584,844,497,N/A,N/A,266,N/A,N/A,N/A,341,848,552,44,980,5,648,774,541,470,432,158,360,315,N/A,423,N/A,454,N/A,426
NMFR,optimize-css-assets-webpack-plugin,514,673,238,842,496,N/A,N/A,N/A,N/A,N/A,N/A,511,600,567,605,795,868,942,792,540,714,610,758,N/A,N/A,N/A,N/A,N/A,N/A,N/A,425
jsdoc,jsdoc,143,142,588,845,492,N/A,330,393,197,319,294,306,178,133,552,967,4,618,433,81,897,472,29,430,145,246,209,56,401,251,424
standard,eslint-config-standard,394,280,372,847,979,91,266,428,70,174,200,600,177,566,692,739,562,522,584,110,206,638,661,N/A,323,182,71,60,213,92,407
geraintluff,tv4,511,463,630,846,491,N/A,N/A,N/A,N/A,N/A,N/A,867,602,565,182,574,250,309,435,539,741,264,314,N/A,N/A,N/A,N/A,N/A,N/A,N/A,422
inxilpro,node-app-root-path,632,800,341,849,490,N/A,N/A,N/A,N/A,N/A,N/A,801,638,564,118,333,664,365,436,538,818,903,557,441,N/A,N/A,N/A,N/A,N/A,N/A,421
localForage,localForage,72,162,491,850,157,N/A,303,445,405,18,N/A,220,476,177,202,836,473,577,437,560,67,314,423,311,222,N/A,326,N/A,425,434,420
indexzero,node-pkginfo,814,824,931,848,488,N/A,N/A,N/A,N/A,N/A,N/A,N/A,614,563,691,257,164,71,438,532,806,892,120,N/A,N/A,N/A,N/A,N/A,N/A,N/A,419
preactjs,preact,37,110,471,707,958,213,261,283,72,138,65,75,42,3,765,673,909,769,850,53,385,246,719,53,64,64,73,65,165,103,418
tdegrunt,jsonschema,445,401,523,708,487,N/A,N/A,26,404,117,156,599,615,562,104,234,379,372,439,531,193,463,242,N/A,294,383,364,406,453,411,417
vuejs,eslint-plugin-vue,320,268,333,719,48,28,323,233,88,287,219,112,510,561,647,318,716,226,426,122,462,66,825,74,52,49,90,103,193,250,416
vuejs,router,343,181,304,716,992,204,107,55,87,308,66,176,324,560,764,319,717,673,645,185,762,231,970,185,59,23,87,95,85,249,399
simov,slugify,477,556,394,717,481,N/A,210,360,N/A,N/A,415,863,584,575,690,299,578,168,428,451,116,639,319,N/A,337,N/A,400,N/A,242,N/A,414
karma-runner,karma,181,121,254,718,152,N/A,N/A,405,341,429,346,151,38,201,284,614,80,415,828,239,140,215,156,66,295,332,237,389,452,431,413
Unitech,pm2,33,78,620,720,934,190,400,377,234,329,67,101,255,70,174,232,155,448,585,325,621,296,359,106,46,145,190,173,424,368,412
gulpjs,liftoff,572,711,366,721,479,N/A,N/A,N/A,N/A,N/A,N/A,446,323,574,433,482,368,342,430,332,706,418,473,186,N/A,N/A,N/A,N/A,N/A,N/A,411
krisk,Fuse,125,225,714,722,478,N/A,445,458,292,406,403,311,403,179,593,650,702,80,658,136,715,232,229,298,152,331,333,198,400,287,410
timoxley,columnify,697,781,499,723,493,N/A,N/A,N/A,N/A,N/A,N/A,829,588,573,149,82,85,818,691,507,682,490,443,N/A,502,N/A,514,N/A,535,N/A,409
stylelint,stylelint-config-standard,484,560,493,729,975,N/A,51,73,189,157,148,187,39,572,592,769,842,541,582,193,166,588,759,220,415,218,224,215,292,96,408
coopernurse,node-pool,404,394,784,726,537,N/A,19,10,N/A,N/A,N/A,922,894,571,102,307,255,414,423,528,242,545,65,603,414,N/A,N/A,N/A,289,N/A,390
standard-things,esm,296,511,464,730,536,N/A,N/A,N/A,N/A,N/A,N/A,325,857,570,830,935,764,872,938,566,939,870,875,62,N/A,382,N/A,410,N/A,N/A,406
ogt,valid-url,785,825,413,725,535,N/A,N/A,N/A,N/A,N/A,N/A,828,619,569,763,598,54,240,424,565,610,737,387,N/A,N/A,N/A,N/A,N/A,N/A,N/A,405
tleunen,babel-plugin-module-resolver,351,437,374,728,534,N/A,N/A,N/A,N/A,N/A,N/A,423,623,568,575,569,619,812,766,564,339,488,710,N/A,N/A,N/A,N/A,N/A,N/A,N/A,404
mathisonian,command-exists,822,841,312,727,485,N/A,N/A,N/A,N/A,N/A,N/A,552,625,583,261,178,477,419,723,563,567,174,574,N/A,N/A,N/A,N/A,N/A,N/A,N/A,403
kevva,download,496,449,424,724,484,N/A,N/A,N/A,414,19,68,839,567,582,689,196,403,417,425,562,170,694,407,624,N/A,N/A,399,N/A,N/A,371,402
TooTallNate,node-plist,666,551,733,731,483,N/A,N/A,N/A,419,58,110,931,569,581,460,131,278,465,885,388,375,489,54,617,N/A,248,513,300,N/A,95,401
d3,d3,7,12,507,734,943,191,137,64,160,167,317,937,843,580,908,567,342,485,627,134,702,325,62,58,129,100,157,203,96,286,400
karma-runner,karma-chrome-launcher,677,546,261,735,145,N/A,N/A,N/A,N/A,N/A,69,215,514,203,762,608,79,652,759,300,124,690,326,310,501,N/A,332,N/A,534,N/A,327
SamVerschueren,listr,359,548,433,736,456,N/A,N/A,N/A,N/A,N/A,N/A,626,404,579,186,163,635,318,481,561,350,484,811,616,N/A,N/A,N/A,N/A,N/A,N/A,444
sass,node-sass,226,154,245,738,72,N/A,180,436,303,430,413,26,165,578,17,744,303,294,482,157,777,310,218,107,220,N/A,344,N/A,326,94,443
ladjs,consolidate,917,943,726,739,454,N/A,N/A,N/A,302,20,70,485,N/A,537,361,368,774,52,483,370,114,342,998,551,N/A,247,389,244,N/A,93,442
webpack-contrib,stylus-loader,662,598,313,732,81,42,N/A,N/A,196,217,14,527,302,536,180,426,317,752,484,228,594,276,426,362,N/A,179,219,233,N/A,157,452
yeikos,js.merge,805,753,332,733,468,N/A,N/A,N/A,N/A,N/A,102,838,949,551,422,895,81,225,609,423,878,593,221,529,N/A,330,406,314,N/A,N/A,451
expressjs,session,272,193,923,737,467,90,407,439,236,411,232,186,513,550,124,634,197,185,486,273,12,721,484,182,250,217,264,195,166,156,321
react-bootstrap,react-bootstrap,86,54,344,742,143,80,219,246,129,272,264,139,469,82,490,816,411,803,749,151,733,138,448,174,77,63,106,146,231,348,448
stylelint-scss,stylelint-scss,568,615,521,751,997,189,318,263,71,203,286,250,468,224,52,948,804,658,599,67,317,186,775,128,219,123,72,86,238,155,439
palantir,tslint,277,203,293,752,447,N/A,N/A,N/A,N/A,N/A,N/A,45,451,549,756,201,748,700,896,553,559,139,386,92,N/A,N/A,N/A,N/A,N/A,N/A,446
bvaughn,react-virtualized,68,63,634,753,446,98,234,427,N/A,N/A,N/A,201,139,28,294,255,783,901,934,552,229,250,736,515,281,N/A,405,N/A,438,N/A,334
xmldom,xmldom,745,624,436,740,125,72,113,107,73,139,129,98,229,548,310,959,978,625,567,54,465,240,988,245,293,133,74,93,190,98,333
gulpjs,plugin-error,899,867,356,741,460,N/A,N/A,N/A,N/A,N/A,N/A,448,349,547,755,483,373,374,478,567,623,655,656,489,N/A,N/A,N/A,N/A,N/A,N/A,332
Automattic,mongoose,63,53,248,761,55,31,278,228,23,127,216,132,228,79,120,57,806,418,479,39,763,339,31,99,17,37,24,15,89,97,331
karma-runner,karma-jasmine,653,492,264,762,147,N/A,N/A,N/A,390,446,N/A,243,450,546,688,616,77,719,736,316,82,554,318,242,496,375,387,402,532,409,329
jaredhanson,passport,85,167,387,768,503,N/A,374,379,296,24,103,410,253,234,551,119,171,304,470,391,650,501,152,N/A,173,374,292,299,377,347,328
jinder,path,830,638,415,767,502,N/A,N/A,N/A,N/A,N/A,N/A,837,702,545,879,883,103,116,471,702,779,925,616,626,495,N/A,512,N/A,531,N/A,431
chjj,blessed,189,292,629,766,453,N/A,253,320,N/A,N/A,N/A,840,631,544,144,433,298,53,472,571,879,831,315,N/A,358,N/A,N/A,N/A,389,N/A,326
Pomax,react-onclickoutside,440,462,541,765,452,N/A,N/A,N/A,N/A,N/A,N/A,433,636,495,155,281,678,842,815,581,81,467,614,453,N/A,N/A,N/A,N/A,N/A,N/A,325
mariocasciaro,object-path,535,612,292,770,451,N/A,N/A,N/A,N/A,N/A,N/A,667,408,494,288,660,385,641,744,589,196,805,416,N/A,N/A,N/A,N/A,N/A,N/A,N/A,324
SheetJS,sheetjs,38,29,577,769,892,N/A,N/A,488,295,410,104,199,853,493,904,645,404,464,473,306,626,98,303,N/A,418,N/A,345,N/A,530,147,323
jaredhanson,passport-strategy,844,805,408,764,450,N/A,49,66,N/A,N/A,N/A,851,637,492,609,122,172,308,474,599,943,N/A,390,N/A,494,N/A,N/A,N/A,8,N/A,322
gulpjs,vinyl-fs,546,486,373,763,449,N/A,95,131,N/A,N/A,N/A,412,320,491,491,481,374,351,475,271,227,286,447,223,493,N/A,N/A,N/A,7,N/A,441
oclif,config,896,780,752,771,495,N/A,N/A,N/A,190,106,17,180,852,490,970,459,900,655,732,97,245,517,914,45,N/A,249,206,182,N/A,226,440
SeleniumHQ,selenium,47,30,540,780,31,15,267,102,19,270,214,24,19,53,94,794,539,849,694,28,817,182,312,131,7,15,20,10,103,225,423
wnr,element-resize-detector,490,572,592,781,509,N/A,N/A,N/A,N/A,N/A,N/A,666,642,489,352,390,203,458,911,616,595,680,626,N/A,N/A,N/A,N/A,N/A,N/A,N/A,438
browserify,browserify,145,172,475,782,508,N/A,167,5,N/A,N/A,N/A,665,321,155,35,462,227,313,465,646,316,165,58,400,312,373,404,421,273,N/A,437
mathiasbynens,base64,663,594,551,784,507,N/A,N/A,N/A,N/A,N/A,N/A,816,643,488,414,78,589,249,466,656,945,N/A,528,N/A,N/A,N/A,N/A,N/A,N/A,N/A,436
mscdex,ssh2,291,255,650,783,506,N/A,387,288,336,393,18,486,645,503,45,432,384,236,467,290,880,668,253,N/A,97,372,290,326,115,404,435
airbnb,enzyme,105,100,460,788,505,N/A,184,6,418,445,19,100,230,5,492,228,512,512,468,237,524,244,741,N/A,417,N/A,403,N/A,26,367,434
epeli,underscore.string,353,319,478,787,504,N/A,N/A,N/A,N/A,N/A,N/A,620,N/A,502,296,N/A,N/A,475,678,667,511,274,51,459,N/A,N/A,N/A,N/A,N/A,N/A,433
sindresorhus,user-home,815,868,368,786,429,N/A,N/A,N/A,N/A,N/A,N/A,815,142,501,687,8,459,86,502,675,800,887,556,N/A,N/A,N/A,N/A,N/A,N/A,N/A,432
angular,components,73,33,407,785,19,97,254,308,12,216,N/A,7,225,8,766,216,465,840,908,17,874,178,756,21,12,17,12,13,247,224,377
vuejs,vue-style-loader,780,676,285,789,427,N/A,N/A,N/A,N/A,N/A,N/A,814,N/A,500,686,313,719,72,905,677,313,594,757,625,N/A,N/A,N/A,N/A,N/A,N/A,349
stevemao,left-pad,494,517,300,790,426,N/A,N/A,N/A,N/A,N/A,N/A,619,891,499,866,91,593,155,503,693,135,728,502,N/A,N/A,N/A,N/A,N/A,N/A,N/A,348
remarkjs,react-markdown,179,215,545,791,141,N/A,149,67,227,352,139,59,44,498,50,544,548,392,504,133,180,377,665,391,81,337,240,168,95,223,347
Hacker0x01,react-datepicker,242,91,553,776,14,71,243,365,34,171,167,292,67,80,272,271,818,761,632,47,260,293,539,59,54,39,36,25,344,158,346
nfl,react-helmet,127,250,414,775,423,N/A,8,408,N/A,N/A,20,408,322,104,318,517,542,890,935,701,23,510,679,560,309,N/A,422,N/A,422,N/A,345
node-js-libs,cli,585,653,572,772,422,N/A,N/A,N/A,N/A,N/A,N/A,N/A,937,497,528,912,3,41,506,549,469,832,79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,344
koajs,compose,543,516,505,774,419,N/A,N/A,N/A,N/A,N/A,N/A,495,25,496,714,365,180,747,657,399,134,767,398,N/A,N/A,N/A,N/A,N/A,N/A,N/A,343
http-party,http-server,161,139,518,773,140,N/A,73,472,417,6,N/A,158,28,83,527,927,7,739,760,146,397,343,121,423,279,N/A,270,N/A,252,440,455
ethereumjs,ethereumjs-monorepo,401,260,875,690,73,186,363,235,28,237,125,34,890,511,526,582,618,770,496,8,422,62,692,27,147,66,28,39,185,77,384
dcodeIO,bcrypt.js,352,406,766,691,416,N/A,9,414,N/A,N/A,N/A,618,734,510,394,500,574,8,497,548,810,761,350,531,357,N/A,421,N/A,391,N/A,383
goto100,xpath,787,671,645,692,865,96,418,396,219,417,398,896,N/A,509,397,526,649,17,620,547,154,806,263,N/A,259,183,195,193,234,358,382
hapijs,boom,376,460,315,695,864,N/A,75,103,416,149,124,268,227,508,859,463,365,198,499,371,13,634,310,519,351,N/A,420,N/A,272,392,381
request,request-promise,313,378,514,693,144,N/A,N/A,N/A,415,1,N/A,400,889,507,68,726,239,312,500,546,231,581,419,N/A,416,N/A,489,N/A,500,76,380
expressjs,errorhandler,700,699,317,694,414,N/A,N/A,N/A,N/A,N/A,N/A,254,428,506,529,637,192,370,501,545,625,758,493,329,N/A,N/A,N/A,N/A,N/A,N/A,379
react-icons,react-icons,192,248,299,699,78,170,356,368,121,362,359,384,888,505,172,977,344,410,733,152,728,109,732,221,74,111,115,149,186,343,378
apostrophecms,sanitize-html,342,325,543,696,474,N/A,228,161,337,80,N/A,395,37,504,90,239,881,413,491,544,1,709,414,N/A,260,327,419,373,127,75,445
react-dnd,react-dnd,102,105,557,697,473,N/A,203,330,413,407,N/A,175,226,95,912,898,656,916,852,427,876,220,595,90,118,N/A,321,N/A,406,429,398
mishoo,UglifyJS2,N/A,N/A,805,N/A,472,N/A,121,305,N/A,339,322,579,261,217,60,626,123,123,492,12,942,921,N/A,36,N/A,N/A,N/A,N/A,352,N/A,397
zenorocha,clipboard.js,39,50,955,698,149,N/A,170,422,N/A,N/A,404,286,260,182,273,272,545,859,752,428,174,454,722,243,242,N/A,365,N/A,416,N/A,396
reactjs,react-modal,252,220,494,704,470,N/A,419,105,298,443,412,111,304,207,719,490,827,944,867,345,119,326,573,570,262,253,353,338,279,68,395
medialize,URI.js,267,285,760,700,421,N/A,N/A,N/A,N/A,N/A,N/A,533,303,268,238,849,40,18,493,537,278,482,179,230,N/A,N/A,140,N/A,N/A,N/A,449
sindresorhus,tildify,853,886,411,703,420,N/A,N/A,N/A,N/A,N/A,N/A,841,148,518,838,9,431,234,494,536,519,704,459,569,N/A,N/A,N/A,N/A,N/A,N/A,457
apollographql,apollo-link,473,342,509,702,466,N/A,N/A,N/A,N/A,N/A,N/A,191,30,129,718,241,964,978,991,551,108,255,879,N/A,N/A,N/A,N/A,N/A,N/A,N/A,456
winstonjs,winston-daily-rotate-file,567,506,671,701,893,N/A,10,451,339,435,417,532,887,517,534,804,222,449,600,392,94,633,721,469,229,388,418,403,449,80,447
facebook,react-native,5,11,329,779,7,N/A,287,150,7,249,21,4,35,144,348,288,753,723,700,4,774,137,617,30,3,31,7,94,187,258,486
75lb,command-line-args,619,583,506,778,464,N/A,N/A,N/A,N/A,N/A,N/A,574,246,516,717,374,302,471,672,505,877,733,531,477,N/A,N/A,481,N/A,N/A,N/A,485
naugtur,xhr,579,584,418,777,463,N/A,N/A,N/A,N/A,N/A,N/A,555,369,189,133,238,776,390,805,569,34,779,215,N/A,N/A,N/A,N/A,N/A,N/A,N/A,484
sidorares,node-mysql2,330,277,435,800,8,10,209,176,37,195,210,107,149,84,716,245,209,615,490,40,869,372,347,256,65,56,38,57,261,79,483
vuejs,vue-hot-reload-api,676,731,301,798,477,N/A,N/A,N/A,N/A,N/A,N/A,630,766,515,865,315,722,756,829,568,246,841,729,568,N/A,N/A,N/A,N/A,N/A,N/A,482
vuejs,vuex,49,26,363,799,151,N/A,62,397,297,42,22,210,421,514,498,317,718,799,746,422,431,126,697,208,311,387,271,404,432,398,481
prettymuchbryce,http-status-codes,548,591,623,801,114,N/A,351,299,N/A,N/A,126,457,745,513,615,398,527,586,771,407,555,676,354,456,385,326,352,356,353,N/A,480
kelektiv,node-cron,234,273,611,811,103,101,193,214,62,175,204,119,73,7,143,956,18,300,546,52,172,435,43,321,154,187,61,72,159,257,499
jasmine,jasmine-npm,714,523,757,812,397,N/A,N/A,456,N/A,N/A,N/A,392,305,165,541,860,62,171,545,583,737,496,490,204,477,386,N/A,281,497,N/A,498
parshap,node-sanitize-filename,735,723,922,810,150,N/A,N/A,N/A,N/A,N/A,N/A,466,744,512,506,296,204,640,875,582,605,882,411,N/A,564,N/A,480,N/A,469,N/A,497
mui-org,material-ui,11,6,376,851,1,N/A,306,255,4,277,88,6,14,34,194,N/A,N/A,863,648,6,835,73,563,20,4,22,3,46,224,78,718
knex,knex,114,98,510,852,981,208,412,398,97,369,300,95,422,68,841,878,672,590,540,58,338,180,308,189,50,34,81,127,437,342,717
sequelize,sequelize,46,45,403,857,22,49,386,385,15,168,304,32,13,43,601,760,487,775,616,23,680,171,48,17,37,51,16,12,265,71,732
react-component,slider,371,243,919,855,994,N/A,227,440,162,363,89,391,765,483,216,349,640,439,536,155,47,294,653,258,230,159,168,189,346,259,731
trentm,node-bunyan,256,291,497,856,438,N/A,N/A,33,N/A,N/A,387,173,409,93,40,246,712,630,853,456,556,552,188,N/A,350,N/A,351,N/A,455,N/A,730
nashwaan,xml-js,503,468,500,854,389,N/A,N/A,7,N/A,N/A,N/A,629,735,482,114,842,530,910,973,580,889,558,800,472,335,N/A,N/A,N/A,456,N/A,729
websockets,bufferutil,833,750,457,853,388,N/A,211,219,N/A,N/A,N/A,628,892,481,712,918,346,104,541,369,432,727,627,379,439,385,N/A,258,56,N/A,728
firebase,firebase-js-sdk,315,210,347,705,77,106,301,220,36,236,90,43,91,58,176,395,768,931,919,9,311,40,866,415,30,36,33,58,221,290,727
hudochenkov,stylelint-order,557,685,573,706,866,N/A,171,75,274,413,395,438,609,480,600,429,780,698,542,315,796,491,836,282,278,384,304,294,318,328,726
googleapis,google-api-nodejs-client,190,111,968,712,386,105,188,313,80,271,282,2,52,76,85,72,944,440,543,50,832,132,331,1,75,109,84,24,335,70,503
FortAwesome,Font-Awesome,14,19,421,714,156,N/A,189,238,193,105,235,9,234,105,465,666,922,82,544,575,751,152,196,202,26,215,197,313,305,296,502
webpack-contrib,eslint-loader,533,537,260,715,384,N/A,N/A,N/A,N/A,N/A,N/A,693,283,431,250,427,319,943,870,574,295,367,605,213,N/A,N/A,N/A,N/A,N/A,N/A,501
ciaranj,node-oauth,402,259,967,713,430,N/A,N/A,N/A,374,438,N/A,957,N/A,430,909,356,28,102,537,573,429,568,21,N/A,563,N/A,331,N/A,459,430,500
webpack-contrib,html-loader,512,446,371,711,91,N/A,409,450,208,258,91,61,282,193,217,411,318,796,538,244,306,316,467,296,438,207,234,255,57,69,511
npm,security-holder,820,734,873,709,444,N/A,N/A,N/A,N/A,N/A,N/A,739,860,429,955,144,611,38,539,572,253,920,792,N/A,N/A,N/A,N/A,N/A,N/A,N/A,510
pugjs,pug,92,106,442,710,443,N/A,28,419,N/A,N/A,N/A,211,859,428,150,658,264,787,799,455,797,193,41,336,246,N/A,N/A,N/A,328,N/A,509
typeorm,typeorm,41,35,517,743,27,3,395,413,53,419,373,20,237,19,55,810,687,675,619,570,606,116,784,279,15,5,51,87,405,243,508
yiminghe,async-validator,223,239,422,744,134,N/A,N/A,332,373,49,N/A,740,610,427,293,437,653,848,791,510,679,395,637,N/A,352,N/A,427,N/A,460,382,507
formatjs,formatjs,150,149,594,745,15,25,353,344,67,341,379,172,236,27,840,791,355,992,900,126,740,72,521,2,66,60,68,70,86,242,506
flitbit,diff,375,410,524,747,439,N/A,N/A,N/A,N/A,N/A,N/A,888,858,426,354,457,266,571,834,509,305,808,300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,505
driverdan,node-XMLHttpRequest,703,371,965,746,437,N/A,N/A,N/A,N/A,N/A,N/A,940,612,425,715,553,115,39,507,508,346,637,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,504
gulpjs,gulp,42,44,314,749,436,N/A,84,253,312,50,92,163,235,109,359,479,369,434,508,529,58,288,375,338,214,N/A,358,N/A,143,74,479
roryrjb,md5-file,790,850,380,750,435,N/A,N/A,N/A,N/A,N/A,N/A,424,732,424,467,750,979,179,509,530,345,807,522,567,N/A,N/A,N/A,N/A,N/A,N/A,518
mathiasbynens,utf8.js,651,545,466,748,434,N/A,N/A,N/A,N/A,N/A,N/A,887,747,439,356,80,590,252,533,550,849,927,369,N/A,N/A,N/A,N/A,N/A,N/A,N/A,517
firebase,firebase-admin-node,463,350,964,755,951,104,377,79,64,257,335,69,65,66,466,394,767,596,661,51,517,249,860,126,62,108,64,114,310,73,516
59naga,babel-plugin-add-module-exports,606,728,513,754,433,N/A,N/A,N/A,N/A,N/A,N/A,279,899,438,839,237,500,971,880,559,600,757,739,444,N/A,N/A,N/A,N/A,N/A,N/A,515
75lb,command-line-usage,796,785,535,756,432,N/A,N/A,N/A,N/A,N/A,N/A,694,247,437,345,367,301,255,551,394,949,890,685,492,N/A,N/A,N/A,N/A,N/A,N/A,514
jimp-dev,jimp,159,241,470,757,431,N/A,134,8,245,400,401,133,232,54,508,921,787,855,550,203,718,200,570,115,183,144,249,259,394,295,513
mapbox,node-pre-gyp,521,369,274,758,956,N/A,357,390,260,226,227,14,231,233,113,67,482,637,569,279,194,362,436,N/A,264,333,238,381,442,383,512
kelektiv,node.bcrypt.js,255,296,963,759,355,N/A,281,268,311,152,263,546,425,436,121,947,17,645,594,363,87,462,32,344,121,206,357,225,222,72,536
enzymejs,enzyme,104,101,461,760,354,N/A,181,21,372,444,93,103,238,4,468,939,734,513,476,238,521,243,742,N/A,433,N/A,426,N/A,58,380,535
ant-design,ant-design,12,3,455,840,3,2,183,120,2,137,94,40,12,162,568,302,918,491,469,1,336,53,655,12,1,11,2,28,133,50,719
lit,lit,126,209,637,286,32,211,264,286,30,199,95,471,58,13,595,851,971,903,463,33,535,50,880,15,41,30,30,35,248,264,534
Automattic,node-canvas,208,176,962,290,955,207,332,366,224,87,153,241,863,435,43,55,807,334,458,219,129,270,63,424,69,160,228,273,264,285,533
mattyork,fuzzy,575,619,561,288,351,N/A,N/A,N/A,N/A,N/A,N/A,741,708,434,485,785,152,420,455,533,948,741,245,525,N/A,N/A,N/A,N/A,N/A,N/A,532
casesandberg,react-color,183,200,608,287,112,N/A,20,254,N/A,N/A,382,316,248,156,807,487,601,691,452,579,520,206,705,420,302,N/A,330,N/A,356,N/A,531
cryptocoinjs,bs58,798,758,462,289,411,N/A,N/A,N/A,N/A,N/A,N/A,885,862,433,919,669,162,100,487,578,523,670,427,N/A,N/A,N/A,N/A,N/A,N/A,N/A,530
shouldjs,should.js,432,541,554,292,410,N/A,N/A,N/A,N/A,N/A,N/A,343,441,432,192,811,325,488,485,577,460,494,532,482,N/A,N/A,N/A,N/A,N/A,N/A,544
anseki,readline-sync,586,705,633,291,409,N/A,N/A,N/A,N/A,N/A,N/A,884,604,447,22,540,380,64,480,576,884,922,409,N/A,N/A,N/A,N/A,N/A,N/A,N/A,543
quilljs,quill,36,62,587,293,30,199,430,449,102,193,394,134,284,157,794,904,495,783,646,115,848,236,250,134,48,107,103,52,269,263,542
