owner,repo,stars,forks,issue_closed_rate,issue_time_to_close,issue_time_to_response,issue_monthly,issue_participants,labeled_issues,pulls_closed_rate,pulls_time_to_close,pulls_time_to_response,pulls_monthly,pulls_participants,pulls_merged_rate,issues_average_comments,pulls_average_comments,code_review_score,maintained_score,vulnerabilities,issue_per_participants,pulls_per_participants,open_issues,dependent_repositories,dependent_packages,commits_with_vertification_rate,commits_avg_msg_length,commits_author_count,commits_committer_count,issue_commented_rate,readme_headers_num,watchers,network_count,subscribers_count,comments_avg_length,pulls_last_90days,commmits_last_90days,health_percentage,projects_owned_by_maintainer,age_of_other_projects,workflow_runs_count,contributors_per_code_file,files_with_more_than_1_contributors,labels,releases,time_since_created,created_time,pull_authors_dec,pull_authors_jan,pull_difference,pull_authors_2024,Usage_Popularity,outdated_dependencies,headings_count
choerodon,choerodon-front-boot,0.00,0.00,5.00,0.96,0.01,0.00,0.04,0.00,5.00,0.43,0.39,0.07,0.05,0.00,0.88,0.98,0.91,0.00,1.12,3.53,0.50,0.02,0.00,0.00,0.00,0.09,0.09,0.24,7.50,1.27,0.00,0.00,0.01,0.67,,,3.70,0.45,3.92,0.00,0.36,0.12,0.13,,,3.47,,,0.82,,0.00,0.00,0.00
kevrat,keystone-rus,0.00,0.00,,,,,0.00,0.00,10.00,0.00,,0.00,0.00,0.00,,0.00,0.91,0.00,6.25,,0.00,0.00,0.00,0.00,0.00,0.11,1.24,2.86,,1.03,0.00,0.28,0.00,,,,,0.01,0.00,0.00,1.71,1.29,0.12,,,3.94,,,0.82,,0.00,0.00,0.29
nodecg,nodecg,0.05,0.02,8.20,1.35,0.98,0.14,0.53,0.82,10.00,0.32,0.08,0.26,0.99,8.00,1.69,1.83,0.91,10.00,0.04,0.88,0.50,0.09,0.00,0.00,1.00,0.12,0.26,0.21,7.00,0.71,0.05,0.02,0.02,1.13,0.70,0.80,6.20,0.21,4.76,0.01,0.35,0.13,0.42,0.21,,6.20,0.00,0.27,1.10,0.18,0.00,0.00,2.29
react-component,rn-packager,0.00,0.00,6.00,0.09,0.40,0.01,0.01,0.00,9.00,0.57,0.56,0.24,0.07,0.00,1.32,1.10,0.91,0.00,0.00,1.18,0.00,0.03,0.00,0.00,0.00,0.03,0.01,0.05,8.00,0.63,0.00,0.00,0.03,0.18,,,3.70,0.97,5.19,0.00,0.21,0.15,0.13,,,5.11,,,0.82,,0.00,0.00,0.00
JowayYoung,bruce-cli,0.02,0.01,6.80,0.44,0.22,0.04,0.08,0.00,10.00,0.19,0.18,0.00,0.02,0.00,1.54,1.22,0.91,3.00,0.00,1.18,2.50,0.01,0.00,0.00,2.00,0.01,0.01,0.03,8.40,0.08,0.02,0.01,0.01,0.43,0.00,0.06,4.20,0.15,2.69,0.00,0.00,,0.13,,,3.01,0.00,,0.68,,0.00,0.00,0.00
palantir,blueprint,0.93,0.27,6.10,0.41,0.31,1.02,1.60,8.68,9.00,0.05,0.02,2.46,0.55,9.00,0.22,0.24,3.64,10.00,0.13,1.18,0.00,1.22,0.00,0.02,6.00,0.30,2.28,0.21,6.70,1.11,0.93,0.27,0.76,1.17,2.18,1.66,7.50,2.05,4.62,0.00,1.14,0.81,1.00,0.27,,4.54,2.97,1.62,0.96,1.67,0.02,0.00,1.14
resin-io,resin-cli,0.02,0.02,5.10,0.71,0.64,0.53,1.14,5.22,10.00,0.30,0.08,0.63,1.41,8.00,0.66,0.85,4.55,10.00,0.00,0.88,0.50,0.67,0.00,0.00,2.00,0.14,0.40,0.87,7.20,1.03,0.02,0.02,0.06,1.48,0.32,1.00,6.20,,,0.06,1.57,0.25,0.58,2.06,,5.68,0.54,0.41,0.96,0.26,0.00,0.00,3.14
TryGhost,Ghost,2.06,1.26,9.30,0.20,0.09,1.19,3.12,7.20,9.00,0.01,0.03,10.00,0.74,9.00,0.15,0.00,1.82,10.00,2.33,2.65,0.50,0.26,0.00,0.00,1.00,0.33,3.67,3.94,9.10,0.40,2.06,1.26,1.53,1.16,10.00,10.00,10.00,1.18,3.62,1.47,1.24,5.42,0.83,1.82,,6.93,7.03,3.51,0.82,4.30,0.03,0.00,0.00
INSIDEM2M,slim,0.00,0.00,9.80,0.25,0.13,0.60,0.02,1.80,10.00,0.23,0.06,0.77,0.05,3.00,0.81,2.07,0.91,0.00,7.67,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.08,3.00,,0.00,0.00,0.01,3.70,,,3.70,0.09,5.42,0.00,0.16,0.01,0.13,,,4.46,,,0.82,,0.00,0.00,0.00
fluidtrends,chunky,0.00,0.00,3.60,0.51,0.04,0.21,0.04,0.10,10.00,0.04,2.29,0.45,0.02,10.00,0.15,0.00,0.91,0.00,2.46,0.29,0.00,0.10,0.00,0.00,1.00,0.05,0.05,0.11,1.40,0.40,0.00,0.00,0.02,0.44,,,3.70,0.32,3.58,0.00,0.19,0.22,0.12,0.00,,4.34,,,0.82,,0.00,0.00,0.00
