owner,repo,stars,forks,issue_closed_rate,issue_time_to_close,issue_time_to_response,issue_monthly,issue_participants,labeled_issues,pulls_closed_rate,pulls_time_to_close,pulls_time_to_response,pulls_monthly,pulls_participants,pulls_merged_rate,issues_average_comments,pulls_average_comments,code_review_score,maintained_score,vulnerabilities,issue_per_participants,pulls_per_participants,open_issues,dependent_repositories,dependent_packages,commits_with_vertification_rate,commits_avg_msg_length,commits_author_count,commits_committer_count,issue_commented_rate,readme_headers_num,watchers,network_count,subscribers_count,comments_avg_length,pulls_last_90days,commmits_last_90days,health_percentage,projects_owned_by_maintainer,age_of_other_projects,workflow_runs_count,contributors_per_code_file,files_with_more_than_1_contributors,labels,releases,time_since_created,created_time,pull_authors_dec,pull_authors_jan,pull_difference,pull_authors_2024,Usage_Popularity,outdated_dependencies,headings_count
chalk,supports-color,0.02,0.01,9.70,0.81,0.15,0.02,0.44,0.22,10.00,0.41,0.11,0.04,1.06,6.00,3.38,4.76,4.55,3.00,0.00,2.65,3.00,0.00,9.25,0.14,1.00,0.06,0.22,0.11,9.30,0.63,0.02,0.01,0.02,0.85,0.02,0.02,5.00,0.13,6.33,0.00,2.13,0.00,0.13,0.04,,6.76,0.00,,0.68,0.00,9.24,0.00,0.00
npm,node-semver,0.22,0.06,8.90,1.11,1.09,0.10,2.27,1.74,10.00,1.35,0.21,0.12,2.98,4.00,2.35,3.17,10.00,10.00,0.00,2.65,2.00,0.07,0.00,0.00,3.00,0.18,0.48,0.23,8.60,1.35,0.22,0.06,0.15,0.87,0.28,0.14,8.70,3.11,5.29,0.04,1.46,0.06,0.53,0.03,,8.46,0.54,0.14,0.68,0.35,0.00,0.00,2.86
chalk,chalk,0.97,0.11,9.90,0.32,0.07,0.13,2.55,1.70,10.00,0.23,0.04,0.08,2.61,6.00,3.16,4.63,4.55,2.00,0.00,2.65,3.00,0.01,9.12,4.54,1.00,0.08,0.35,0.24,9.60,1.51,0.97,0.11,0.22,0.82,0.02,0.02,7.50,0.13,6.33,0.00,2.11,0.02,0.15,0.06,,6.76,,0.14,1.10,0.09,9.12,0.01,2.29
debug-js,debug,0.50,0.11,9.00,0.47,0.62,0.26,4.20,3.22,9.00,1.10,0.35,0.12,5.87,5.00,2.43,4.51,3.64,4.00,0.00,3.24,4.00,0.13,10.00,1.63,0.00,0.12,0.64,0.86,9.00,1.59,0.50,0.11,0.20,0.90,,,5.00,0.00,9.13,0.00,2.83,0.02,0.23,0.09,,7.91,,,0.82,,10.00,0.03,0.00
microsoft,tslib,0.05,0.02,6.50,1.39,0.76,0.04,1.23,0.32,9.00,0.72,0.39,0.08,1.87,7.00,3.01,2.68,7.27,0.00,0.00,5.29,2.50,0.09,6.96,5.12,4.00,0.12,0.24,0.29,8.30,1.75,0.05,0.02,0.11,0.91,0.18,0.08,6.20,10.00,3.07,0.01,1.40,0.01,0.17,0.10,,5.58,0.00,0.00,0.82,0.00,6.95,0.15,0.00
vercel,ms,0.22,0.04,7.60,2.61,4.16,0.02,0.72,0.18,9.00,1.72,1.50,0.06,1.59,5.00,1.84,2.20,6.36,0.00,0.22,3.82,3.00,0.06,9.92,0.19,1.00,0.08,0.23,0.31,8.20,0.71,0.22,0.04,0.13,0.60,0.00,,6.20,1.32,3.05,0.00,1.81,0.01,0.15,0.05,,7.73,,,0.82,0.00,9.92,1.50,0.00
mozilla,source-map,0.16,0.05,8.20,2.38,1.65,0.07,1.87,0.62,9.00,0.44,0.05,0.12,2.52,8.00,2.72,3.17,10.00,0.00,0.09,3.24,2.00,0.11,7.68,0.21,1.00,0.16,0.50,0.95,8.80,0.87,0.16,0.05,0.10,1.19,,,6.20,10.00,5.95,0.00,2.00,0.04,0.10,,,8.18,,,0.82,,7.68,0.22,3.43
isaacs,node-lru-cache,0.23,0.05,9.80,1.99,2.06,0.08,1.30,0.14,10.00,2.24,0.42,0.05,1.39,2.00,2.28,2.07,0.91,5.00,0.04,2.65,2.50,0.01,0.00,0.00,6.00,0.12,0.26,0.15,8.80,4.68,0.23,0.05,0.08,1.39,0.00,0.04,5.70,4.19,7.22,0.01,0.56,0.01,0.02,,,8.96,,0.00,0.96,0.00,0.00,0.31,0.00
chalk,strip-ansi,0.02,0.00,9.60,0.03,0.00,0.01,0.12,0.04,10.00,0.12,0.01,0.03,0.30,3.00,1.54,1.59,2.73,0.00,0.00,2.06,3.00,0.00,8.85,0.25,1.00,0.04,0.06,0.10,9.10,0.48,0.02,0.00,0.02,0.62,,,5.00,0.13,6.33,0.00,0.87,0.00,0.10,0.01,,6.52,,,0.82,,8.84,0.01,0.00
nodejs,readable-stream,0.05,0.03,9.60,1.44,0.25,0.11,1.87,0.32,10.00,0.53,0.14,0.09,2.75,6.00,4.49,5.85,5.45,6.00,0.00,2.65,2.50,0.02,7.92,0.18,2.00,0.09,0.32,0.24,9.50,0.63,0.05,0.03,0.08,0.94,0.04,0.10,7.50,1.87,5.18,0.01,1.32,0.16,0.20,0.14,,7.46,0.00,,0.68,,7.91,0.10,2.29
tj,commander.js,1.18,0.23,9.80,0.21,0.05,0.47,2.42,1.96,10.00,0.07,0.10,0.60,1.36,7.00,1.47,1.22,9.09,10.00,0.00,2.06,0.50,0.02,0.00,0.00,3.00,0.20,1.00,1.41,9.70,3.41,1.18,0.23,0.35,1.15,0.86,0.34,8.50,2.68,7.21,0.03,1.25,0.08,0.18,0.19,,8.11,0.27,0.27,0.96,0.26,0.02,0.70,0.86
isaacs,minimatch,0.14,0.03,9.80,3.54,3.32,0.04,0.98,0.02,9.00,3.25,0.41,0.02,0.85,1.00,2.21,2.07,0.91,0.00,0.13,2.94,2.50,0.01,9.24,0.33,4.00,0.11,0.16,0.11,8.90,2.78,0.14,0.03,0.08,0.92,0.02,,4.20,4.19,7.22,0.00,0.41,0.01,0.02,,,8.17,,,0.82,0.00,9.24,0.46,0.00
isaacs,node-glob,0.38,0.07,9.80,2.93,2.63,0.11,3.30,0.06,10.00,4.61,2.55,0.06,2.52,2.00,2.72,3.05,0.91,3.00,0.04,3.24,3.00,0.01,0.00,0.00,3.00,0.11,0.26,0.19,9.40,3.25,0.38,0.07,0.14,0.99,,,5.70,4.19,7.22,0.01,0.33,0.02,0.05,,,9.34,,,0.82,,0.01,0.20,1.14
sindresorhus,find-up,0.03,0.01,9.30,0.42,0.03,0.01,0.23,0.12,10.00,0.27,0.03,0.02,0.28,7.00,2.50,5.12,3.64,0.00,0.00,2.35,2.50,0.01,7.89,0.17,1.00,0.06,0.09,0.06,9.50,1.59,0.03,0.01,0.02,1.06,,,8.50,10.00,6.01,0.00,2.04,0.00,0.13,0.02,,5.33,,,0.82,,7.89,0.00,0.00
sindresorhus,escape-string-regexp,0.03,0.01,9.60,0.30,0.16,0.02,0.25,0.04,10.00,0.08,0.02,0.02,0.16,4.00,2.43,1.95,1.82,0.00,0.00,3.82,3.00,0.00,8.63,0.18,1.00,0.05,0.04,0.05,10.00,0.24,0.03,0.01,0.02,0.54,,,8.50,10.00,6.01,0.00,0.83,0.01,0.10,0.01,,6.15,,,0.82,,8.62,0.01,0.00
feross,safe-buffer,0.02,0.01,7.10,0.19,0.77,0.01,0.15,0.04,9.00,0.32,0.39,0.03,0.23,7.00,2.43,2.07,1.82,0.00,0.00,4.12,2.50,0.01,9.22,0.14,2.00,0.06,0.05,0.10,8.60,1.90,0.02,0.01,0.01,0.64,,,4.20,1.32,6.09,0.00,0.61,0.00,0.12,,,5.08,,,0.82,,9.21,0.00,0.00
uuidjs,uuid,0.64,0.11,9.80,0.61,0.25,0.12,3.41,1.22,10.00,0.56,0.11,0.14,3.39,6.00,3.60,3.29,8.18,4.00,0.43,3.53,2.00,0.02,7.17,1.70,4.00,0.19,0.37,0.36,9.50,2.38,0.64,0.11,0.21,1.10,,,7.50,0.01,6.07,0.02,0.71,0.04,0.23,,,8.54,,,0.82,,7.17,3.51,0.86
ajv-validator,ajv,0.60,0.11,6.10,0.16,0.26,0.80,2.95,9.36,9.00,0.27,0.28,0.49,2.24,6.00,0.66,0.98,3.64,10.00,0.00,2.35,1.00,0.57,7.65,0.46,2.00,0.10,1.13,1.24,8.60,1.11,0.60,0.11,0.17,1.53,0.26,0.08,10.00,0.13,4.82,0.00,0.53,0.14,0.50,0.38,,5.53,0.81,0.27,0.68,0.35,7.66,0.06,6.29
yargs,yargs-parser,0.02,0.02,6.80,1.19,2.24,0.07,0.74,1.56,10.00,0.27,0.25,0.19,1.57,8.00,1.76,1.83,5.45,1.00,0.00,2.06,1.00,0.11,6.88,0.13,4.00,0.15,0.34,0.11,7.70,2.30,0.02,0.02,0.01,1.32,0.02,,3.70,0.09,6.03,0.00,1.82,0.01,0.42,0.09,,5.06,,0.00,0.96,0.00,6.87,0.19,0.00
acornjs,acorn,0.46,0.11,9.80,0.45,0.11,0.28,1.95,0.46,10.00,0.21,0.04,0.17,3.05,4.00,1.32,3.66,0.91,10.00,0.00,1.47,1.50,0.03,7.63,0.27,0.00,0.12,0.72,0.27,8.60,0.32,0.46,0.11,0.26,1.31,0.04,0.22,2.50,0.15,4.85,0.00,2.00,0.07,0.10,,,7.35,,0.00,0.96,0.09,7.63,0.01,0.00
yargs,yargs,0.49,0.13,6.80,0.89,0.85,0.49,2.64,7.30,10.00,0.21,0.13,0.47,3.21,8.00,0.96,0.98,8.18,10.00,0.00,2.06,1.50,0.53,7.00,1.47,2.00,0.11,1.66,1.24,8.90,1.11,0.49,0.13,0.12,1.26,0.10,0.08,6.20,0.09,6.03,0.00,1.87,0.09,0.80,0.13,,6.58,0.27,0.41,1.10,0.26,7.00,0.02,2.57
jprichardson,node-fs-extra,0.42,0.10,9.80,0.56,0.14,0.25,3.26,4.56,10.00,0.45,0.02,0.16,2.52,7.00,2.43,4.02,5.45,7.00,0.00,2.65,1.50,0.02,0.00,0.00,1.00,0.10,0.53,0.71,9.60,0.95,0.42,0.10,0.14,0.79,0.00,0.02,4.20,1.50,7.76,0.00,0.95,0.08,0.33,,,7.94,0.00,,0.68,,0.01,0.00,0.00
isaacs,rimraf,0.25,0.04,9.80,2.85,3.08,0.07,1.95,0.00,10.00,3.44,1.13,0.04,1.57,1.00,2.35,2.80,0.91,2.00,0.04,3.82,3.50,0.01,8.25,6.60,4.00,0.08,0.17,0.13,9.40,1.27,0.25,0.04,0.06,0.95,,,4.20,4.19,7.22,0.00,0.17,0.00,0.00,,,8.47,,,0.82,,8.25,0.19,0.00
estools,estraverse,0.04,0.02,5.90,0.63,1.06,0.02,0.39,0.14,8.00,0.73,0.45,0.02,0.79,8.00,1.54,2.80,5.45,0.00,0.00,2.35,3.00,0.07,7.08,0.11,0.00,0.08,0.16,0.29,7.20,0.32,0.04,0.02,0.04,0.53,,,3.70,0.11,7.86,0.00,1.68,0.01,0.08,,,7.32,,,0.82,,7.08,0.10,0.00
sindresorhus,camelcase,0.03,0.01,10.00,0.31,0.13,0.02,0.29,0.26,10.00,0.23,0.04,0.03,0.67,5.00,1.76,2.20,4.55,0.00,0.00,2.35,2.50,0.00,7.37,0.30,2.00,0.04,0.17,0.13,9.20,0.48,0.03,0.01,0.02,0.62,,,8.50,10.00,6.01,0.00,3.17,0.00,0.10,0.03,,5.94,,,0.82,,7.36,0.00,0.00
sindresorhus,path-exists,0.01,0.00,10.00,0.38,0.91,0.00,0.04,0.00,10.00,0.01,0.01,0.01,0.18,7.00,1.62,2.32,2.73,0.00,0.00,2.35,3.50,0.00,7.89,0.17,2.00,0.02,0.04,0.03,10.00,0.56,0.01,0.00,0.01,0.61,,,8.50,10.00,6.01,0.00,1.01,0.01,0.10,0.00,,5.56,,,0.82,,7.89,0.01,0.00
isaacs,inherits,0.02,0.01,7.30,4.54,1.20,0.00,0.12,0.00,10.00,4.54,3.51,0.02,0.14,1.00,2.13,0.98,1.82,0.00,0.34,4.41,0.50,0.01,9.90,0.19,2.00,0.05,0.03,0.02,7.30,0.16,0.02,0.01,0.03,0.68,,,5.70,4.19,7.22,0.00,0.29,0.00,0.02,,,8.36,,,0.82,,9.90,0.98,0.00
npm,node-which,0.01,0.01,9.10,1.66,1.78,0.02,0.29,0.14,10.00,1.43,0.41,0.05,0.44,4.00,1.99,1.46,10.00,3.00,0.00,2.65,1.00,0.01,0.00,0.00,1.00,0.25,0.11,0.15,8.50,0.32,0.01,0.01,0.04,1.26,0.04,0.06,8.70,3.11,5.29,0.02,0.85,0.01,0.38,0.00,,8.13,0.27,0.00,0.68,0.00,0.00,0.00,2.86
sindresorhus,resolve-from,0.01,0.00,8.00,0.05,0.01,0.01,0.07,0.04,10.00,0.09,0.00,0.04,0.07,9.00,1.62,0.98,2.73,0.00,0.00,2.94,2.00,0.00,7.58,0.10,1.00,0.04,0.04,0.05,9.00,0.71,0.01,0.00,0.01,0.50,,,8.50,10.00,6.01,0.00,0.70,0.00,0.10,0.00,,6.10,,,0.82,,7.58,0.02,0.00
jonschlinkert,extend-shallow,0.00,0.00,7.10,0.00,0.00,0.01,0.04,0.00,7.00,0.01,0.00,0.00,0.05,10.00,1.76,2.07,0.91,0.00,0.00,2.06,3.50,0.01,3.92,0.05,0.00,0.03,0.02,0.05,10.00,0.63,0.00,0.00,0.01,0.49,,,4.20,7.69,6.47,0.00,0.06,0.00,0.10,,,5.91,,,0.82,,3.92,0.01,0.00
json5,json5,0.28,0.03,8.80,1.26,0.49,0.07,1.08,2.72,9.00,1.53,0.80,0.07,1.22,6.00,3.46,2.93,2.73,1.00,1.77,2.35,2.00,0.05,7.37,0.18,0.00,0.10,0.13,0.18,8.90,2.14,0.28,0.03,0.13,1.23,0.00,,7.50,0.06,5.86,0.00,0.62,0.08,0.13,0.03,,7.57,0.00,,0.68,,7.37,0.95,0.86
isaacs,node-mkdirp,0.01,0.01,10.00,0.27,0.13,0.08,0.31,0.00,10.00,1.61,0.06,0.04,0.21,2.00,2.06,2.20,0.91,0.00,0.13,3.82,4.00,0.00,7.35,1.18,3.00,0.09,0.06,0.08,8.10,1.75,0.01,0.03,0.01,1.60,,,,4.19,7.22,0.00,0.35,0.01,,,,7.96,,,0.82,,7.35,0.00,0.00
sindresorhus,execa,0.28,0.03,9.60,0.83,0.32,0.19,1.66,1.60,10.00,0.12,0.05,0.37,1.43,9.00,2.87,2.07,10.00,10.00,0.00,1.76,0.50,0.02,6.48,0.62,4.00,0.08,0.33,0.08,8.80,1.75,0.28,0.03,0.06,1.43,3.41,3.43,8.50,10.00,6.01,0.06,0.63,0.03,0.15,0.07,,5.15,0.00,0.14,0.96,0.09,6.48,0.00,0.00
ljharb,qs,0.38,0.09,8.10,0.40,0.13,0.13,2.81,5.14,9.00,0.45,0.16,0.08,2.49,7.00,3.60,3.78,2.73,10.00,0.00,3.53,3.50,0.13,8.24,0.55,5.00,0.10,0.36,0.53,9.40,0.95,0.38,0.09,0.10,0.81,0.04,0.06,8.50,2.22,4.12,0.01,2.04,0.01,0.32,,,6.09,,0.00,0.96,0.09,8.24,0.01,0.00
nodeca,js-yaml,0.28,0.11,9.10,0.79,0.62,0.17,2.79,1.58,9.00,0.52,0.43,0.05,2.45,5.00,2.28,4.39,1.82,1.00,0.00,2.35,3.00,0.10,7.33,0.72,0.00,0.07,0.44,0.69,9.00,0.40,0.28,0.11,0.11,0.87,0.00,,5.00,0.43,6.80,0.00,0.15,0.17,0.13,,,8.02,,0.00,0.96,0.00,7.33,0.10,0.00
browserify,resolve,0.03,0.03,9.50,1.46,0.62,0.05,1.29,0.00,10.00,1.70,0.56,0.05,2.17,4.00,3.90,3.66,0.91,4.00,0.00,3.24,3.00,0.03,8.12,0.39,7.00,0.17,0.32,0.37,9.80,0.56,0.03,0.03,0.02,0.95,,0.04,5.00,0.67,6.86,0.00,0.87,0.03,,,,8.22,,,0.82,,8.12,0.03,0.00
websockets,ws,0.95,0.29,10.00,0.01,0.02,0.44,3.17,0.28,10.00,0.14,0.07,0.27,3.97,7.00,1.18,2.20,0.91,10.00,0.00,2.65,1.50,0.01,6.21,0.67,0.00,0.11,1.08,1.47,9.80,1.90,0.95,0.29,0.56,1.11,0.12,0.34,5.00,0.04,6.24,0.00,2.55,0.05,0.18,0.25,,7.95,0.54,0.00,0.55,0.18,6.22,0.02,0.00
nodeca,argparse,0.02,0.01,9.80,4.03,5.51,0.05,0.40,0.00,10.00,0.60,0.07,0.07,0.72,6.00,2.06,2.44,2.73,0.00,0.00,1.76,2.00,0.00,7.36,0.12,0.00,0.13,0.12,0.26,9.20,0.00,0.02,0.01,0.03,1.14,,,5.00,0.43,6.80,0.00,0.52,0.01,0.10,,,7.60,,,0.82,,7.35,0.07,0.00
sindresorhus,pify,0.07,0.01,10.00,1.17,0.82,0.04,0.31,0.16,10.00,1.10,0.19,0.03,0.65,4.00,2.35,6.34,3.64,0.00,0.00,2.65,3.50,0.00,6.81,0.15,1.00,0.04,0.09,0.05,9.30,0.56,0.07,0.01,0.02,0.57,,,8.50,10.00,6.01,0.00,1.51,0.00,0.13,0.01,,5.34,,,0.82,,6.81,0.01,0.00
postcss,postcss,1.28,0.20,9.70,0.13,0.06,0.31,2.93,1.18,10.00,0.07,0.01,0.26,3.93,8.00,1.62,1.59,3.64,10.00,0.00,2.35,1.50,0.03,6.89,1.91,1.00,0.07,2.33,3.26,9.40,2.38,1.28,0.20,0.76,1.12,0.14,0.68,5.00,0.49,6.08,0.00,1.61,0.10,0.12,0.60,,6.66,0.54,0.14,0.68,0.18,6.90,0.12,0.00
form-data,form-data,0.10,0.04,5.60,0.60,0.88,0.08,2.46,0.50,9.00,0.55,0.02,0.15,2.26,4.00,2.50,3.29,8.18,0.00,0.00,3.82,1.50,0.25,6.34,0.35,1.00,0.10,0.22,0.47,8.30,0.71,0.10,0.04,0.04,0.95,0.02,,3.70,0.02,7.44,0.00,1.47,0.02,0.23,0.04,,8.28,0.00,0.00,0.82,0.00,6.33,0.08,0.00
moxystudio,node-cross-spawn,0.05,0.01,7.70,0.23,0.39,0.03,0.43,0.14,10.00,0.41,0.04,0.05,0.81,3.00,2.43,3.05,2.73,0.00,1.94,2.65,2.00,0.03,0.00,0.00,0.00,0.07,0.11,0.18,7.80,0.79,0.05,0.01,0.04,2.25,0.00,,3.70,0.76,3.98,0.00,0.48,0.01,0.13,,,6.14,,,0.82,0.00,0.00,4.85,0.00
sindresorhus,slash,0.01,0.01,10.00,0.00,0.00,0.01,0.04,0.00,10.00,0.80,0.01,0.01,0.16,5.00,1.18,2.07,2.73,0.00,0.00,1.76,2.50,0.00,6.65,0.14,1.00,0.02,0.05,0.05,8.90,0.40,0.01,0.01,0.03,0.70,,,8.50,10.00,6.01,0.00,1.04,0.01,0.08,0.01,,6.79,,,0.82,,6.64,0.00,0.00
ashtuchkin,iconv-lite,0.14,0.04,7.50,0.36,0.79,0.07,1.51,0.24,8.00,0.47,0.39,0.04,1.25,6.00,2.79,3.17,1.82,0.00,0.00,2.94,2.50,0.13,8.40,0.19,0.00,0.11,0.21,0.29,9.10,0.87,0.14,0.04,0.09,1.25,,,4.20,0.47,6.03,0.00,0.69,0.02,0.07,,,7.95,,,0.82,,8.40,0.10,0.00
micromatch,micromatch,0.12,0.02,8.40,0.38,0.28,0.08,0.97,0.54,9.00,1.07,0.33,0.04,0.53,7.00,4.71,4.02,3.64,1.00,0.00,2.35,1.50,0.06,7.75,0.16,1.00,0.06,0.18,0.37,9.20,5.71,0.12,0.02,0.04,1.16,0.04,,8.70,0.25,5.91,0.00,0.20,0.02,0.08,0.02,,5.85,0.00,,0.68,0.09,7.75,0.00,0.00
sindresorhus,make-dir,0.02,0.00,8.70,0.09,0.01,0.02,0.10,0.12,10.00,0.32,0.00,0.06,0.28,8.00,1.47,2.80,4.55,0.00,0.00,1.76,2.50,0.01,6.93,0.10,2.00,0.03,0.07,0.03,9.60,0.63,0.02,0.00,0.02,0.38,,,8.50,10.00,6.01,0.00,1.10,0.01,0.10,0.01,,4.18,,,0.82,,6.92,0.02,0.00
sindresorhus,globby,0.11,0.02,7.40,0.46,0.55,0.05,1.08,0.56,10.00,0.37,0.08,0.08,1.25,7.00,2.65,3.41,4.55,5.00,0.00,3.24,2.00,0.06,6.29,0.46,2.00,0.06,0.31,0.13,8.60,1.27,0.11,0.02,0.03,0.75,0.00,0.06,8.50,10.00,6.01,0.00,2.85,0.01,0.13,0.07,,6.15,,0.00,0.96,0.00,6.29,0.00,0.00
broofa,mime,0.09,0.05,10.00,0.85,0.58,0.04,0.92,0.30,10.00,1.37,0.76,0.04,1.78,5.00,1.99,2.20,0.91,10.00,0.00,2.65,2.50,0.00,8.04,0.29,1.00,0.10,0.29,0.53,9.20,1.11,0.09,0.05,0.03,0.99,0.06,0.10,5.70,0.57,4.37,0.00,0.70,0.01,0.07,,,9.12,0.00,0.00,0.82,0.00,8.04,0.38,0.00
minimistjs,minimist,0.02,0.00,6.70,0.13,0.00,0.10,0.17,0.18,8.00,0.18,0.07,0.06,0.12,7.00,3.82,3.17,3.64,6.00,0.00,1.76,1.00,0.03,8.46,1.14,4.00,0.07,0.10,0.11,9.00,0.48,0.02,0.00,0.01,1.01,,0.02,7.50,0.02,1.09,0.01,1.10,0.01,0.18,,,0.45,,,0.82,,8.46,0.01,0.00
feross,buffer,0.08,0.03,7.90,0.38,0.58,0.07,1.05,1.00,10.00,0.81,0.46,0.08,2.08,7.00,2.43,3.29,5.45,8.00,0.00,2.35,2.50,0.08,4.74,0.33,1.00,0.09,0.42,0.87,8.80,1.98,0.08,0.03,0.04,0.81,0.24,0.16,4.20,1.32,6.09,0.00,0.89,0.02,0.08,,,6.56,,0.14,1.10,0.09,4.74,0.01,0.00
jprichardson,node-jsonfile,0.05,0.04,9.70,0.41,0.27,0.05,0.61,0.42,10.00,1.21,0.16,0.03,0.81,6.00,2.21,3.29,3.64,0.00,0.00,2.65,3.00,0.01,0.00,0.00,1.00,0.08,0.12,0.24,9.70,0.32,0.05,0.04,0.04,0.74,,,4.20,1.50,7.76,0.00,1.64,0.01,0.08,,,7.37,,,0.82,,0.00,0.00,0.00
visionmedia,bytes.js,0.02,0.01,8.80,1.53,1.58,0.02,0.17,0.30,9.00,1.42,0.99,0.01,0.42,3.00,2.21,2.93,0.91,0.00,0.00,2.65,2.50,0.01,0.00,0.00,0.00,0.04,0.11,0.10,8.80,0.32,0.02,0.01,0.01,0.68,,,3.70,0.22,8.66,0.00,1.80,0.01,0.18,,,7.55,,,0.82,,0.00,0.01,0.00
jshttp,http-errors,0.07,0.01,8.00,1.27,0.20,0.02,0.31,0.52,9.00,0.62,0.43,0.03,0.53,3.00,3.16,4.02,0.91,0.00,0.00,3.24,3.00,0.02,7.98,0.12,0.00,0.04,0.09,0.08,9.30,0.79,0.07,0.01,0.04,1.02,0.00,,3.70,0.25,7.37,0.00,1.56,0.00,0.33,,,6.01,0.00,,0.68,,7.97,0.01,0.00
isaacs,node-graceful-fs,0.06,0.02,8.60,1.25,1.18,0.05,1.71,0.00,8.00,1.16,1.03,0.04,1.69,2.00,2.57,2.56,0.91,0.00,0.22,4.71,4.00,0.07,0.00,0.00,2.00,0.11,0.18,0.23,8.40,0.95,0.06,0.02,0.04,0.94,,,4.20,4.19,7.22,0.00,0.99,0.01,0.02,,,8.16,,,0.82,,0.00,0.74,0.00
webpack,loader-utils,0.03,0.02,9.30,1.80,1.07,0.05,0.88,0.16,10.00,0.92,0.26,0.08,1.41,6.00,2.87,2.32,1.82,4.00,0.13,3.53,2.00,0.02,5.22,0.28,3.00,0.11,0.24,0.44,8.70,0.48,0.03,0.02,0.03,0.75,0.00,0.00,5.00,0.44,6.89,0.00,2.01,0.02,0.13,0.06,,7.28,0.00,,0.68,,5.22,1.27,0.00
caolan,async,1.28,0.31,9.90,0.26,0.12,0.30,2.77,6.42,10.00,0.23,0.13,0.30,2.91,7.00,1.03,1.59,2.73,10.00,0.56,2.35,1.50,0.01,6.30,1.19,1.00,0.13,1.47,2.78,9.50,0.00,1.28,0.31,0.98,0.90,0.26,0.26,4.20,1.23,7.49,0.00,0.86,0.30,0.23,0.01,,8.94,0.27,0.00,0.68,0.00,6.32,2.80,0.00
thlorenz,convert-source-map,0.01,0.01,9.30,2.88,3.84,0.01,0.20,0.02,10.00,1.81,0.60,0.04,0.72,4.00,2.94,6.83,3.64,0.00,0.00,2.65,3.00,0.00,6.97,0.08,1.00,0.12,0.14,0.16,9.00,1.90,0.01,0.01,0.01,0.84,0.02,0.00,4.20,4.38,6.33,0.00,2.16,0.00,0.08,,,7.03,0.27,,0.55,,6.97,0.00,0.00
cosmiconfig,cosmiconfig,0.17,0.02,9.60,0.70,0.27,0.10,1.01,0.36,10.00,0.48,0.08,0.13,1.43,7.00,3.46,4.76,0.91,6.00,0.00,2.65,2.00,0.02,5.60,0.12,2.00,0.09,0.21,0.18,9.20,2.78,0.17,0.02,0.03,1.18,,,5.00,0.00,6.21,0.00,1.43,0.05,0.18,0.02,,5.21,,,0.82,,5.60,2.12,3.43
dougwilson,nodejs-depd,0.01,0.01,8.60,0.51,0.09,0.02,0.21,0.52,4.00,1.06,0.73,0.01,0.21,0.00,4.71,5.37,0.91,0.00,0.00,2.35,3.00,0.02,8.03,0.06,0.00,0.04,0.01,0.02,8.10,1.27,0.01,0.01,0.01,1.19,,,4.20,0.27,8.79,0.00,0.03,0.00,0.12,0.04,,6.17,,,0.82,,8.03,0.02,0.00
facebook,regenerator,0.17,0.15,7.70,0.57,0.68,0.13,1.32,1.46,10.00,0.50,0.20,0.23,2.24,5.00,2.06,1.71,2.73,10.00,0.00,2.06,1.00,0.14,0.01,0.01,3.00,0.18,0.43,0.74,7.60,0.00,0.17,0.15,0.13,0.87,0.22,0.22,7.50,1.22,4.61,0.00,1.27,0.03,0.12,0.09,,6.64,0.27,0.00,0.68,0.00,0.02,0.64,3.43
sindresorhus,strip-json-comments,0.03,0.01,9.70,1.09,1.32,0.02,0.15,0.16,10.00,0.23,0.07,0.02,0.32,6.00,1.32,2.56,3.64,0.00,0.00,1.76,2.50,0.00,6.79,0.11,1.00,0.05,0.11,0.15,8.50,0.56,0.03,0.01,0.02,1.29,,,8.50,10.00,6.01,0.00,1.29,0.01,0.10,0.02,,6.56,,,0.82,,6.78,0.00,0.00
jonschlinkert,isobject,0.00,0.00,7.30,0.17,0.60,0.01,0.07,0.00,9.00,0.84,0.40,0.01,0.28,6.00,1.03,2.93,2.73,0.00,0.00,2.35,3.50,0.01,4.85,0.07,2.00,0.04,0.05,0.13,8.20,0.71,0.00,0.00,0.01,0.43,,,4.20,7.69,6.47,0.00,1.01,0.01,0.10,0.00,,6.14,,,0.82,,4.84,0.07,0.00
jshttp,mime-types,0.06,0.02,8.30,0.65,0.19,0.02,0.26,0.46,8.00,2.21,0.30,0.02,0.69,1.00,3.09,5.98,0.91,2.00,0.00,2.94,4.50,0.02,8.88,0.23,0.00,0.03,0.05,0.05,8.90,0.87,0.06,0.02,0.03,0.75,0.06,,3.70,0.25,7.37,0.00,0.95,0.01,0.33,0.13,,6.25,0.00,,0.68,,8.87,0.01,0.00
node-fetch,node-fetch,0.39,0.14,7.00,0.39,0.35,0.50,4.39,7.56,9.00,0.45,0.29,0.44,4.41,5.00,1.76,2.44,10.00,3.00,0.00,3.53,2.00,0.36,2.88,1.39,4.00,0.19,0.67,0.32,8.10,2.94,0.39,0.14,0.13,1.19,0.08,,8.70,0.04,3.86,0.00,3.00,0.03,0.50,0.17,,5.74,0.54,0.14,0.68,0.09,2.88,0.02,3.71
