owner,repo,stars_and_watchers,forks,downstream_dependents,length_of_comments,change_of_pulls,change_of_contributors,time_to_close_issues,time_to_comment_issues,closed_PRs,time_to_close_PRs,time_to_comment_PRs,commit_tags,health_percentage,headings_of_docs,headings_of_README,projects_owned_by_maintainer,projects_age_owned_by_maintainer,outdated_versions,vulnerabilities,workflow_runs,contributors_per_code_file,files_with_more_than_1_contributors,time_since_created,versions,issues_reporters_count,contributors_count,submitted_PRs,submitted_commits,issues_closed_rate,PRs_closed_rate,comments_per_pull
standard,standard,1.31,0.30,0.09,6.54,1.25,0.69,0.10,0.44,0.06,1.08,0.30,0.18,8.70,0.00,3.25,0.25,5.50,0.01,0.00,0.02,1.62,0.02,5.74,0.01,0.12,0.26,0.10,0.07,2.90,5.56,6.32
koajs,router,0.04,0.02,0.00,6.54,1.32,,0.03,2.06,0.00,1.10,0.70,0.13,8.70,0.00,0.79,0.92,7.06,0.02,0.00,0.00,3.46,0.01,2.73,0.05,0.04,0.04,0.02,0.01,1.70,3.33,6.32
yuanchuan,node-watch,0.02,0.01,0.02,6.54,1.32,,4.91,,0.00,0.62,0.55,0.12,4.20,0.00,0.95,0.37,5.85,0.00,0.00,0.00,0.88,0.00,7.59,0.02,0.00,0.09,0.00,0.01,10.00,10.00,6.32
prettier,tslint-config-prettier,0.06,0.01,0.04,6.54,1.32,,,,,,,0.23,6.20,0.86,0.71,0.36,3.79,2.45,2.50,0.00,0.88,0.10,4.12,0.04,,,,,,,6.32
rollup,rollup-plugin-node-resolve,0.02,0.01,0.08,6.54,1.32,,,,,,,0.25,5.00,0.00,0.79,0.41,5.24,2.61,0.86,0.00,0.66,0.03,5.24,0.00,,,,,,,6.32
ethereumjs,ethereumjs-tx,0.04,0.03,0.07,6.54,1.32,,,,,,,0.70,5.00,0.00,0.79,0.45,5.28,0.10,0.00,0.00,1.84,0.02,5.50,0.02,,,,,,,6.32
oblador,react-native-vector-icons,0.78,0.27,0.17,6.53,1.43,0.97,1.88,0.48,0.10,1.14,0.67,0.17,7.10,1.14,3.10,1.00,4.83,3.55,1.12,0.01,0.74,0.06,5.54,0.16,0.37,0.83,0.15,0.06,5.50,5.56,6.32
pvorb,node-sha1,0.00,0.00,0.05,6.53,1.32,,,,,,,,4.20,0.00,0.16,0.98,7.83,0.01,0.00,0.00,0.15,0.00,8.05,0.00,,,,,,,6.32
ianschmitz,jest-environment-jsdom-fourteen,0.00,0.00,0.36,6.53,1.32,,,,,,,0.12,4.20,0.00,0.16,0.46,2.76,0.15,0.00,0.00,0.00,,2.91,0.00,,,,,,,6.32
ant-design,babel-plugin-import,0.14,0.05,0.05,6.53,1.32,,0.00,3.04,0.01,0.00,0.00,0.22,3.70,0.00,0.56,1.17,3.29,0.29,0.00,0.00,1.25,0.03,5.19,0.04,0.01,0.09,0.01,0.01,5.00,10.00,6.32
geowarin,friendly-errors-webpack-plugin,0.03,0.01,0.33,6.53,1.32,,,,,,,0.17,4.20,0.00,1.19,1.65,4.73,2.41,2.93,0.00,0.81,0.01,4.69,0.04,,,,,,,6.32
vuejs,babel-helper-vue-jsx-merge-props,0.00,0.00,0.17,6.53,1.32,,,,,,,0.10,1.20,0.00,,1.11,4.79,0.00,0.00,0.00,0.37,0.00,4.74,,,,,,,,6.32
jadejs,jade,0.98,0.25,0.19,6.53,1.32,,0.00,1.72,,,,0.33,3.70,0.00,1.59,,,1.75,1.29,0.00,0.66,0.24,8.90,0.05,0.07,,,,4.00,,6.32
terinjokes,gulp-uglify,0.06,0.02,0.26,6.53,1.32,,,,,,,0.25,4.20,0.00,0.48,1.26,5.25,0.10,0.00,0.00,0.44,0.00,6.82,0.02,,,,,,,6.32
gruntjs,grunt-contrib-copy,0.03,0.02,0.14,6.53,1.32,,,,,,,0.12,5.00,0.00,0.48,0.59,7.96,0.01,0.00,0.00,1.25,0.01,7.38,,,,,,,,6.32
fluent-ffmpeg,node-fluent-ffmpeg,0.34,0.11,0.00,6.53,1.36,,2.26,2.75,0.01,0.00,0.04,0.18,5.00,0.00,2.06,0.01,8.39,0.18,0.09,0.00,2.43,0.02,8.35,,0.23,0.00,0.01,0.01,3.60,7.78,6.32
vpulim,node-soap,0.13,0.19,0.00,6.53,1.32,0.69,,,0.00,0.00,0.91,0.32,7.10,1.43,4.68,0.58,4.66,0.49,0.47,0.00,1.10,0.12,8.36,0.15,,,0.03,,,0.00,6.32
systemjs,systemjs,0.58,0.14,0.05,6.53,1.36,,0.29,0.33,0.01,0.16,0.09,0.20,5.00,0.00,1.67,0.17,6.14,0.03,0.00,0.00,0.22,0.05,6.91,0.47,0.09,0.09,0.01,0.01,3.10,7.78,6.32
gruntjs,grunt-contrib-clean,0.02,0.01,0.15,6.53,1.32,,,,,,,0.13,5.00,0.00,0.48,0.59,7.96,0.64,0.13,0.00,1.54,0.01,7.39,0.00,,,0.00,,,,6.32
gruntjs,grunt-contrib-watch,0.09,0.05,0.20,6.53,1.32,,,,,,,0.17,5.00,0.00,0.56,0.59,7.96,0.01,0.00,0.00,1.54,0.01,7.36,,0.00,,,,0.00,,6.32
redux-utilities,redux-actions,0.30,0.04,0.02,6.53,1.32,,,6.29,,,,0.15,3.70,0.00,0.48,0.03,6.47,0.63,0.34,0.00,1.62,0.04,5.45,0.08,0.01,,0.01,,0.00,,6.32
tschaub,gh-pages,0.14,0.02,0.48,6.52,1.32,0.83,7.08,0.85,0.18,0.60,0.66,0.15,4.20,0.00,1.11,2.33,5.65,0.14,0.00,0.00,0.96,0.02,6.33,0.03,0.03,0.17,0.18,0.10,2.50,10.00,6.32
redux-form,redux-form,0.57,0.21,0.04,6.52,1.32,,,,,,0.04,0.60,8.70,3.14,0.71,0.03,4.40,4.61,2.59,0.00,1.25,0.22,5.39,0.50,0.00,,0.00,,0.00,,6.32
patrick-steele-idem,child-process-promise,0.01,0.00,0.01,6.52,1.32,,,,,,,0.12,4.20,0.00,0.40,1.08,6.63,0.26,0.00,0.00,0.51,0.00,6.75,,,,,,,,6.32
node-modules,urllib,0.03,0.01,0.01,6.53,1.14,0.69,1.77,0.79,0.08,0.02,0.00,0.05,3.70,0.00,1.27,1.05,5.90,0.03,0.00,0.01,0.59,0.02,8.28,0.07,0.05,0.13,0.08,0.05,6.70,8.89,6.32
bitcoinjs,bip39,0.05,0.05,0.05,6.53,1.32,,0.00,0.00,0.00,0.00,,0.05,5.00,0.57,0.40,0.35,5.55,0.23,0.09,0.00,1.25,0.02,6.35,,0.00,0.04,0.00,0.00,10.00,10.00,6.32
discordjs,discord.js,1.12,0.50,0.12,6.59,1.10,0.56,0.76,0.23,1.18,0.42,0.00,1.01,8.70,0.00,0.48,0.28,3.29,3.05,0.26,0.60,0.51,0.20,5.37,0.52,0.98,1.91,1.20,0.62,9.10,10.00,6.84
ElemeFE,element,2.46,1.87,0.00,6.58,1.32,0.83,0.63,0.49,0.03,0.04,0.05,1.36,5.00,0.00,0.87,0.51,5.62,3.93,5.04,0.00,0.88,0.18,4.64,0.35,1.29,0.30,0.24,0.02,1.20,0.00,6.84
Level,level,0.07,0.02,0.05,6.58,1.39,,,3.98,0.01,0.49,0.79,0.51,6.20,0.00,2.38,0.46,5.72,0.01,0.00,0.00,1.84,0.01,6.90,0.10,0.01,0.04,0.01,0.00,0.00,7.78,6.84
gruntjs,grunt-contrib-uglify,0.07,0.05,0.20,6.58,1.32,,,,,,,0.13,5.00,0.00,0.48,0.59,7.96,0.76,0.22,0.00,2.43,0.04,7.33,0.04,,,0.00,,,,6.84
rollup,rollup-plugin-commonjs,0.02,0.02,0.07,6.58,1.32,,,,,,,0.27,3.70,0.00,0.63,0.41,5.24,2.80,1.34,0.00,0.59,0.04,5.24,,,,,,,,6.84
robrich,gulp-if,0.03,0.00,0.07,6.58,1.32,,,,,,,0.08,4.20,0.00,0.40,1.94,5.03,0.01,0.00,0.00,0.51,0.00,6.46,,,,,,,,6.84
grpc,grpc-node,0.19,0.08,0.00,6.58,1.58,0.97,0.68,0.10,0.44,0.10,0.15,0.32,8.70,0.29,0.71,0.23,4.63,0.12,0.00,0.01,0.37,0.11,4.02,0.60,0.45,0.57,0.43,0.44,6.60,10.00,6.32
aheckmann,gm,0.31,0.08,0.01,6.58,1.28,,,,,,,0.12,2.80,0.00,1.75,0.56,8.06,0.00,0.00,0.00,0.88,0.04,8.92,,0.01,,0.00,,0.00,,6.32
DiegoRBaquero,node-os,0.00,0.00,0.02,6.58,1.32,,,,,,,0.12,2.80,0.00,0.24,0.93,4.20,0.00,0.00,0.00,0.00,,4.91,,,,,,,,6.32
helloIAmPau,node-spinner,0.01,0.00,0.01,6.58,1.32,,,,,,,0.08,4.20,0.00,0.40,0.08,4.07,0.00,0.00,0.00,2.35,0.00,6.57,,,,,,,,6.32
Level,leveldown,0.03,0.02,0.03,6.58,1.32,,,,0.00,0.04,0.04,0.60,6.20,0.00,,0.46,5.72,0.03,0.00,0.00,0.44,0.13,7.15,0.14,,,0.00,,,10.00,6.32
lazd,gulp-replace,0.02,0.01,0.06,6.58,1.32,,,,,,,0.10,4.20,0.00,0.95,1.20,5.79,0.08,0.34,0.00,0.88,0.01,6.52,0.03,,,,,,,6.32
karma-runner,karma-mocha,0.02,0.01,0.06,6.58,1.32,,,,,,,0.27,5.00,0.00,0.32,0.41,7.63,1.99,3.32,0.00,1.69,0.01,7.05,0.00,0.00,,,,0.00,,6.32
sindresorhus,deep-assign,0.01,0.00,0.13,6.58,1.32,,,,,,,0.10,7.10,0.00,0.56,10.00,6.01,0.00,0.00,0.00,0.66,0.00,5.31,,,,,,,,6.32
Semantic-Org,Semantic-UI-React,0.60,0.51,0.06,6.58,1.03,,2.44,0.18,0.05,0.18,0.00,0.51,6.20,0.00,0.95,0.68,6.76,7.00,7.03,0.00,0.37,0.29,5.47,0.05,0.13,0.17,0.05,0.03,6.10,7.78,6.84
reactjs,react-router-redux,0.36,0.08,0.00,6.58,1.32,,,,,,,0.12,3.70,0.00,0.56,0.63,4.10,4.69,3.92,0.00,1.99,0.02,5.21,0.04,,,,,,,6.84
koajs,koa-body,0.04,0.02,0.03,6.58,1.28,,,,0.00,1.90,1.01,0.08,8.70,0.00,1.11,0.92,7.06,0.02,3.92,0.00,1.91,0.01,6.42,0.00,0.01,0.00,0.00,0.00,0.00,4.44,6.84
bahamas10,node-clear,0.01,0.00,0.02,6.58,1.32,,,,,,,0.08,2.80,0.00,0.08,2.88,6.68,0.00,0.00,0.00,0.00,,7.46,,,,,,,,6.84
babel,gulp-babel,0.06,0.02,0.08,6.58,1.32,,,,,,,0.12,5.00,0.00,0.87,0.55,5.42,1.03,1.16,0.00,2.57,0.00,5.97,0.01,,,,,,,6.84
Trott,slug,0.01,0.00,0.01,6.58,1.39,0.83,1.23,0.07,0.11,0.13,0.42,0.15,5.70,2.00,0.40,3.43,5.30,0.32,0.04,0.01,1.03,0.01,3.17,,0.04,0.09,0.11,0.04,8.00,10.00,6.32
elastic,elasticsearch-js-legacy,0.00,0.00,0.00,6.58,1.32,,,,,,,0.12,5.00,0.00,0.00,6.41,3.44,0.19,0.00,0.00,0.74,0.05,2.91,,,,,,,,6.32
enricomarino,is,0.01,0.00,0.09,6.58,1.32,,,,,,,,4.20,0.00,1.51,0.90,7.90,0.01,0.00,0.00,0.44,0.00,7.96,,,,,,,,6.32
jgthms,bulma,2.19,0.50,0.07,6.57,1.21,0.28,1.12,1.34,0.05,0.89,2.96,0.43,7.10,0.00,0.95,0.81,4.77,2.57,0.34,0.00,0.15,0.05,5.06,0.04,0.27,0.22,0.09,0.06,3.10,4.44,6.32
koajs,mount,0.03,0.01,0.00,6.57,1.32,,,,,,,0.12,7.50,0.00,0.63,0.92,7.06,0.02,0.00,0.00,1.03,0.01,6.73,,,,,,,,6.32
gruntjs,grunt-contrib-concat,0.04,0.02,0.14,6.57,1.32,,,,0.00,0.64,,0.12,5.00,0.00,0.48,0.59,7.96,0.70,0.17,0.00,1.47,0.01,7.33,0.00,,0.04,0.00,0.00,,10.00,6.32
aseemk,requireDir,0.02,0.01,0.00,6.57,1.32,,,,,,,0.10,4.20,0.00,0.48,0.28,8.57,0.03,0.00,0.00,0.44,0.01,7.51,0.01,,,,,,,6.32
yeoman,yosay,0.01,0.01,0.01,6.57,1.32,,,,,,,0.12,5.00,0.00,0.32,0.43,7.66,0.00,0.00,0.00,0.88,0.01,6.24,0.01,,0.00,,0.00,,,6.32
felixge,node-require-all,0.01,0.01,0.01,6.57,1.32,,,,,,,,4.20,0.00,0.48,2.58,6.83,0.00,0.00,0.00,1.10,0.00,7.88,,,,,,,,6.32
sindresorhus,gulp-autoprefixer,0.03,0.01,0.20,6.57,1.32,,0.01,0.01,,,,0.15,8.50,0.00,0.56,10.00,6.01,0.00,0.00,0.00,0.96,0.00,6.01,0.01,0.01,0.00,,0.00,10.00,,6.32
hokaccha,node-jwt-simple,0.06,0.02,0.02,6.57,1.32,,,,,,,,4.20,0.00,0.40,1.95,6.20,0.10,1.34,0.00,1.54,0.00,7.81,,,,,,,,6.32
scniro,gulp-clean-css,0.03,0.01,0.14,6.57,1.28,,,,0.00,0.00,,0.12,4.20,0.00,0.48,0.36,5.13,0.01,0.00,0.00,0.22,0.01,5.01,0.07,0.01,,0.00,,0.00,10.00,6.32
floatdrop,gulp-plumber,0.04,0.00,0.13,6.57,1.32,,,,,,,0.10,4.20,0.00,0.48,3.33,6.40,0.03,0.00,0.00,0.51,0.00,6.47,,,,,,,,6.32
restify,node-restify,0.49,0.13,0.00,6.57,1.32,,1.35,1.91,0.00,0.01,3.99,0.35,7.50,4.29,0.71,0.08,6.89,0.16,0.00,0.00,1.18,0.05,8.32,0.03,0.04,0.04,0.01,0.00,1.70,1.11,6.32
apollographql,react-apollo,0.31,0.10,0.02,6.57,1.32,,,,,,,0.47,8.70,2.57,0.32,1.58,2.53,1.23,1.68,0.00,0.59,0.06,4.91,0.20,,,,,,,6.32
postcss,gulp-postcss,0.04,0.01,0.07,6.57,1.39,,0.43,0.51,0.00,0.00,0.00,0.10,3.70,0.00,0.79,0.49,6.08,0.04,0.00,0.00,2.35,0.00,6.05,0.09,0.00,0.00,0.00,0.01,10.00,10.00,6.32
OverZealous,run-sequence,0.04,0.01,0.07,6.57,1.32,,,,,,,0.12,4.20,0.00,0.40,0.41,5.99,0.08,1.21,0.00,0.44,0.00,6.45,,,,,,,,6.32
koajs,logger,0.03,0.01,0.00,6.57,1.32,,,,,,,0.08,8.70,0.00,0.48,0.92,7.06,0.02,0.00,0.00,2.50,0.00,6.73,0.00,,,,,,,6.32
jaredhanson,passport-oauth,0.01,0.01,0.01,6.57,1.36,,,,0.00,0.00,,0.00,4.20,0.00,0.40,3.78,7.08,0.02,0.00,0.00,0.15,0.00,8.01,,,,0.00,,,10.00,6.32
hughsk,vinyl-source-stream,0.02,0.00,0.04,6.57,1.32,,,,,,,0.08,4.20,0.00,0.40,4.46,7.36,0.00,0.00,0.00,1.03,0.00,6.46,,,,,,,,6.32
MoOx,postcss-cssnext,0.24,0.03,0.05,6.57,1.32,,,,,,,0.32,7.10,1.14,0.32,1.33,5.13,4.19,5.47,0.00,0.37,0.04,6.08,0.09,,,,,,,6.32
ivogabe,gulp-typescript,0.04,0.02,0.02,6.57,1.32,,,,,,,0.18,4.20,0.00,0.00,0.27,5.21,0.12,1.03,0.00,0.29,0.12,6.24,0.16,,,,,,,6.32
sindresorhus,gulp-filter,0.01,0.00,0.03,6.57,1.32,,0.02,0.00,0.00,0.05,,0.12,7.10,0.00,0.71,10.00,6.01,0.00,0.00,0.00,1.40,0.00,6.46,0.02,0.01,0.04,0.00,0.01,10.00,10.00,6.32
adametry,gulp-eslint,0.03,0.02,0.05,6.57,1.32,,,,,,,0.10,4.20,0.00,1.27,0.05,5.88,0.60,2.20,0.00,1.62,0.01,6.48,0.00,,,,,,,6.32
sindresorhus,gulp-imagemin,0.09,0.02,0.12,6.57,1.32,,,8.75,,,,0.10,8.50,0.00,0.63,10.00,6.01,0.00,0.00,0.00,1.91,0.00,6.48,0.02,0.00,0.00,,0.00,0.00,,6.32
hughsk,vinyl-buffer,0.00,0.00,0.03,6.57,1.32,,,,,,,0.10,4.20,0.00,0.32,4.46,7.36,0.00,0.00,0.00,0.59,0.00,6.38,,,,,,,,6.32
jaredhanson,connect-flash,0.06,0.02,0.09,6.57,1.32,,,,,,,0.15,4.20,0.00,0.56,3.78,7.08,0.03,0.00,0.00,0.07,0.00,7.71,,,,,,,,6.32
palantir,tslint-react,0.03,0.01,0.02,6.57,1.32,,,,,,,0.45,3.70,0.00,0.40,2.05,4.62,0.13,0.26,0.00,0.59,0.02,4.79,0.07,,,,,,,6.32
karma-runner,karma-phantomjs-launcher,0.01,0.02,0.09,6.57,1.32,,,,,,,0.27,5.00,0.00,0.24,0.41,7.63,0.45,3.62,0.00,1.54,0.00,7.05,,,,,,,,6.32
s-panferov,awesome-typescript-loader,0.11,0.02,0.03,6.57,1.32,,,,,,,0.20,5.70,1.71,2.22,0.78,5.64,0.76,2.80,0.00,0.37,0.01,5.70,0.02,,,,,,,6.32
gruntjs,grunt-contrib-jshint,0.03,0.03,0.18,6.57,1.32,,,,0.01,1.12,,0.12,5.00,0.00,0.48,0.59,7.96,0.75,0.43,0.00,3.24,0.01,7.33,0.03,,0.09,0.01,0.01,,10.00,6.32
clessg,progress-bar-webpack-plugin,0.02,0.01,0.02,6.57,1.32,,,,,,,0.10,4.20,0.00,0.40,0.43,5.87,0.01,0.00,0.00,1.69,0.00,5.24,,,,,,,,6.32
gulp-community,gulp-less,0.03,0.01,0.06,6.57,1.32,,,,,,,0.10,2.50,0.00,0.71,0.19,7.13,0.01,0.00,0.00,2.06,0.01,6.81,0.02,0.00,,,,0.00,,6.32
jackfranklin,gulp-load-plugins,0.03,0.01,0.05,6.57,1.32,,,,,,,0.12,8.50,2.86,1.03,2.92,6.28,0.13,0.13,0.00,2.43,0.01,6.53,0.01,,,,,,,6.32
floatdrop,gulp-watch,0.03,0.01,0.05,6.57,1.32,,,0.00,,,,0.20,4.20,0.00,0.71,3.33,6.40,0.80,1.25,0.00,0.74,0.01,6.44,0.02,0.01,,,,0.00,,6.32
buglabs,node-xml2json,0.04,0.03,0.00,6.57,1.32,,,,,,,0.00,2.50,0.00,0.56,0.65,8.64,0.20,0.99,0.00,1.25,0.02,8.20,,,,,,,,6.32
jdesboeufs,connect-mongo,0.09,0.04,0.06,6.57,1.32,,1.00,2.04,0.00,2.15,0.09,0.25,7.10,0.00,2.14,0.66,4.86,5.53,1.34,0.00,1.40,0.01,8.41,,0.04,0.04,0.00,0.00,5.00,4.44,6.32
loganfsmyth,babel-plugin-transform-decorators-legacy,0.04,0.01,0.05,6.57,1.32,,,,,,,0.10,4.20,0.00,0.48,0.61,5.73,0.40,0.00,0.00,0.37,0.00,5.16,0.00,,,,,,,6.32
maritz,node-sprintf,0.00,0.00,0.01,6.57,1.32,,,,,,,,2.80,0.00,0.40,0.41,6.28,0.00,0.00,0.00,1.03,0.00,8.64,,,,,,,,6.32
ryanmcgrath,wrench-js,0.02,0.01,0.02,6.57,1.32,,,,,,,0.03,4.20,0.00,0.16,0.53,5.50,0.00,0.00,0.00,1.47,0.00,9.10,,,,,,,,6.32
pull-stream,pull-stream,0.04,0.01,0.04,6.57,1.32,,,,,,,0.08,3.70,0.00,1.75,0.49,6.66,0.00,0.00,0.00,0.44,0.02,7.01,,,,,,,,6.32
mikaelbr,gulp-notify,0.03,0.00,0.06,6.57,1.32,,,,,,,0.10,4.20,0.00,1.43,1.89,5.79,0.09,0.34,0.00,0.66,0.00,6.46,0.00,,,0.00,,,,6.32
evilstreak,markdown-js,0.35,0.11,0.00,6.57,1.32,,,,,,,0.05,2.80,0.00,1.43,0.30,6.42,0.01,0.00,0.00,0.15,0.04,9.25,0.00,,,,,,,6.32
Polymer,polymer,1.00,0.26,0.00,6.57,1.32,0.69,1.54,1.67,0.00,6.51,0.00,1.10,6.20,3.71,0.63,0.49,5.45,3.53,0.00,0.00,1.10,0.53,7.41,0.28,0.01,,0.05,,5.00,0.00,6.32
jprichardson,string.js,0.08,0.03,0.00,6.57,1.32,,,,,,,0.07,2.80,0.00,5.79,1.50,7.76,0.04,0.00,0.00,1.10,0.01,7.93,,,,,,,,6.32
goldhand,sw-precache-webpack-plugin,0.07,0.01,0.17,6.57,1.32,,,,,,,0.13,4.20,0.00,1.03,0.96,5.53,4.41,2.11,0.00,0.74,0.00,4.82,,,,,,,,6.32
spalger,gulp-jshint,0.02,0.01,0.06,6.57,1.32,,,,,,,0.10,4.20,0.00,0.95,0.06,5.77,0.10,1.42,0.00,1.62,0.01,6.75,,,,,,,,6.32
nuysoft,Mock,0.88,0.34,0.00,6.57,1.32,,,0.89,,,,0.17,4.20,0.00,0.40,0.09,6.74,0.07,0.00,0.00,0.07,0.00,6.95,0.03,0.01,,,,0.00,,6.32
stylus,nib,0.09,0.03,0.04,6.57,1.32,,,,,,,0.13,3.70,0.00,0.56,0.06,4.99,0.08,0.13,0.00,1.40,0.04,8.36,0.07,,,,,,,6.32
sun-zheng-an,gulp-shell,0.02,0.01,0.03,6.57,1.32,,,,,,,0.12,4.20,0.00,0.48,0.00,7.47,1.65,1.29,0.00,0.88,0.00,6.38,0.04,,,,,,,6.32
caolan,highland,0.16,0.02,0.00,6.57,1.32,,,,,,,0.28,5.70,0.00,0.40,1.23,7.49,0.76,3.28,0.00,3.53,0.02,7.41,,,,,,,,6.32
ftlabs,fastclick,0.85,0.41,0.04,6.57,1.32,,,,,,,0.08,3.70,0.00,1.03,1.00,5.33,0.00,0.00,0.00,0.88,0.01,7.77,0.00,,,,,,,6.32
jamestalmage,cli-table2,0.01,0.00,0.01,6.57,1.32,,,,,,,0.10,4.20,0.00,0.87,3.08,6.12,0.02,0.00,0.00,0.22,0.00,5.82,,,,,,,,6.32
serialport,node-serialport,0.26,0.13,0.01,6.57,1.43,,0.49,1.17,0.15,0.36,0.43,0.37,10.00,3.43,1.03,0.10,3.87,1.05,0.17,0.04,0.51,0.11,8.75,0.24,0.23,0.09,0.22,0.31,2.50,6.67,6.32
nathanpeck,clui,0.08,0.01,0.01,6.57,1.32,,,,,,,0.08,4.20,0.00,,0.90,4.94,0.01,0.00,0.00,0.44,0.00,6.30,,,,,,,,6.32
hapijs,hapi,0.66,0.17,0.02,6.57,1.32,,0.91,0.29,0.01,3.14,1.30,0.27,7.50,0.00,0.32,0.67,6.17,0.01,0.00,0.00,1.76,0.18,8.13,0.03,0.11,0.13,0.04,0.01,3.10,2.22,6.32
baryon,tracer,0.05,0.02,0.00,6.57,1.32,,,,,,,0.12,2.80,0.00,5.40,1.36,4.08,0.41,0.22,0.00,1.10,0.02,7.74,0.01,,0.00,0.00,0.00,,,6.32
louischatriot,nedb,0.61,0.13,0.01,6.57,1.32,,,3.35,,,,0.10,4.20,0.00,1.67,0.75,5.82,0.08,0.00,0.00,0.59,0.01,6.94,,0.01,,,,0.00,,6.32
Timer,fork-ts-checker-webpack-plugin,0.00,0.00,0.06,6.57,1.32,,,,,,,0.12,,0.00,1.03,1.32,4.20,0.00,2.93,0.00,1.84,0.04,3.18,,,,,,,,6.32
nodegit,nodegit,0.25,0.09,0.00,6.57,1.39,,6.81,4.12,0.00,0.03,,0.22,5.00,0.57,0.79,0.09,6.43,0.19,0.47,0.00,0.88,0.93,8.45,0.21,0.04,0.04,0.00,0.01,2.00,10.00,6.32
pouchdb,pouchdb,0.74,0.19,0.01,6.56,1.25,0.69,1.52,0.95,0.48,0.60,0.52,0.18,6.20,0.29,0.00,0.46,6.78,0.14,0.00,0.04,1.10,0.58,8.92,0.16,0.17,0.35,0.51,0.32,3.70,8.89,6.32
sindresorhus,unique-random-array,0.00,0.00,0.01,6.56,1.32,,,,,,,0.10,7.10,0.00,0.48,10.00,6.01,0.01,0.00,0.00,0.51,0.00,5.76,0.00,,,,,,,6.32
jupyterlab,jupyterlab,0.62,0.38,0.00,6.56,2.09,1.39,1.06,0.24,2.19,0.42,,2.29,8.70,0.29,1.11,0.56,3.60,3.50,0.17,3.01,3.16,2.61,4.81,0.45,1.84,2.70,2.28,0.62,5.60,8.89,6.32
dthree,vorpal,0.26,0.04,0.00,6.56,1.32,,,,,,,0.13,4.20,0.00,0.79,0.07,3.65,0.28,0.00,0.00,2.28,0.02,5.35,,,,0.00,,,,6.32
hapijs,inert,0.01,0.01,0.01,6.56,1.32,,,,0.00,0.14,,0.27,7.50,0.00,0.24,0.67,6.17,0.01,0.00,0.00,1.32,0.01,5.95,0.01,,,0.00,,,10.00,6.32
EvanOxfeld,node-unzip,0.03,0.04,0.00,6.56,1.32,,,,,,,0.10,4.20,0.00,0.48,0.34,7.25,0.01,0.04,0.00,0.59,0.00,7.44,,,,,,,,6.32
cloudhead,node-static,0.10,0.03,0.02,6.56,1.32,,,,,,,0.12,4.20,0.00,1.59,0.83,7.07,0.17,0.30,0.00,1.69,0.01,8.83,,0.00,,,,0.00,,6.32
danwrong,restler,0.09,0.05,0.00,6.56,1.32,,,,,,,0.00,4.20,0.00,1.03,0.28,10.00,0.01,0.00,0.00,2.57,0.01,9.29,,,,,,,,6.32
alibaba,BizCharts,0.28,0.09,0.00,6.56,1.32,,0.02,0.29,,,,0.20,3.70,0.00,0.95,3.77,3.78,0.80,0.00,0.00,0.59,0.20,3.83,0.05,0.11,0.00,,0.02,0.80,,6.32
metalsmith,metalsmith,0.36,0.08,0.00,6.56,1.32,,0.82,1.85,0.00,0.44,0.47,0.33,8.70,3.14,1.35,0.29,4.58,0.21,0.00,0.00,0.66,0.05,6.41,0.02,0.02,0.04,0.00,0.02,2.50,10.00,6.32
zilverline,react-tap-event-plugin,0.05,0.01,0.01,6.56,1.32,,,,,,,0.10,,0.00,0.56,0.82,6.22,0.00,0.00,0.00,0.74,0.00,6.03,0.00,,,,,,,6.32
slushjs,gulp-install,0.00,0.01,0.01,6.56,1.32,,,,,,,0.10,3.70,0.00,1.51,0.05,7.37,0.03,0.00,0.00,1.03,0.00,6.32,0.00,,,,,,,6.32
sindresorhus,gulp-template,0.01,0.01,0.00,6.56,1.32,,,,,,,0.10,7.10,0.00,1.03,10.00,6.01,0.00,0.00,0.00,0.66,0.00,6.51,0.00,,0.00,,0.00,,,6.32
shockie,node-iniparser,0.00,0.00,0.00,6.56,1.32,,,,,,,,2.80,0.00,0.24,0.11,4.83,0.00,0.00,0.00,0.66,0.00,8.72,,,,,,,,6.32
redis,hiredis-node,0.01,0.01,0.00,6.56,1.32,,,,,,,0.05,3.70,0.00,0.56,0.28,5.61,0.00,0.00,0.00,1.25,0.01,8.61,0.00,,,,,,,6.32
alibaba-fusion,next,0.21,0.07,0.00,6.57,1.25,0.42,1.93,1.51,0.61,0.36,0.40,0.66,3.70,0.00,1.03,0.25,3.73,6.21,3.02,0.23,1.10,0.80,3.41,0.85,0.66,1.04,0.65,0.56,6.90,8.89,6.32
iview,iview,1.09,0.53,0.01,6.57,1.36,,,2.08,,,,0.47,5.00,0.00,0.87,0.15,4.85,3.96,6.16,0.00,1.69,0.29,4.71,0.20,0.02,,0.00,,0.00,,6.32
phosphorjs,phosphor,0.05,0.02,0.00,6.57,1.32,,,,,,,0.20,3.70,0.86,0.08,0.03,6.48,1.97,5.04,0.00,0.51,0.43,5.66,,,,,,,,6.32
ipfs,js-ipfs,0.34,0.16,0.00,6.57,1.32,,,,,,,1.31,7.50,0.57,0.79,1.97,3.76,1.18,0.00,0.01,0.81,1.32,6.20,2.37,,,,,,,6.32
johnagan,clean-webpack-plugin,0.09,0.02,0.21,6.57,1.32,,,,,,,0.10,4.20,0.00,0.48,0.29,5.73,0.27,0.00,0.00,1.10,0.01,5.61,0.01,,,,,,,6.32
