owner,repo,stars_and_watchers,forks,downstream_dependents,length_of_comments,change_of_pulls,change_of_contributors,time_to_close_issues,time_to_comment_issues,closed_PRs,time_to_close_PRs,time_to_comment_PRs,commit_tags,health_percentage,headings_of_docs,headings_of_README,projects_owned_by_maintainer,projects_age_owned_by_maintainer,outdated_versions,vulnerabilities,workflow_runs,contributors_per_code_file,files_with_more_than_1_contributors,time_since_created,versions,issues_reporters_count,contributors_count,submitted_PRs,submitted_commits,issues_closed_rate,PRs_closed_rate,comments_per_pull
acdlite,recompose,0.67,0.16,0.08,6.55,1.32,,,,,,,0.15,4.20,0.00,1.90,0.66,6.23,7.48,6.68,0.00,0.81,0.07,5.27,0.10,,,,,,,6.84
cryptocoinjs,secp256k1-node,0.02,0.02,0.00,6.55,1.36,,0.05,0.01,,,0.01,0.12,3.70,0.00,0.32,0.35,7.15,0.01,0.00,0.00,0.74,0.05,5.96,0.05,0.03,,0.00,,2.50,,6.84
facebook,draft-js,1.03,0.34,0.04,6.55,1.32,,,,,,,0.93,7.50,4.86,0.87,1.22,4.61,6.05,5.26,0.00,1.62,0.15,5.01,0.06,,,,,,,6.84
jrburke,r.js,0.12,0.09,0.00,6.55,1.32,,,,,,,0.05,6.20,0.00,2.46,0.94,7.50,0.00,0.00,0.00,0.15,0.03,8.29,,,,,,,,6.84
broofa,node-uuid,0.01,0.00,0.00,6.55,1.32,,,,,,,0.10,,0.00,0.08,0.57,4.37,0.00,0.00,0.00,0.88,0.01,4.49,,,,,,,,6.84
rafeca,prettyjson,0.02,0.01,0.03,6.55,1.32,,,,,,,0.00,5.70,0.00,0.87,0.71,6.37,0.09,0.82,0.00,0.51,0.00,8.01,0.07,,,,,,,6.84
Leaflet,Leaflet,1.80,0.73,0.07,6.52,1.58,1.11,0.36,0.27,0.51,0.48,0.54,0.55,7.50,6.86,0.00,0.14,7.10,0.28,0.04,0.03,0.74,0.13,8.73,0.07,0.56,0.83,0.57,0.15,6.50,8.89,6.84
webpack-contrib,uglifyjs-webpack-plugin,0.06,0.03,0.72,6.52,1.32,,,,,,,0.68,6.20,0.00,1.90,0.78,6.35,4.29,2.72,0.00,0.66,0.03,4.38,0.07,,,,,,,6.84
abbr,deasync,0.04,0.01,0.09,6.52,1.32,,0.05,1.47,0.00,0.00,,0.08,,0.00,0.48,0.24,6.20,0.00,0.00,0.00,0.88,0.00,6.32,0.08,0.04,0.00,0.00,0.00,1.70,4.44,6.84
dreamerslab,node.extend,0.01,0.00,0.05,6.52,1.32,,,,,,,,5.00,0.00,0.48,0.26,8.96,0.01,0.00,0.00,0.37,0.00,7.83,,,0.00,,0.01,,,6.84
theaqua,redux-logger,0.26,0.04,0.13,6.52,1.32,,,,,,,0.13,3.70,0.00,1.35,,,2.38,2.67,0.00,1.40,0.01,5.37,0.10,,,,,,,6.84
expressjs,method-override,0.03,0.01,0.24,6.52,1.32,,,,,,3.10,0.32,5.00,0.00,0.79,0.39,7.02,0.05,0.00,0.00,0.51,0.00,6.36,0.05,,,0.00,,,,6.84
mokkabonna,inquirer-autocomplete-prompt,0.02,0.01,0.04,6.52,1.25,,0.13,3.57,0.00,0.05,0.05,0.13,2.80,0.00,0.71,1.12,6.07,1.92,0.17,0.00,0.81,0.01,5.36,0.01,0.02,0.04,0.01,0.08,6.70,6.67,6.84
browserify,watchify,0.08,0.03,0.04,6.52,1.32,,,,,,,0.13,5.00,0.00,1.51,0.67,6.86,0.04,0.00,0.00,1.76,0.01,6.88,0.00,,,,,,,6.84
Reactive-Extensions,RxJS,0.89,0.27,0.00,6.52,1.32,,,,,,,0.00,6.20,2.86,2.14,0.33,7.76,0.00,0.00,0.00,0.29,0.17,7.84,0.08,,,,,,,6.84
TryGhost,node-sqlite3,0.27,0.10,0.14,6.52,1.06,0.56,3.63,2.33,0.06,1.46,0.11,0.37,7.50,0.00,1.59,1.18,3.62,0.00,0.00,0.00,1.76,0.03,8.45,0.07,0.26,0.04,0.07,0.06,3.30,7.78,6.84
